Date,Min,Avg,Max
2021-07-29,1870.0,1909.27,1980.0
2021-07-15,1760.0,1779.51,1870.0
2021-07-08,1650.0,1699.12,1760.0
2021-07-01,1650.0,1650.0,1650.0
2021-06-24,1540.0,1579.12,1650.0
2021-06-17,1430.0,1478.99,1540.0
2021-06-10,1430.0,1469.06,1540.0
2021-06-03,1540.0,1549.69,1650.0
2021-05-27,1210.0,1239.06,1320.0
2021-05-20,1100.0,1167.9,1320.0
2021-05-06,990.0,1127.09,1320.0
2021-04-29,1210.0,1299.28,1320.0
2021-04-22,1320.0,1339.35,1430.0
2021-04-15,1320.0,1349.13,1430.0
2021-04-08,1320.0,1358.99,1430.0
2021-04-01,1320.0,1419.63,1430.0
2021-03-25,1430.0,1430.0,1430.0
2021-03-18,1430.0,1430.0,1430.0
2021-03-11,1430.0,1449.4,1540.0
2021-03-04,1430.0,1449.4,1540.0
2021-02-25,1430.0,1449.4,1540.0
2021-02-18,1430.0,1459.2,1540.0
2021-02-11,1430.0,1439.67,1540.0
2021-02-04,1430.0,1459.2,1540.0
2021-01-28,1540.0,1540.0,1540.0
2021-01-21,1540.0,1540.0,1540.0
2021-01-14,1540.0,1540.0,1540.0
2021-01-07,1540.0,1540.0,1540.0
2020-12-31,1320.0,1349.13,1430.0
2020-12-24,1320.0,1329.64,1430.0
2020-12-17,1320.0,1329.64,1430.0
2020-12-10,1320.0,1329.64,1430.0
2020-12-03,1320.0,1339.35,1430.0
2020-11-26,1320.0,1329.64,1430.0
2020-11-19,1320.0,1339.35,1430.0
2020-11-12,1320.0,1339.35,1430.0
2020-11-05,1320.0,1339.35,1430.0
2020-10-29,1210.0,1239.06,1320.0
2020-10-22,1210.0,1219.61,1320.0
2020-10-15,1100.0,1218.69,1320.0
2020-10-08,1100.0,1217.77,1320.0
2020-10-01,1100.0,1228.37,1320.0
2020-09-24,1100.0,1162.05,1210.0
2020-09-17,990.0,1126.91,1210.0
2020-09-10,1210.0,1248.9,1320.0
2020-09-03,1210.0,1248.9,1320.0
2020-08-27,1210.0,1265.47,1320.0
2020-08-20,1210.0,1255.5,1320.0
2020-08-13,1210.0,1245.61,1320.0
2020-08-06,1210.0,1245.61,1320.0
2020-07-29,1210.0,1239.06,1320.0
2020-07-23,1210.0,1219.61,1320.0
2020-07-16,1210.0,1239.06,1320.0
2020-07-09,1210.0,1239.06,1320.0
2020-07-02,1210.0,1239.06,1320.0
2020-06-25,1100.0,1137.93,1320.0
2020-06-18,1100.0,1138.79,1210.0
2020-06-11,1100.0,1128.97,1210.0
2020-06-04,1100.0,1138.79,1210.0
2020-05-28,1100.0,1267.86,1320.0
2020-05-21,1210.0,1258.82,1320.0
2020-05-14,1210.0,1268.81,1320.0
2020-05-07,1210.0,1258.82,1320.0
2020-04-30,1100.0,1217.77,1320.0
2020-04-23,1210.0,1248.11,1430.0
2020-04-16,1210.0,1229.29,1320.0
2020-04-09,1210.0,1229.29,1320.0
2020-04-02,1540.0,1540.0,1540.0
2020-03-26,1540.0,1540.0,1540.0
2020-03-19,1540.0,1579.12,1650.0
2020-03-12,1540.0,1549.69,1650.0
2020-03-05,1540.0,1546.45,1650.0
2020-02-27,1760.0,1760.0,1760.0
2020-02-20,1540.0,1540.0,1540.0
2020-02-13,1540.0,1540.0,1540.0
2020-02-06,1540.0,1579.12,1650.0
2020-01-30,1540.0,1639.68,1650.0
2020-01-23,1650.0,1743.76,1760.0
2020-01-16,1650.0,1750.59,1760.0
2020-01-09,1650.0,1750.59,1760.0
2020-01-02,1650.0,1743.76,1760.0
2019-12-26,1540.0,1643.12,1650.0
2019-12-19,1430.0,1430.0,1430.0
2019-12-12,1430.0,1430.0,1430.0
2019-12-05,1430.0,1430.0,1430.0
2019-11-28,1430.0,1430.0,1430.0
2019-11-21,1430.0,1430.0,1430.0
2019-11-14,1430.0,1430.0,1430.0
2019-11-07,1430.0,1430.0,1430.0
2019-10-31,1430.0,1430.0,1430.0
2019-10-24,1430.0,1430.0,1430.0
2019-10-17,1430.0,1430.0,1430.0
2019-10-10,1430.0,1430.0,1430.0
2019-10-03,1430.0,1430.0,1430.0
2019-09-26,1320.0,1329.64,1430.0
2019-09-19,1210.0,1299.28,1320.0
2019-09-12,1210.0,1242.33,1320.0
2019-09-05,1210.0,1248.9,1320.0
2021-08-06,1870.0,1969.74,1980.0
