Date,Min,Avg,Max
2021-07-29,2100.6,2100.6,2100.6
2021-07-15,1867.2,1910.82,1983.9
2021-07-08,1750.5,1783.08,1867.2
2021-07-01,1750.5,1750.5,1750.5
2021-06-24,1517.1,1567.41,1663.8
2021-06-17,1400.4,1416.51,1517.1
2021-06-10,1517.1,1517.1,1517.1
2021-06-03,1633.8,1633.8,1633.8
2021-05-27,1167.0,1167.0,1167.0
2021-05-20,1167.0,1167.0,1167.0
2021-05-06,1167.0,1167.0,1167.0
2021-04-29,1283.7,1283.7,1283.7
2021-04-22,1283.7,1283.7,1283.7
2021-04-15,1283.7,1283.7,1283.7
2021-04-08,1283.7,1283.7,1283.7
2021-04-01,1283.7,1286.42,1342.05
2021-03-25,1283.7,1286.42,1342.05
2021-03-18,1283.7,1286.42,1342.05
2021-03-11,1283.7,1286.42,1342.05
2021-03-04,1283.7,1344.05,1400.4
2021-02-25,1342.05,1386.28,1400.4
2021-02-18,1400.4,1400.4,1400.4
2021-02-11,1400.4,1425.12,1458.75
2021-02-04,1458.75,1458.75,1458.75
2021-01-28,1458.75,1514.27,1517.1
2021-01-21,1458.75,1500.19,1517.1
2021-01-14,1517.1,1539.07,1575.45
2021-01-07,1575.45,1603.44,1650.0
2020-12-31,1400.0,1400.06,1400.4
2020-12-24,1342.05,1363.99,1400.4
2020-12-17,1342.05,1363.99,1400.4
2020-12-10,1342.05,1361.22,1400.4
2020-12-03,1342.05,1342.05,1342.05
2020-11-26,1342.05,1342.05,1342.05
2020-11-19,1342.05,1342.05,1342.05
2020-11-12,1342.05,1342.05,1342.05
2020-11-05,1342.05,1342.05,1342.05
2020-10-29,1281.5,1281.5,1281.52
2020-10-22,1281.5,1281.5,1281.56
2020-10-15,1225.35,1225.35,1225.35
2020-10-08,1167.0,1175.16,1225.35
2020-10-01,1167.0,1175.16,1225.35
2020-09-24,1167.0,1175.16,1225.35
2020-09-17,1167.0,1175.16,1225.35
2020-09-10,1167.0,1175.16,1225.35
2020-09-03,1167.0,1175.16,1225.35
2020-08-27,1167.0,1175.16,1225.35
2020-08-20,1167.0,1175.16,1225.35
2020-08-13,1167.0,1175.16,1225.35
2020-08-06,1167.0,1175.16,1225.35
2020-07-29,1167.0,1167.0,1167.0
2020-07-23,1225.0,1225.72,1235.0
2020-07-16,1225.0,1225.25,1225.35
2020-07-09,1125.0,1242.1,1284.0
2020-07-02,1167.0,1205.35,1225.0
2020-06-25,1109.0,1109.0,1109.0
2020-06-18,1109.0,1109.0,1109.0
2020-06-11,1167.0,1167.0,1167.0
2020-06-04,1167.0,1167.0,1167.0
2020-05-28,1167.0,1167.0,1167.0
2020-05-21,1167.0,1167.0,1167.0
2020-05-14,1167.0,1167.0,1167.0
2020-05-07,1167.0,1167.0,1167.0
2020-04-30,1167.0,1167.0,1167.0
2020-04-23,1167.0,1167.0,1167.0
2020-04-16,1167.0,1167.0,1167.0
2020-04-09,1050.0,1050.0,1050.0
2020-04-02,1050.0,1050.0,1050.0
2020-03-26,1634.0,1634.0,1634.0
2020-03-19,1634.0,1634.0,1634.0
2020-03-12,1435.0,1461.87,1634.0
2020-03-05,1517.0,1571.63,1634.0
2020-02-27,1984.0,2016.47,2100.0
2020-02-20,1517.0,1519.53,1571.0
2020-02-13,1517.0,1519.53,1571.0
2020-02-06,1517.0,1519.53,1571.0
2020-01-30,1634.0,1634.0,1634.0
2020-01-23,1747.0,1747.0,1747.0
2020-01-16,1747.0,1747.0,1747.0
2020-01-09,1864.0,1864.0,1864.0
2020-01-02,1922.0,1922.0,1922.0
2019-12-26,1750.0,1750.0,1750.0
2019-12-19,1465.0,1465.0,1465.0
2019-12-12,1400.0,1400.0,1400.0
2019-12-05,1400.0,1400.0,1400.0
2019-11-28,1400.0,1400.0,1400.0
2019-11-21,1400.0,1400.0,1400.0
2019-11-14,1400.0,1400.0,1400.0
2019-11-07,1400.0,1400.0,1400.0
2019-10-31,1400.0,1400.0,1400.0
2019-10-24,1400.0,1400.0,1400.0
2019-10-17,1400.0,1400.0,1400.0
2019-10-10,1400.0,1400.0,1400.0
2019-10-03,1400.0,1400.0,1400.0
2019-09-26,1342.0,1342.0,1342.0
2019-09-19,1225.0,1225.0,1225.0
2019-09-12,1167.0,1167.0,1167.0
2019-09-05,1167.0,1167.0,1167.0
2021-08-06,2100.6,2144.31,2217.3
2021-08-12,2100.6,2144.31,2217.3
2021-08-26,1867.2,1933.02,1983.9
2021-09-02,1867.2,1867.2,1867.2
