Date,Min,Avg,Max
2019-09-05,1458.75,1458.75,1458.75
2019-09-12,1458.75,1458.75,1458.75
2019-09-19,1458.75,1458.75,1458.75
2019-09-26,1458.75,1458.75,1458.75
2019-10-03,1545.45,1555.39,1575.45
2019-10-10,1545.45,1555.39,1575.45
2019-10-17,1545.45,1555.39,1575.45
2019-10-24,1545.45,1555.39,1575.45
2019-10-31,1545.45,1555.39,1575.45
2019-11-07,1545.45,1555.39,1575.45
2019-11-14,1545.45,1555.39,1575.45
2019-11-21,1545.45,1555.39,1575.45
2019-11-28,1545.45,1555.39,1575.45
2019-12-05,1545.45,1555.39,1575.45
2019-12-12,1545.45,1555.39,1575.45
2019-12-19,1545.45,1555.39,1575.45
2019-12-26,1750.5,1750.5,1750.5
2020-01-02,2100.6,2100.6,2100.6
2020-01-09,2100.6,2100.6,2100.6
2020-01-16,1983.0,1983.0,1983.0
2020-01-23,1983.0,1983.0,1983.0
2020-01-30,1983.0,1983.0,1983.0
2020-02-06,1575.45,1575.45,1575.45
2020-02-13,1575.45,1575.45,1575.45
2020-02-20,1575.45,1575.45,1575.45
2020-02-27,1575.45,1575.45,1575.45
2020-03-05,1692.15,1692.15,1692.15
2020-03-12,1692.15,1692.15,1692.15
2020-03-19,1692.15,1692.15,1692.15
2020-03-26,1692.15,1692.15,1692.15
2020-04-02,1200.0,1200.0,1200.0
2020-04-09,1180.0,1180.0,1180.0
2020-04-16,1180.0,1180.0,1180.0
2020-04-23,1180.0,1180.0,1180.0
2020-04-30,1180.0,1180.0,1180.0
2020-05-07,1300.0,1300.0,1300.0
2020-05-14,1300.0,1300.0,1300.0
2020-05-21,1300.0,1300.0,1300.0
2020-05-28,1300.0,1300.0,1300.0
2020-06-04,1300.0,1300.0,1300.0
2020-06-11,1300.0,1300.0,1300.0
2020-06-18,1300.0,1300.0,1300.0
2020-06-25,1300.0,1300.0,1300.0
2020-07-02,1300.0,1300.0,1300.0
2020-07-09,1360.0,1360.0,1360.0
2020-07-16,1380.0,1380.0,1380.0
2020-07-23,1380.0,1380.0,1380.0
2020-07-29,1380.0,1380.0,1380.0
2020-08-06,1380.0,1380.0,1380.0
2020-08-13,1380.0,1380.0,1380.0
2020-08-20,1380.0,1380.0,1380.0
2020-08-27,1380.0,1380.0,1380.0
2020-09-03,1380.0,1380.0,1380.0
2020-09-10,1380.0,1380.0,1380.0
2020-09-17,1380.0,1380.0,1380.0
2020-09-24,1380.0,1380.0,1380.0
2020-10-01,1380.0,1380.0,1380.0
2020-10-08,1380.0,1380.0,1380.0
2020-10-15,1380.0,1380.0,1380.0
2020-10-22,1380.0,1380.0,1380.0
2020-10-29,1380.0,1380.0,1380.0
2020-11-05,1380.0,1380.0,1380.0
2020-11-12,1380.0,1380.0,1380.0
2020-11-19,1380.0,1380.0,1380.0
2020-11-26,1380.0,1380.0,1380.0
2020-12-03,1380.0,1380.0,1380.0
2020-12-10,1380.0,1380.0,1380.0
2020-12-17,1380.0,1380.0,1380.0
2020-12-24,1380.0,1380.0,1380.0
2020-12-31,1380.0,1380.0,1380.0
2021-01-07,1670.0,1670.0,1670.0
2021-01-14,1670.0,1670.0,1670.0
2021-01-21,1670.0,1670.0,1670.0
2021-01-28,1670.0,1670.0,1670.0
2021-02-04,1670.0,1670.0,1670.0
2021-02-11,1670.0,1670.0,1670.0
2021-02-18,1670.0,1670.0,1670.0
2021-02-25,1550.0,1550.0,1550.0
2021-03-04,1550.0,1550.0,1550.0
2021-03-11,1550.0,1550.0,1550.0
2021-03-18,1550.0,1550.0,1550.0
2021-03-25,1550.0,1550.0,1550.0
2021-04-01,1550.0,1550.0,1550.0
2021-04-08,1320.0,1320.0,1320.0
2021-04-15,1320.0,1320.0,1320.0
2021-04-22,1320.0,1320.0,1320.0
2021-04-29,1320.0,1320.0,1320.0
2021-05-06,1200.0,1200.0,1200.0
2021-05-20,1200.0,1200.0,1200.0
2021-05-27,1200.0,1200.0,1200.0
2021-06-03,1550.0,1550.0,1550.0
2021-06-10,1550.0,1550.0,1550.0
2021-06-17,1550.0,1550.0,1550.0
2021-06-24,1666.59,1666.59,1666.59
2021-07-01,1666.81,1666.81,1666.81
2021-07-08,1666.81,1666.81,1666.81
2021-07-15,1666.81,1666.81,1666.81
2021-07-29,1950.0,1950.0,1950.0
2021-08-05,2080.0,2080.0,2080.0
2021-08-12,2080.0,2080.0,2080.0
2021-08-26,2080.0,2080.0,2080.0
2021-09-02,2080.0,2080.0,2080.0
2021-09-09,2080.0,2080.0,2080.0
2021-09-16,2080.0,2080.0,2080.0
