Date,Min,Avg,Max
2019-09-05,110.0,510.57,1100.0
2019-09-12,1150.0,1150.0,1150.0
2019-09-19,1150.0,1150.0,1150.0
2019-09-26,1150.0,1150.0,1150.0
2019-10-03,1400.0,1400.0,1400.0
2019-10-10,1400.0,1400.0,1400.0
2019-10-17,1450.0,1450.0,1450.0
2019-10-24,1450.0,1450.0,1450.0
2019-10-31,1400.0,1400.0,1400.0
2019-11-07,1400.0,1400.0,1400.0
2019-11-14,1350.0,1366.47,1400.0
2019-11-21,1350.0,1350.0,1350.0
2019-11-28,1350.0,1350.0,1350.0
2019-12-05,1350.0,1350.0,1350.0
2019-12-12,1350.0,1350.0,1350.0
2019-12-19,1450.0,1450.0,1450.0
2019-12-26,1650.0,1650.0,1650.0
2020-01-02,1800.0,1800.0,1800.0
2020-01-09,1800.0,1800.0,1800.0
2020-01-16,1800.0,1800.0,1800.0
2020-01-23,1450.0,1450.0,1450.0
2020-01-30,1550.0,1550.0,1550.0
2020-02-06,1550.0,1550.0,1550.0
2020-02-13,1550.0,1550.0,1550.0
2020-02-20,1550.0,1550.0,1550.0
2020-02-27,1650.0,1650.0,1650.0
2020-03-05,1550.0,1550.0,1550.0
2020-03-12,1500.0,1500.0,1500.0
2020-03-19,1600.0,1600.0,1600.0
2020-03-26,1400.0,1400.0,1400.0
2020-04-02,1100.0,1100.0,1100.0
2020-04-09,1100.0,1100.0,1100.0
2020-04-16,1100.0,1100.0,1100.0
2020-04-23,1100.0,1100.0,1100.0
2020-04-30,1100.0,1100.0,1100.0
2020-05-07,1200.0,1200.0,1200.0
2020-05-14,1100.0,1100.0,1100.0
2020-05-21,1100.0,1100.0,1100.0
2020-05-28,1100.0,1100.0,1100.0
2020-06-04,1050.0,1050.0,1050.0
2020-06-11,1050.0,1050.0,1050.0
2020-06-18,1050.0,1050.0,1050.0
2020-06-25,1200.0,1200.0,1200.0
2020-07-02,1250.0,1250.0,1250.0
2020-07-09,1200.0,1200.0,1200.0
2020-07-16,1200.0,1200.0,1200.0
2020-07-23,1200.0,1200.0,1200.0
2020-07-29,1200.0,1200.0,1200.0
2020-08-06,1200.0,1200.0,1200.0
2020-08-13,1200.0,1200.0,1200.0
2020-08-20,1200.0,1200.0,1200.0
2020-08-27,1200.0,1200.0,1200.0
2020-09-03,1200.0,1200.0,1200.0
2020-09-10,1200.0,1200.0,1200.0
2020-09-17,1250.0,1250.0,1250.0
2020-09-24,1250.0,1250.0,1250.0
2020-10-01,1250.0,1250.0,1250.0
2020-10-08,1250.0,1250.0,1250.0
2020-10-15,1250.0,1250.0,1250.0
2020-10-22,1250.0,1250.0,1250.0
2020-10-29,1300.0,1300.0,1300.0
2020-11-05,1450.0,1450.0,1450.0
2020-11-12,1450.0,1450.0,1450.0
2020-11-19,1400.0,1400.0,1400.0
2020-11-26,1400.0,1400.0,1400.0
2020-12-03,1400.0,1400.0,1400.0
2020-12-10,1400.0,1400.0,1400.0
2020-12-17,1400.0,1400.0,1400.0
2020-12-24,1400.0,1400.0,1400.0
2020-12-31,1400.0,1400.0,1400.0
2021-01-07,1500.0,1500.0,1500.0
2021-01-14,1500.0,1500.0,1500.0
2021-01-21,1550.0,1550.0,1550.0
2021-01-28,1500.0,1500.0,1500.0
2021-02-04,1600.0,1600.0,1600.0
2021-02-11,1500.0,1500.0,1500.0
2021-02-18,1450.0,1450.0,1450.0
2021-02-25,1350.0,1350.0,1350.0
2021-03-04,1400.0,1400.0,1400.0
2021-03-11,1400.0,1400.0,1400.0
2021-03-18,1400.0,1400.0,1400.0
2021-03-25,1400.0,1400.0,1400.0
2021-04-01,1350.0,1350.0,1350.0
2021-04-08,1300.0,1300.0,1300.0
2021-04-15,1300.0,1300.0,1300.0
2021-04-22,1250.0,1250.0,1250.0
2021-04-29,1200.0,1200.0,1200.0
2021-05-06,1100.0,1100.0,1100.0
2021-05-20,1100.0,1100.0,1100.0
2021-05-27,1200.0,1200.0,1200.0
2021-06-03,1300.0,1300.0,1300.0
2021-06-10,1450.0,1450.0,1450.0
2021-06-17,1450.0,1450.0,1450.0
2021-06-24,1600.0,1600.0,1600.0
2021-07-01,1650.0,1650.0,1650.0
2021-07-08,1700.0,1700.0,1700.0
2021-07-15,1800.0,1800.0,1800.0
2021-07-29,1950.0,1950.0,1950.0
2021-08-05,1950.0,1950.0,1950.0
2021-08-12,1900.0,1900.0,1900.0
2021-08-26,1800.0,1800.0,1800.0
2021-09-02,1800.0,1800.0,1800.0
2021-09-09,1700.0,1700.0,1700.0
2021-09-16,1800.0,1800.0,1800.0
2021-09-23,1800.0,1800.0,1800.0
