Date,Min,Avg,Max
2021-07-29,599.0,599.0,599.0
2021-07-15,599.0,599.0,599.0
2021-07-08,599.0,599.0,599.0
2021-07-01,599.0,599.0,599.0
2021-06-24,599.0,599.0,599.0
2021-06-17,599.0,599.0,599.0
2021-06-10,599.0,599.0,599.0
2021-06-03,599.0,599.0,599.0
2021-05-27,599.0,599.0,599.0
2021-05-20,599.0,599.0,599.0
2021-05-06,599.0,599.0,599.0
2021-04-29,599.0,599.0,599.0
2021-04-22,599.0,599.0,599.0
2021-04-15,599.0,599.0,599.0
2021-04-08,599.0,599.0,599.0
2021-04-01,599.0,599.0,599.0
2021-03-25,599.0,599.0,599.0
2021-03-18,599.0,599.0,599.0
2021-03-11,599.0,599.0,599.0
2021-03-04,599.0,599.0,599.0
2021-02-25,599.0,599.0,599.0
2021-02-18,599.0,599.0,599.0
2021-02-11,599.0,599.0,599.0
2021-02-04,599.0,599.0,599.0
2021-01-28,599.0,599.0,599.0
2021-01-21,599.0,599.0,599.0
2021-01-14,599.0,599.0,599.0
2021-01-07,599.0,599.0,599.0
2020-12-31,599.0,599.0,599.0
2020-12-24,599.0,599.0,599.0
2020-12-17,599.0,599.0,599.0
2020-12-10,599.0,599.0,599.0
2020-12-03,599.0,599.0,599.0
2020-11-26,599.0,599.0,599.0
2020-11-19,599.0,599.0,599.0
2020-11-12,599.0,599.0,599.0
2020-11-05,599.0,599.0,599.0
2020-10-29,599.0,599.0,599.0
2020-10-22,599.0,599.0,599.0
2020-10-15,599.0,599.0,599.0
2020-10-08,599.0,599.0,599.0
2020-10-01,599.0,599.0,599.0
2020-09-24,599.0,599.0,599.0
2020-09-17,599.0,599.0,599.0
2020-09-10,599.0,599.0,599.0
2020-09-03,599.0,599.0,599.0
2020-08-27,599.0,599.0,599.0
2020-08-20,599.0,599.0,599.0
2020-08-13,599.0,599.0,599.0
2020-08-06,599.0,599.0,599.0
2020-07-29,599.0,599.0,599.0
2020-07-23,599.0,599.0,599.0
2020-07-16,599.0,599.0,599.0
2020-07-09,599.0,599.0,599.0
2020-07-02,599.0,599.0,599.0
2020-06-25,599.0,599.0,599.0
2020-06-18,599.0,599.0,599.0
2020-06-11,599.0,599.0,599.0
2020-06-04,599.0,599.0,599.0
2020-05-28,599.0,599.0,599.0
2020-05-21,599.0,599.0,599.0
2020-05-14,599.0,599.0,599.0
2020-05-07,599.0,599.0,599.0
2020-04-30,599.0,599.0,599.0
2020-04-23,599.0,599.0,599.0
2020-04-16,599.0,599.0,599.0
2020-04-09,599.0,599.0,599.0
2020-04-02,599.0,599.0,599.0
2020-03-26,599.0,599.0,599.0
2020-03-19,599.0,599.0,599.0
2020-03-12,599.0,599.0,599.0
2020-03-05,599.0,599.0,599.0
2020-02-27,599.0,599.0,599.0
2020-02-20,599.0,599.0,599.0
2020-02-13,599.0,599.0,599.0
2020-02-06,599.0,599.0,599.0
2020-01-30,599.0,599.0,599.0
2020-01-23,599.0,599.0,599.0
2020-01-16,599.0,599.0,599.0
2020-01-09,599.0,599.0,599.0
2020-01-02,599.0,599.0,599.0
2019-12-26,599.0,599.0,599.0
2019-12-19,599.0,599.0,599.0
2019-12-12,599.0,599.0,599.0
2019-12-05,599.0,599.0,599.0
2019-11-28,599.0,599.0,599.0
2019-11-21,599.0,599.0,599.0
2019-11-14,599.0,599.0,599.0
2019-11-07,599.0,599.0,599.0
2019-10-31,599.0,599.0,599.0
2019-10-24,599.0,599.0,599.0
2019-10-17,599.0,599.0,599.0
2019-10-10,599.0,599.0,599.0
2019-10-03,599.0,599.0,599.0
2019-09-26,599.0,599.0,599.0
2019-09-19,599.0,599.0,599.0
2019-09-12,599.0,599.0,599.0
2019-09-05,599.0,599.0,599.0
2021-08-06,599.0,599.0,599.0
2021-08-12,599.0,599.0,599.0
