Date,Min,Avg,Max
2021-07-29,320.0,333.1,360.0
2021-07-15,320.0,333.1,360.0
2021-07-08,320.0,333.1,360.0
2021-07-01,320.0,333.1,360.0
2021-06-24,320.0,333.1,360.0
2021-06-17,320.0,333.1,360.0
2021-06-10,320.0,333.1,360.0
2021-06-03,320.0,333.1,360.0
2021-05-27,320.0,333.1,360.0
2021-05-20,320.0,333.1,360.0
2021-05-06,320.0,333.1,360.0
2021-04-29,320.0,333.1,360.0
2021-04-22,320.0,333.1,360.0
2021-04-15,320.0,333.1,360.0
2021-04-08,320.0,333.1,360.0
2021-04-01,320.0,333.1,360.0
2021-03-25,320.0,333.1,360.0
2021-03-18,320.0,333.1,360.0
2021-03-11,320.0,333.1,360.0
2021-03-04,260.0,298.11,330.0
2021-02-25,260.0,298.11,330.0
2021-02-18,260.0,298.11,330.0
2021-02-11,260.0,298.11,330.0
2021-02-04,260.0,298.11,330.0
2021-01-28,260.0,298.11,330.0
2021-01-21,260.0,298.11,330.0
2021-01-14,260.0,298.11,330.0
2021-01-07,260.0,298.11,330.0
2020-12-31,260.0,298.11,330.0
2020-12-24,260.0,298.11,330.0
2020-12-17,260.0,298.11,330.0
2020-12-10,260.0,298.11,330.0
2020-12-03,260.0,298.11,330.0
2020-11-26,260.0,298.11,330.0
2020-11-19,260.0,298.11,330.0
2020-11-12,260.0,298.11,330.0
2020-11-05,260.0,298.11,330.0
2020-10-29,260.0,298.11,330.0
2020-10-22,260.0,298.11,330.0
2020-10-15,260.0,298.11,330.0
2020-10-08,260.0,298.11,330.0
2020-10-01,260.0,298.11,330.0
2020-09-24,260.0,298.11,330.0
2020-09-17,260.0,298.11,330.0
2020-09-10,260.0,298.11,330.0
2020-09-03,260.0,298.11,330.0
2020-08-27,260.0,298.11,330.0
2020-08-20,260.0,298.11,330.0
2020-08-13,260.0,298.11,330.0
2020-08-06,260.0,298.11,330.0
2020-07-29,260.0,298.11,330.0
2020-07-23,260.0,298.11,330.0
2020-07-16,260.0,298.11,330.0
2020-07-09,260.0,298.11,330.0
2020-07-02,290.0,300.29,330.0
2020-06-25,290.0,300.29,330.0
2020-06-18,290.0,300.29,330.0
2020-06-11,260.0,290.28,330.0
2020-06-04,260.0,290.28,330.0
2020-05-28,260.0,290.28,330.0
2020-05-21,260.0,290.28,330.0
2020-05-14,260.0,290.28,330.0
2020-05-07,260.0,290.28,330.0
2020-04-30,260.0,290.28,330.0
2020-04-23,260.0,290.28,330.0
2020-04-16,260.0,290.28,330.0
2020-04-09,260.0,290.28,330.0
2020-04-02,260.0,290.28,330.0
2020-03-26,260.0,290.28,330.0
2020-03-19,260.0,290.28,330.0
2020-03-12,260.0,290.28,330.0
2020-03-05,260.0,290.28,330.0
2020-02-27,260.0,290.28,330.0
2020-02-20,260.0,290.28,330.0
2020-02-13,260.0,290.28,330.0
2020-02-06,260.0,290.28,330.0
2020-01-30,260.0,290.28,330.0
2020-01-23,260.0,290.28,330.0
2020-01-16,260.0,290.28,330.0
2020-01-09,260.0,290.28,330.0
2020-01-02,260.0,290.28,330.0
2019-12-26,260.0,290.28,330.0
2019-12-19,260.0,290.28,330.0
2019-12-12,260.0,290.28,330.0
2019-12-05,260.0,290.28,330.0
2019-11-28,260.0,290.28,330.0
2019-11-21,260.0,290.28,330.0
2019-11-14,260.0,290.28,330.0
2019-11-07,260.0,290.28,330.0
2019-10-31,260.0,290.28,330.0
2019-10-24,260.0,290.28,330.0
2019-10-17,260.0,290.28,330.0
2019-10-10,260.0,290.28,330.0
2019-10-03,260.0,290.28,330.0
2019-09-26,260.0,290.28,330.0
2019-09-19,260.0,290.28,330.0
2019-09-12,260.0,290.28,330.0
2019-09-05,260.0,290.28,330.0
