Date,Min,Avg,Max
2019-09-05,412.0,453.06,513.0
2019-09-12,412.0,453.06,513.0
2019-09-19,412.0,453.06,513.0
2019-09-26,412.0,453.06,513.0
2019-10-03,412.0,453.06,513.0
2019-10-10,412.0,453.06,513.0
2019-10-17,412.0,453.06,513.0
2019-10-24,412.0,453.06,513.0
2019-10-31,412.0,453.06,513.0
2019-11-07,412.0,453.06,513.0
2019-11-14,412.0,453.06,513.0
2019-11-21,412.0,453.06,513.0
2019-11-28,412.0,453.06,513.0
2019-12-05,412.0,453.06,513.0
2019-12-12,412.0,453.06,513.0
2019-12-19,412.0,453.06,513.0
2019-12-26,412.0,453.06,513.0
2020-01-02,412.0,453.06,513.0
2020-01-09,412.0,453.06,513.0
2020-01-16,412.0,453.06,513.0
2020-01-23,412.0,453.06,513.0
2020-01-30,412.0,453.06,513.0
2020-02-06,412.0,453.06,513.0
2020-02-13,412.0,453.06,513.0
2020-02-20,412.0,453.06,513.0
2020-02-27,412.0,453.06,513.0
2020-03-05,412.0,453.06,513.0
2020-03-12,412.0,453.06,513.0
2020-03-19,412.0,453.06,513.0
2020-03-26,412.0,453.06,513.0
2020-04-02,412.0,453.06,513.0
2020-04-09,412.0,453.06,513.0
2020-04-16,412.0,453.06,513.0
2020-04-23,412.0,453.06,513.0
2020-04-30,412.0,453.06,513.0
2020-05-07,412.0,453.06,513.0
2020-05-14,412.0,453.06,513.0
2020-05-21,412.0,453.06,513.0
2020-05-28,412.0,453.06,513.0
2020-06-04,440.0,466.58,513.0
2020-06-11,440.0,466.58,513.0
2020-06-18,490.0,499.8,520.0
2020-06-25,490.0,499.8,520.0
2020-07-02,490.0,499.8,520.0
2020-07-09,490.0,499.8,520.0
2020-07-16,490.0,499.8,520.0
2020-07-23,490.0,499.8,520.0
2020-07-29,490.0,499.8,520.0
2020-08-06,490.0,499.8,520.0
2020-08-13,490.0,499.8,520.0
2020-08-20,490.0,499.8,520.0
2020-08-27,490.0,499.8,520.0
2020-09-03,490.0,499.8,520.0
2020-09-10,490.0,499.8,520.0
2020-09-17,490.0,499.8,520.0
2020-09-24,490.0,499.8,520.0
2020-10-01,490.0,499.8,520.0
2020-10-08,490.0,499.8,520.0
2020-10-15,490.0,499.8,520.0
2020-10-22,490.0,499.8,520.0
2020-10-29,490.0,499.8,520.0
2020-11-05,490.0,499.8,520.0
2020-11-12,490.0,499.8,520.0
2020-11-19,490.0,499.8,520.0
2020-11-26,490.0,499.8,520.0
2020-12-03,490.0,499.8,520.0
2020-12-10,490.0,499.8,520.0
2020-12-17,490.0,499.8,520.0
2020-12-24,490.0,499.8,520.0
2020-12-31,490.0,499.8,520.0
2021-01-07,490.0,499.8,520.0
2021-01-14,490.0,499.8,520.0
2021-01-21,490.0,499.8,520.0
2021-01-28,490.0,499.8,520.0
2021-02-04,490.0,499.8,520.0
2021-02-11,490.0,499.8,520.0
2021-02-18,500.0,506.58,520.0
2021-02-25,500.0,506.58,520.0
2021-03-04,500.0,513.25,520.0
2021-03-11,520.0,526.65,530.0
2021-03-18,520.0,526.65,530.0
2021-03-25,520.0,526.65,530.0
2021-04-01,520.0,526.65,530.0
2021-04-08,520.0,526.65,530.0
2021-04-15,520.0,526.65,530.0
2021-04-22,520.0,526.65,530.0
2021-04-29,520.0,526.65,530.0
2021-05-06,520.0,526.65,530.0
2021-05-20,520.0,526.65,530.0
2021-05-27,520.0,526.65,530.0
2021-06-03,520.0,526.65,530.0
2021-06-10,520.0,526.65,530.0
2021-06-17,520.0,526.65,530.0
2021-06-24,520.0,526.65,530.0
2021-07-01,520.0,526.65,530.0
2021-07-08,520.0,526.65,530.0
2021-07-15,520.0,526.65,530.0
2021-07-29,520.0,526.65,530.0
2021-08-05,520.0,526.65,530.0
2021-08-12,520.0,526.65,530.0
2021-08-26,520.0,526.65,530.0
2021-09-02,520.0,526.65,530.0
2021-09-09,520.0,526.65,530.0
2021-09-16,520.0,526.65,530.0
2021-09-23,520.0,526.65,530.0
2021-09-30,520.0,526.65,530.0
2021-10-07,520.0,526.65,530.0
2021-10-14,520.0,526.65,530.0
