Date,Min,Avg,Max
2019-09-05,240.0,243.29,250.0
2019-09-12,240.0,243.29,250.0
2019-09-19,240.0,243.29,250.0
2019-09-26,240.0,243.29,250.0
2019-10-03,240.0,243.29,250.0
2019-10-10,240.0,243.29,250.0
2019-10-17,240.0,243.29,250.0
2019-10-24,240.0,243.29,250.0
2019-10-31,240.0,243.29,250.0
2019-11-07,240.0,243.29,250.0
2019-11-14,240.0,243.29,250.0
2019-11-21,240.0,243.29,250.0
2019-11-28,240.0,243.29,250.0
2019-12-05,240.0,243.29,250.0
2019-12-12,240.0,243.29,250.0
2019-12-19,240.0,243.29,250.0
2019-12-26,240.0,243.29,250.0
2020-01-02,240.0,243.29,250.0
2020-01-09,240.0,243.29,250.0
2020-01-16,240.0,243.29,250.0
2020-01-23,240.0,243.29,250.0
2020-01-30,240.0,243.29,250.0
2020-02-06,240.0,243.29,250.0
2020-02-13,240.0,243.29,250.0
2020-02-20,240.0,243.29,250.0
2020-02-27,240.0,243.29,250.0
2020-03-05,240.0,243.29,250.0
2020-03-12,240.0,243.29,250.0
2020-03-19,240.0,243.29,250.0
2020-03-26,240.0,243.29,250.0
2020-04-02,240.0,243.29,250.0
2020-04-09,240.0,243.29,250.0
2020-04-16,240.0,243.29,250.0
2020-04-23,240.0,243.29,250.0
2020-04-30,240.0,243.29,250.0
2020-05-07,240.0,243.29,250.0
2020-05-14,240.0,243.29,250.0
2020-05-21,240.0,243.29,250.0
2020-05-28,240.0,243.29,250.0
2020-06-04,240.0,243.29,250.0
2020-06-11,240.0,243.29,250.0
2020-06-18,240.0,243.29,250.0
2020-06-25,240.0,243.29,250.0
2020-07-02,240.0,243.29,250.0
2020-07-09,240.0,243.29,250.0
2020-07-16,240.0,243.29,250.0
2020-07-23,240.0,243.29,250.0
2020-07-29,240.0,243.29,250.0
2020-08-06,240.0,243.29,250.0
2020-08-13,240.0,243.29,250.0
2020-08-20,240.0,243.29,250.0
2020-08-27,240.0,243.29,250.0
2020-09-03,240.0,243.29,250.0
2020-09-10,240.0,243.29,250.0
2020-09-17,240.0,243.29,250.0
2020-09-24,240.0,243.29,250.0
2020-10-01,240.0,243.29,250.0
2020-10-08,240.0,243.29,250.0
2020-10-15,240.0,243.29,250.0
2020-10-22,240.0,243.29,250.0
2020-10-29,240.0,243.29,250.0
2020-11-05,240.0,243.29,250.0
2020-11-12,240.0,243.29,250.0
2020-11-19,240.0,243.29,250.0
2020-11-26,240.0,243.29,250.0
2020-12-03,240.0,243.29,250.0
2020-12-10,240.0,243.29,250.0
2020-12-17,240.0,243.29,250.0
2020-12-24,240.0,243.29,250.0
2020-12-31,240.0,243.29,250.0
2021-01-07,240.0,243.29,250.0
2021-01-14,240.0,243.29,250.0
2021-01-21,240.0,243.29,250.0
2021-01-28,240.0,243.29,250.0
2021-02-04,240.0,243.29,250.0
2021-02-11,240.0,243.29,250.0
2021-02-18,436.0,436.0,436.0
2021-02-25,436.0,436.0,436.0
2021-03-04,436.0,436.0,436.0
2021-03-11,436.0,436.0,436.0
2021-03-18,436.0,436.0,436.0
2021-03-25,436.0,436.0,436.0
2021-04-01,436.0,436.0,436.0
2021-04-08,436.0,436.0,436.0
2021-04-15,436.0,436.0,436.0
2021-04-22,436.0,436.0,436.0
2021-04-29,436.0,436.0,436.0
2021-05-06,436.0,436.0,436.0
2021-05-20,436.0,436.0,436.0
2021-05-27,436.0,436.0,436.0
2021-06-03,436.0,436.0,436.0
2021-06-10,436.0,436.0,436.0
2021-06-17,436.0,436.0,436.0
2021-06-24,436.0,436.0,436.0
2021-07-01,436.0,436.0,436.0
2021-07-08,436.0,436.0,436.0
2021-07-15,436.0,436.0,436.0
2021-07-29,436.0,436.0,436.0
2021-08-05,436.0,436.0,436.0
2021-08-12,436.0,436.0,436.0
2021-08-26,436.0,436.0,436.0
2021-09-02,436.0,436.0,436.0
2021-09-09,436.0,436.0,436.0
