Date,Min,Avg,Max
2019-09-05,250.0,250.0,250.0
2019-09-12,250.0,250.0,250.0
2019-09-19,250.0,250.0,250.0
2019-09-26,250.0,250.0,250.0
2019-10-03,250.0,250.0,250.0
2019-10-10,250.0,250.0,250.0
2019-10-17,250.0,250.0,250.0
2019-10-24,250.0,250.0,250.0
2019-10-31,250.0,250.0,250.0
2019-11-07,250.0,250.0,250.0
2019-11-14,250.0,250.0,250.0
2019-11-21,250.0,250.0,250.0
2019-11-28,250.0,250.0,250.0
2019-12-05,250.0,250.0,250.0
2019-12-12,250.0,250.0,250.0
2019-12-19,250.0,250.0,250.0
2019-12-26,250.0,250.0,250.0
2020-01-02,250.0,250.0,250.0
2020-01-09,250.0,250.0,250.0
2020-01-16,250.0,250.0,250.0
2020-01-23,250.0,250.0,250.0
2020-01-30,250.0,250.0,250.0
2020-02-06,250.0,250.0,250.0
2020-02-13,250.0,250.0,250.0
2020-02-20,250.0,250.0,250.0
2020-02-27,250.0,250.0,250.0
2020-03-05,250.0,250.0,250.0
2020-03-12,250.0,250.0,250.0
2020-03-19,250.0,250.0,250.0
2020-03-26,250.0,250.0,250.0
2020-04-02,250.0,250.0,250.0
2020-04-09,250.0,250.0,250.0
2020-04-16,250.0,250.0,250.0
2020-04-23,250.0,250.0,250.0
2020-04-30,250.0,250.0,250.0
2020-05-07,250.0,250.0,250.0
2020-05-14,250.0,250.0,250.0
2020-05-21,250.0,250.0,250.0
2020-05-28,250.0,250.0,250.0
2020-06-04,250.0,250.0,250.0
2020-06-11,250.0,250.0,250.0
2020-06-18,250.0,250.0,250.0
2020-06-25,250.0,250.0,250.0
2020-07-02,250.0,250.0,250.0
2020-07-09,250.0,250.0,250.0
2020-07-16,350.0,350.0,350.0
2020-07-23,350.0,350.0,350.0
2020-07-29,350.0,350.0,350.0
2020-08-06,350.0,350.0,350.0
2020-08-13,350.0,350.0,350.0
2020-08-20,350.0,350.0,350.0
2020-08-27,350.0,350.0,350.0
2020-09-03,350.0,350.0,350.0
2020-09-10,350.0,350.0,350.0
2020-09-17,350.0,350.0,350.0
2020-09-24,350.0,350.0,350.0
2020-10-01,350.0,350.0,350.0
2020-10-08,350.0,350.0,350.0
2020-10-15,350.0,350.0,350.0
2020-10-22,350.0,350.0,350.0
2020-10-29,350.0,350.0,350.0
2020-11-05,350.0,350.0,350.0
2020-11-12,350.0,350.0,350.0
2020-11-19,350.0,350.0,350.0
2020-11-26,350.0,350.0,350.0
2020-12-03,350.0,350.0,350.0
2020-12-10,350.0,350.0,350.0
2020-12-17,350.0,350.0,350.0
2020-12-24,350.0,350.0,350.0
2020-12-31,350.0,350.0,350.0
2021-01-07,350.0,350.0,350.0
2021-01-14,350.0,350.0,350.0
2021-01-21,350.0,350.0,350.0
2021-01-28,350.0,350.0,350.0
2021-02-04,350.0,350.0,350.0
2021-02-11,350.0,350.0,350.0
2021-02-18,350.0,350.0,350.0
2021-02-25,350.0,350.0,350.0
2021-03-04,350.0,350.0,350.0
2021-03-11,350.0,350.0,350.0
2021-03-18,350.0,350.0,350.0
2021-03-25,350.0,350.0,350.0
2021-04-01,350.0,350.0,350.0
2021-04-08,350.0,350.0,350.0
2021-04-15,350.0,350.0,350.0
2021-04-22,350.0,350.0,350.0
2021-04-29,350.0,350.0,350.0
2021-05-06,350.0,350.0,350.0
2021-05-20,350.0,350.0,350.0
2021-05-27,350.0,350.0,350.0
2021-06-03,350.0,350.0,350.0
2021-06-10,350.0,350.0,350.0
2021-06-17,350.0,350.0,350.0
2021-06-24,350.0,350.0,350.0
2021-07-01,350.0,353.3,360.0
2021-07-08,350.0,353.3,360.0
2021-07-15,350.0,353.3,360.0
2021-07-29,350.0,353.3,360.0
2021-08-05,350.0,353.3,360.0
2021-08-12,350.0,353.3,360.0
2021-08-26,350.0,353.3,360.0
2021-09-02,350.0,353.3,360.0
2021-09-09,350.0,353.3,360.0
2021-09-16,350.0,353.3,360.0
2021-09-23,350.0,353.3,360.0
2021-09-30,350.0,353.3,360.0
2021-10-07,350.0,353.3,360.0
2021-10-14,350.0,353.3,360.0
2021-10-21,350.0,353.3,360.0
2021-10-28,350.0,353.3,360.0
2021-12-02,350.0,353.3,360.0
2021-11-04,350.0,353.3,360.0
2021-11-11,350.0,353.3,360.0
2021-11-18,350.0,353.3,360.0
2021-11-25,350.0,353.3,360.0
2021-12-08,350.0,353.3,360.0
2021-12-15,350.0,353.3,360.0
