Date,Min,Avg,Max
2021-07-29,325.0,333.13,350.0
2021-07-15,325.0,333.13,350.0
2021-07-08,325.0,333.13,350.0
2021-07-01,325.0,333.13,350.0
2021-06-24,325.0,333.13,350.0
2021-06-17,325.0,333.13,350.0
2021-06-10,325.0,333.13,350.0
2021-06-03,325.0,333.13,350.0
2021-05-27,325.0,333.13,350.0
2021-05-20,325.0,333.13,350.0
2021-05-06,325.0,333.13,350.0
2021-04-29,325.0,333.13,350.0
2021-04-22,325.0,333.13,350.0
2021-04-15,325.0,333.13,350.0
2021-04-08,325.0,333.13,350.0
2021-04-01,325.0,333.13,350.0
2021-03-25,325.0,333.13,350.0
2021-03-18,325.0,333.13,350.0
2021-03-11,325.0,333.13,350.0
2021-03-04,325.0,333.13,350.0
2021-02-25,325.0,333.13,350.0
2021-02-18,325.0,333.13,350.0
2021-02-11,325.0,333.13,350.0
2021-02-04,325.0,333.13,350.0
2021-01-28,325.0,333.13,350.0
2021-01-21,325.0,333.13,350.0
2021-01-14,325.0,333.13,350.0
2021-01-07,325.0,333.13,350.0
2020-12-31,325.0,333.13,350.0
2020-12-24,325.0,333.13,350.0
2020-12-17,325.0,333.13,350.0
2020-12-10,325.0,333.13,350.0
2020-12-03,325.0,333.13,350.0
2020-11-26,325.0,333.13,350.0
2020-11-19,325.0,333.13,350.0
2020-11-12,325.0,333.13,350.0
2020-11-05,325.0,333.13,350.0
2020-10-29,325.0,333.13,350.0
2020-10-22,325.0,333.13,350.0
2020-10-15,325.0,333.13,350.0
2020-10-08,325.0,333.13,350.0
2020-10-01,325.0,333.13,350.0
2020-09-24,325.0,333.13,350.0
2020-09-17,325.0,333.13,350.0
2020-09-10,325.0,333.13,350.0
2020-09-03,325.0,333.13,350.0
2020-08-27,325.0,333.13,350.0
2020-08-20,325.0,333.13,350.0
2020-08-13,325.0,333.13,350.0
2020-08-06,325.0,333.13,350.0
2020-07-29,325.0,333.13,350.0
2020-07-23,325.0,333.13,350.0
2020-07-16,325.0,333.13,350.0
2020-07-09,325.0,333.13,350.0
2020-07-02,325.0,333.13,350.0
2020-06-25,325.0,333.13,350.0
2020-06-18,325.0,333.13,350.0
2020-06-11,325.0,333.13,350.0
2020-06-04,325.0,333.13,350.0
2020-05-28,325.0,333.13,350.0
2020-05-21,325.0,333.13,350.0
2020-05-14,325.0,333.13,350.0
2020-05-07,325.0,333.13,350.0
2020-04-30,325.0,333.13,350.0
2020-04-23,325.0,333.13,350.0
2020-04-16,325.0,333.13,350.0
2020-04-09,325.0,333.13,350.0
2020-04-02,325.0,333.13,350.0
2020-03-26,325.0,333.13,350.0
2020-03-19,325.0,333.13,350.0
2020-03-12,325.0,333.13,350.0
2020-03-05,325.0,333.13,350.0
2020-02-27,325.0,333.13,350.0
2020-02-20,325.0,333.13,350.0
2020-02-13,325.0,333.13,350.0
2020-02-06,325.0,333.13,350.0
2020-01-30,325.0,333.13,350.0
2020-01-23,325.0,333.13,350.0
2020-01-16,325.0,333.13,350.0
2020-01-09,325.0,333.13,350.0
2020-01-02,325.0,333.13,350.0
2019-12-26,325.0,333.13,350.0
2019-12-19,325.0,333.13,350.0
2019-12-12,325.0,333.13,350.0
2019-12-05,325.0,333.13,350.0
2019-11-28,325.0,333.13,350.0
2019-11-21,325.0,333.13,350.0
2019-11-14,325.0,333.13,350.0
2019-11-07,325.0,333.13,350.0
2019-10-31,325.0,333.13,350.0
2019-10-24,325.0,333.13,350.0
2019-10-17,325.0,333.13,350.0
2019-10-10,325.0,333.13,350.0
2019-10-03,325.0,333.13,350.0
2019-09-26,325.0,333.13,350.0
2019-09-19,325.0,333.13,350.0
2019-09-12,325.0,333.13,350.0
2019-09-05,325.0,333.13,350.0
2021-08-06,325.0,333.13,350.0
