Date,Min,Avg,Max
9/5/2019,270,270,270
9/12/2019,270,270,270
9/19/2019,270,270,270
9/26/2019,270,270,270
10/3/2019,270,270,270
10/10/2019,270,270,270
10/17/2019,270,270,270
10/24/2019,270,270,270
10/31/2019,270,270,270
11/7/2019,270,270,270
11/14/2019,270,270,270
11/21/2019,270,270,270
11/28/2019,270,270,270
12/5/2019,270,270,270
12/12/2019,270,270,270
12/19/2019,270,270,270
12/26/2019,270,270,270
1/2/2020,270,270,270
1/9/2020,270,270,270
1/16/2020,270,270,270
1/23/2020,270,270,270
1/30/2020,270,270,270
2/6/2020,270,270,270
2/13/2020,270,270,270
2/20/2020,270,270,270
2/27/2020,270,270,270
3/5/2020,270,270,270
3/12/2020,270,270,270
3/19/2020,270,270,270
3/26/2020,270,270,270
4/2/2020,270,270,270
4/9/2020,270,270,270
4/16/2020,270,270,270
4/23/2020,270,270,270
4/30/2020,270,270,270
5/7/2020,270,270,270
5/14/2020,270,270,270
5/21/2020,270,270,270
5/28/2020,270,270,270
6/4/2020,270,270,270
6/11/2020,270,270,270
6/18/2020,270,270,270
6/25/2020,270,270,270
7/2/2020,270,270,270
7/9/2020,300,300,300
7/16/2020,300,300,300
7/23/2020,300,300,300
7/29/2020,300,300,300
8/6/2020,300,300,300
8/13/2020,300,300,300
8/20/2020,300,300,300
8/27/2020,300,300,300
9/3/2020,300,300,300
9/10/2020,300,300,300
9/17/2020,300,300,300
9/24/2020,300,300,300
10/1/2020,300,300,300
10/8/2020,300,300,300
10/15/2020,300,300,300
10/22/2020,300,300,300
10/29/2020,300,300,300
11/5/2020,300,300,300
11/12/2020,300,300,300
11/19/2020,300,300,300
11/26/2020,300,300,300
12/3/2020,300,300,300
12/10/2020,300,300,300
12/17/2020,300,300,300
12/24/2020,300,300,300
12/31/2020,300,300,300
1/7/2021,300,300,300
1/14/2021,300,300,300
1/21/2021,300,300,300
1/28/2021,300,300,300
2/4/2021,300,300,300
2/11/2021,300,300,300
2/18/2021,300,300,300
2/25/2021,300,300,300
3/4/2021,300,309.68,330
3/11/2021,300,309.68,330
3/18/2021,300,309.68,330
3/25/2021,300,309.68,330
4/1/2021,300,309.68,330
4/8/2021,300,309.68,330
4/15/2021,300,309.68,330
4/22/2021,300,309.68,330
4/29/2021,300,309.68,330
5/6/2021,300,309.68,330
5/20/2021,300,309.68,330
5/27/2021,300,309.68,330
6/3/2021,300,309.68,330
6/10/2021,300,309.68,330
6/17/2021,300,309.68,330
6/24/2021,300,309.68,330
7/1/2021,300,309.68,330
7/8/2021,300,309.68,330
7/15/2021,300,309.68,330
7/29/2021,300,309.68,330
8/5/2021,300,309.68,330
8/12/2021,300,309.68,330
8/26/2021,300,309.68,330
9/2/2021,300,309.68,330
9/9/2021,300,309.68,330
