Date,Min,Avg,Max
9/5/2019,180,296.02,600
9/12/2019,180,296.02,600
9/19/2019,180,298.72,600
9/26/2019,180,298.72,600
10/3/2019,180,298.72,600
10/10/2019,180,298.72,600
10/17/2019,180,298.72,600
10/24/2019,180,298.72,600
10/31/2019,180,298.72,600
11/7/2019,180,300.44,600
11/14/2019,180,300.44,600
11/21/2019,180,300.44,600
11/28/2019,180,300.44,600
12/5/2019,180,300.44,600
12/12/2019,180,300.44,600
12/19/2019,180,301.29,600
12/26/2019,180,301.29,600
1/2/2020,180,302.84,600
1/9/2020,180,302.84,600
1/16/2020,180,305.34,600
1/23/2020,180,305.34,600
1/30/2020,180,305.34,600
2/6/2020,180,305.34,600
2/13/2020,180,309.41,600
2/20/2020,180,309.41,600
2/27/2020,180,309.41,600
3/5/2020,180,314.69,600
3/12/2020,180,319.37,600
3/19/2020,180,319.37,600
3/26/2020,180,319.37,600
4/2/2020,180,319.37,600
4/9/2020,180,319.37,600
4/16/2020,180,319.37,600
4/23/2020,180,319.37,600
4/30/2020,180,319.37,600
5/7/2020,200,323.33,600
5/14/2020,200,323.72,600
5/21/2020,200,323.72,600
5/28/2020,200,323.72,600
6/4/2020,200,323.72,600
6/11/2020,200,323.72,600
6/18/2020,200,331.64,600
6/25/2020,200,331.64,600
7/2/2020,200,331.64,600
7/9/2020,220,338.12,600
7/16/2020,220,344.88,600
7/23/2020,220,344.88,600
7/29/2020,220,344.88,600
8/6/2020,220,344.88,600
8/13/2020,220,344.88,600
8/20/2020,220,344.88,600
8/27/2020,220,344.88,600
9/3/2020,220,344.88,600
9/10/2020,220,344.88,600
9/17/2020,220,344.88,600
9/24/2020,220,344.88,600
10/1/2020,220,344.88,600
10/8/2020,220,344.88,600
10/15/2020,220,345.34,600
10/22/2020,220,345.34,600
10/29/2020,220,345.34,600
11/5/2020,220,349.76,600
11/12/2020,220,349.76,600
11/19/2020,220,350.23,600
11/26/2020,220,350.23,600
12/3/2020,220,350.23,600
12/10/2020,220,350.23,600
12/17/2020,220,350.23,600
12/24/2020,220,350.23,600
12/31/2020,220,350.23,600
1/7/2021,220,350.23,600
1/14/2021,220,354.42,600
1/21/2021,220,354.42,600
1/28/2021,220,354.42,600
2/4/2021,220,354.42,600
2/11/2021,220,354.42,600
2/18/2021,250,366.83,600
2/25/2021,290,377.12,600
3/4/2021,290,377.12,600
3/11/2021,290,381.91,600
3/18/2021,290,381.91,600
3/25/2021,290,381.91,600
4/1/2021,290,381.91,600
4/8/2021,290,381.91,600
4/15/2021,290,381.91,600
4/22/2021,290,381.91,600
4/29/2021,290,381.91,600
5/6/2021,290,381.91,600
5/20/2021,290,381.91,600
5/27/2021,290,381.91,600
6/3/2021,290,381.91,600
6/10/2021,290,381.91,600
6/17/2021,290,381.91,600
6/24/2021,290,381.91,600
7/1/2021,290,381.91,600
7/8/2021,290,384.92,600
7/15/2021,290,384.92,600
7/29/2021,290,384.92,600
8/5/2021,290,384.92,600
8/12/2021,290,384.92,600
8/26/2021,290,384.92,600
9/2/2021,290,384.92,600
9/9/2021,290,384.92,600
2021-09-16,290.0,384.92,600.0
