Date,Min,Avg,Max
2019-09-05,325.0,331.93,341.0
2019-09-12,325.0,331.93,341.0
2019-09-19,325.0,331.93,341.0
2019-09-26,325.0,331.93,341.0
2019-10-03,325.0,331.93,341.0
2019-10-10,325.0,331.93,341.0
2019-10-17,325.0,331.93,341.0
2019-10-24,325.0,331.93,341.0
2019-10-31,325.0,331.93,341.0
2019-11-07,325.0,331.93,341.0
2019-11-14,325.0,331.93,341.0
2019-11-21,325.0,331.93,341.0
2019-11-28,325.0,331.93,341.0
2019-12-05,325.0,331.93,341.0
2019-12-12,325.0,331.93,341.0
2019-12-19,325.0,331.93,341.0
2019-12-26,325.0,331.93,341.0
2020-01-02,325.0,331.93,341.0
2020-01-09,325.0,331.93,341.0
2020-01-16,325.0,331.93,341.0
2020-01-23,325.0,331.93,341.0
2020-01-30,325.0,331.93,341.0
2020-02-06,325.0,331.93,341.0
2020-02-13,340.0,340.0,340.0
2020-02-20,340.0,340.0,340.0
2020-02-27,340.0,340.0,340.0
2020-03-05,340.0,340.0,340.0
2020-03-12,377.0,379.0,380.0
2020-03-19,377.0,379.0,380.0
2020-03-26,377.0,379.0,380.0
2020-04-02,377.0,379.0,380.0
2020-04-09,377.0,379.0,380.0
2020-04-16,377.0,379.0,380.0
2020-04-23,377.0,379.0,380.0
2020-04-30,377.0,379.0,380.0
2020-05-07,377.0,379.0,380.0
2020-05-14,377.0,379.0,380.0
2020-05-21,377.0,379.0,380.0
2020-05-28,377.0,379.0,380.0
2020-06-04,377.0,379.0,380.0
2020-06-11,377.0,379.0,380.0
2020-06-18,377.0,379.0,380.0
2020-06-25,377.0,379.0,380.0
2020-07-02,377.0,379.0,380.0
2020-07-09,377.0,379.0,380.0
2020-07-16,377.0,379.0,380.0
2020-07-23,377.0,379.0,380.0
2020-07-29,377.0,379.0,380.0
2020-08-06,377.0,379.0,380.0
2020-08-13,377.0,379.0,380.0
2020-08-20,377.0,379.0,380.0
2020-08-27,377.0,379.0,380.0
2020-09-03,377.0,379.0,380.0
2020-09-10,377.0,379.0,380.0
2020-09-17,377.0,379.0,380.0
2020-09-24,377.0,379.0,380.0
2020-10-01,377.0,379.0,380.0
2020-10-08,377.0,379.0,380.0
2020-10-15,377.0,379.0,380.0
2020-10-22,377.0,379.0,380.0
2020-10-29,377.0,379.0,380.0
2020-11-05,380.0,381.33,384.0
2020-11-12,380.0,381.33,384.0
2020-11-19,380.0,381.33,384.0
2020-11-26,380.0,381.33,384.0
2020-12-03,380.0,381.33,384.0
2020-12-10,380.0,381.33,384.0
2020-12-17,380.0,381.33,384.0
2020-12-24,380.0,381.33,384.0
2020-12-31,380.0,381.33,384.0
2021-01-07,380.0,381.33,384.0
2021-01-14,390.0,391.42,394.29
2021-01-21,390.0,391.42,394.29
2021-01-28,390.0,391.42,394.29
2021-02-04,390.0,391.42,394.29
2021-02-11,390.0,391.42,394.29
2021-02-18,390.0,391.42,394.29
2021-02-25,390.0,391.42,394.29
2021-03-04,390.0,391.42,394.29
2021-03-11,390.0,391.42,394.29
2021-03-18,390.0,391.42,394.29
2021-03-25,390.0,391.42,394.29
2021-04-01,390.0,391.42,394.29
2021-04-08,390.0,391.42,394.29
2021-04-15,390.0,391.42,394.29
2021-04-22,390.0,391.42,394.29
2021-04-29,390.0,391.42,394.29
2021-05-06,390.0,391.42,394.29
2021-05-20,390.0,391.42,394.29
2021-05-27,390.0,391.42,394.29
2021-06-03,390.0,391.42,394.29
2021-06-10,390.0,391.42,394.29
2021-06-17,390.0,391.42,394.29
2021-06-24,390.0,391.42,394.29
2021-07-01,390.0,391.42,394.29
2021-07-08,390.0,391.42,394.29
2021-07-15,390.0,391.42,394.29
2021-07-29,390.0,391.42,394.29
2021-08-05,390.0,391.42,394.29
2021-08-12,390.0,391.42,394.29
2021-08-26,390.0,391.42,394.29
2021-09-02,390.0,391.42,394.29
2021-09-09,390.0,391.42,394.29
