Date,Min,Avg,Max
2019-09-05,180.0,197.9,200.0
2019-09-12,180.0,197.9,200.0
2019-09-19,180.0,197.9,200.0
2019-09-26,180.0,197.9,200.0
2019-10-03,180.0,197.9,200.0
2019-10-10,180.0,197.9,200.0
2019-10-17,180.0,197.9,200.0
2019-10-24,180.0,197.9,200.0
2019-10-31,180.0,197.9,200.0
2019-11-07,180.0,197.9,200.0
2019-11-14,180.0,197.9,200.0
2019-11-21,180.0,197.9,200.0
2019-11-28,180.0,197.9,200.0
2019-12-05,180.0,197.9,200.0
2019-12-12,180.0,197.9,200.0
2019-12-19,180.0,197.9,200.0
2019-12-26,180.0,197.9,200.0
2020-01-02,180.0,197.9,200.0
2020-01-09,180.0,197.9,200.0
2020-01-16,180.0,197.9,200.0
2020-01-23,180.0,197.9,200.0
2020-01-30,180.0,197.9,200.0
2020-02-06,180.0,197.9,200.0
2020-02-13,180.0,197.9,200.0
2020-02-20,180.0,197.9,200.0
2020-02-27,180.0,197.9,200.0
2020-03-05,180.0,197.9,200.0
2020-03-12,180.0,197.9,200.0
2020-03-19,180.0,197.9,200.0
2020-03-26,180.0,197.9,200.0
2020-04-02,180.0,197.9,200.0
2020-04-09,180.0,197.9,200.0
2020-04-16,180.0,197.9,200.0
2020-04-23,180.0,197.9,200.0
2020-04-30,180.0,197.9,200.0
2020-05-07,200.0,244.07,250.0
2020-05-14,240.0,249.07,250.0
2020-05-21,240.0,249.07,250.0
2020-05-28,240.0,249.07,250.0
2020-06-04,240.0,249.07,250.0
2020-06-11,240.0,249.07,250.0
2020-06-18,240.0,249.07,250.0
2020-06-25,240.0,249.07,250.0
2020-07-02,240.0,249.07,250.0
2020-07-09,240.0,249.07,250.0
2020-07-16,240.0,249.07,250.0
2020-07-23,240.0,249.07,250.0
2020-07-29,240.0,249.07,250.0
2020-08-06,240.0,249.07,250.0
2020-08-13,240.0,249.07,250.0
2020-08-20,240.0,249.07,250.0
2020-08-27,240.0,249.07,250.0
2020-09-03,240.0,249.07,250.0
2020-09-10,240.0,249.07,250.0
2020-09-17,240.0,249.07,250.0
2020-09-24,240.0,249.07,250.0
2020-10-01,240.0,249.07,250.0
2020-10-08,240.0,249.07,250.0
2020-10-15,240.0,249.07,250.0
2020-10-22,240.0,249.07,250.0
2020-10-29,240.0,249.07,250.0
2020-11-05,250.0,293.22,300.0
2020-11-12,250.0,293.22,300.0
2020-11-19,300.0,300.0,300.0
2020-11-26,300.0,300.0,300.0
2020-12-03,300.0,300.0,300.0
2020-12-10,300.0,300.0,300.0
2020-12-17,300.0,300.0,300.0
2020-12-24,300.0,300.0,300.0
2020-12-31,300.0,300.0,300.0
2021-01-07,300.0,300.0,300.0
2021-01-14,300.0,300.0,300.0
2021-01-21,300.0,300.0,300.0
2021-01-28,300.0,300.0,300.0
2021-02-04,300.0,300.0,300.0
2021-02-11,300.0,300.0,300.0
2021-02-18,300.0,300.0,300.0
2021-02-25,300.0,300.0,300.0
2021-03-04,300.0,300.0,300.0
2021-03-11,300.0,300.0,300.0
2021-03-18,300.0,300.0,300.0
2021-03-25,300.0,300.0,300.0
2021-04-01,300.0,300.0,300.0
2021-04-08,300.0,300.0,300.0
2021-04-15,300.0,300.0,300.0
2021-04-22,300.0,300.0,300.0
2021-04-29,300.0,300.0,300.0
2021-05-06,300.0,300.0,300.0
2021-05-20,300.0,300.0,300.0
2021-05-27,300.0,300.0,300.0
2021-06-03,300.0,300.0,300.0
2021-06-10,300.0,300.0,300.0
2021-06-17,300.0,300.0,300.0
2021-06-24,300.0,300.0,300.0
2021-07-01,300.0,300.0,300.0
2021-07-08,300.0,300.0,300.0
2021-07-15,300.0,300.0,300.0
2021-07-29,300.0,300.0,300.0
2021-08-05,300.0,300.0,300.0
2021-08-12,300.0,300.0,300.0
2021-08-26,300.0,300.0,300.0
2021-09-02,300.0,300.0,300.0
2021-09-09,300.0,300.0,300.0
