Date,Min,Avg,Max
2019-09-05,275.0,275.0,275.0
2019-09-12,275.0,275.0,275.0
2019-09-19,275.0,275.0,275.0
2019-09-26,275.0,275.0,275.0
2019-10-03,275.0,275.0,275.0
2019-10-10,275.0,275.0,275.0
2019-10-17,275.0,275.0,275.0
2019-10-24,275.0,275.0,275.0
2019-10-31,275.0,275.0,275.0
2019-11-07,275.0,275.0,275.0
2019-11-14,275.0,275.0,275.0
2019-11-21,275.0,275.0,275.0
2019-11-28,275.0,275.0,275.0
2019-12-05,275.0,275.0,275.0
2019-12-12,275.0,275.0,275.0
2019-12-19,275.0,275.0,275.0
2019-12-26,275.0,275.0,275.0
2020-01-02,300.0,300.0,300.0
2020-01-09,300.0,300.0,300.0
2020-01-16,300.0,300.0,300.0
2020-01-23,300.0,300.0,300.0
2020-01-30,300.0,300.0,300.0
2020-02-06,300.0,300.0,300.0
2020-02-13,300.0,300.0,300.0
2020-02-20,300.0,300.0,300.0
2020-02-27,300.0,300.0,300.0
2020-03-05,400.0,400.0,400.0
2020-03-12,400.0,400.0,400.0
2020-03-19,400.0,400.0,400.0
2020-03-26,400.0,400.0,400.0
2020-04-02,400.0,400.0,400.0
2020-04-09,400.0,400.0,400.0
2020-04-16,400.0,400.0,400.0
2020-04-23,400.0,400.0,400.0
2020-04-30,400.0,400.0,400.0
2020-05-07,400.0,400.0,400.0
2020-05-14,400.0,400.0,400.0
2020-05-21,400.0,400.0,400.0
2020-05-28,400.0,400.0,400.0
2020-06-04,400.0,400.0,400.0
2020-06-11,400.0,400.0,400.0
2020-06-18,400.0,400.0,400.0
2020-06-25,400.0,400.0,400.0
2020-07-02,400.0,400.0,400.0
2020-07-09,400.0,400.0,400.0
2020-07-16,400.0,400.0,400.0
2020-07-23,400.0,400.0,400.0
2020-07-29,400.0,400.0,400.0
2020-08-06,400.0,400.0,400.0
2020-08-13,400.0,400.0,400.0
2020-08-20,400.0,400.0,400.0
2020-08-27,400.0,400.0,400.0
2020-09-03,400.0,400.0,400.0
2020-09-10,400.0,400.0,400.0
2020-09-17,400.0,400.0,400.0
2020-09-24,400.0,400.0,400.0
2020-10-01,400.0,400.0,400.0
2020-10-08,400.0,400.0,400.0
2020-10-15,400.0,400.0,400.0
2020-10-22,400.0,400.0,400.0
2020-10-29,400.0,400.0,400.0
2020-11-05,400.0,400.0,400.0
2020-11-12,400.0,400.0,400.0
2020-11-19,400.0,400.0,400.0
2020-11-26,400.0,400.0,400.0
2020-12-03,400.0,400.0,400.0
2020-12-10,400.0,400.0,400.0
2020-12-17,400.0,400.0,400.0
2020-12-24,400.0,400.0,400.0
2020-12-31,400.0,400.0,400.0
2021-01-07,400.0,400.0,400.0
2021-01-14,400.0,400.0,400.0
2021-01-21,400.0,400.0,400.0
2021-01-28,400.0,400.0,400.0
2021-02-04,400.0,400.0,400.0
2021-02-11,400.0,400.0,400.0
2021-02-18,400.0,400.0,400.0
2021-02-25,400.0,400.0,400.0
2021-03-04,400.0,400.0,400.0
2021-03-11,400.0,400.0,400.0
2021-03-18,400.0,400.0,400.0
2021-03-25,400.0,400.0,400.0
2021-04-01,400.0,400.0,400.0
2021-04-08,400.0,400.0,400.0
2021-04-15,400.0,400.0,400.0
2021-04-22,400.0,400.0,400.0
2021-04-29,400.0,400.0,400.0
2021-05-06,400.0,400.0,400.0
2021-05-20,400.0,400.0,400.0
2021-05-27,400.0,400.0,400.0
2021-06-03,400.0,400.0,400.0
2021-06-10,400.0,400.0,400.0
2021-06-17,400.0,400.0,400.0
2021-06-24,400.0,400.0,400.0
2021-07-01,400.0,400.0,400.0
2021-07-08,400.0,400.0,400.0
2021-07-15,400.0,400.0,400.0
2021-07-29,400.0,400.0,400.0
2021-08-05,400.0,400.0,400.0
2021-08-12,400.0,400.0,400.0
2021-08-26,400.0,400.0,400.0
2021-09-02,400.0,400.0,400.0
2021-09-09,400.0,400.0,400.0
2021-09-16,400.0,400.0,400.0
2021-09-23,400.0,400.0,400.0
2021-09-30,400.0,400.0,400.0
2021-10-07,400.0,400.0,400.0
