Date,Min,Avg,Max
2019-09-05,160.0,173.07,180.0
2019-09-12,160.0,173.07,180.0
2019-09-19,170.0,176.6,180.0
2019-09-26,170.0,173.27,180.0
2019-10-03,170.0,173.27,180.0
2019-10-10,170.0,173.27,180.0
2019-10-17,170.0,173.27,180.0
2019-10-24,170.0,173.27,180.0
2019-10-31,170.0,173.27,180.0
2019-11-07,170.0,173.27,180.0
2019-11-14,180.0,186.43,200.0
2019-11-21,200.0,213.12,220.0
2019-11-28,210.0,216.61,220.0
2019-12-05,210.0,216.61,220.0
2019-12-12,210.0,216.61,220.0
2019-12-19,210.0,216.61,220.0
2019-12-26,210.0,216.61,220.0
2020-01-02,210.0,216.61,220.0
2020-01-09,220.0,226.62,230.0
2020-01-16,220.0,226.62,230.0
2020-01-23,230.0,236.62,240.0
2020-01-30,230.0,236.62,240.0
2020-02-06,230.0,236.62,240.0
2020-02-13,230.0,236.62,240.0
2020-02-20,200.0,216.3,230.0
2020-02-27,220.0,223.28,230.0
2020-03-05,220.0,223.28,230.0
2020-03-12,220.0,223.28,230.0
2020-03-19,220.0,223.28,230.0
2020-03-26,220.0,223.28,230.0
2020-04-02,220.0,223.28,230.0
2020-04-09,230.0,236.62,240.0
2020-04-16,280.0,280.0,280.0
2020-04-23,280.0,280.0,280.0
2020-04-30,280.0,280.0,280.0
2020-05-07,280.0,280.0,280.0
2020-05-14,280.0,280.0,280.0
2020-05-21,280.0,280.0,280.0
2020-05-28,280.0,280.0,280.0
2020-06-04,280.0,280.0,280.0
2020-06-11,280.0,280.0,280.0
2020-06-18,280.0,280.0,280.0
2020-06-25,260.0,260.0,260.0
2020-07-02,240.0,253.15,260.0
2020-07-09,240.0,240.0,240.0
2020-07-16,240.0,240.0,240.0
2020-07-23,240.0,259.49,280.0
2020-07-29,240.0,259.49,280.0
2020-08-06,240.0,253.15,260.0
2020-08-13,240.0,253.15,260.0
2020-08-20,240.0,253.15,260.0
2020-08-27,260.0,260.0,260.0
2020-09-03,260.0,260.0,260.0
2020-09-10,260.0,260.0,260.0
2020-09-17,260.0,260.0,260.0
2020-09-24,260.0,260.0,260.0
2020-10-01,240.0,253.15,260.0
2020-10-08,240.0,253.15,260.0
2020-10-15,240.0,253.15,260.0
2020-10-22,240.0,246.49,260.0
2020-10-29,240.0,246.49,260.0
2020-11-05,240.0,246.49,260.0
2020-11-12,240.0,246.49,260.0
2020-11-19,240.0,246.49,260.0
2020-11-26,240.0,246.49,260.0
2020-12-03,240.0,253.15,260.0
2020-12-10,220.0,239.44,260.0
2020-12-17,220.0,239.44,260.0
2020-12-24,220.0,236.33,250.0
2020-12-31,220.0,236.33,250.0
2021-01-07,220.0,236.33,250.0
2021-01-14,220.0,236.33,250.0
2021-01-21,220.0,236.33,250.0
2021-01-28,220.0,242.72,260.0
2021-02-04,220.0,242.72,260.0
2021-02-11,220.0,242.72,260.0
2021-02-18,240.0,256.12,280.0
2021-02-25,240.0,259.49,280.0
2021-03-04,240.0,259.49,280.0
2021-03-11,240.0,259.49,280.0
2021-03-18,260.0,266.5,280.0
2021-03-25,260.0,266.5,280.0
2021-04-01,260.0,266.5,280.0
2021-04-08,260.0,266.5,280.0
2021-04-15,260.0,266.5,280.0
2021-04-22,260.0,266.5,280.0
2021-04-29,240.0,259.49,280.0
2021-05-06,260.0,266.5,280.0
2021-05-20,280.0,280.0,280.0
2021-05-27,260.0,273.17,280.0
2021-06-03,260.0,273.17,280.0
2021-06-10,250.0,256.62,260.0
2021-06-17,250.0,256.62,260.0
2021-06-24,250.0,256.62,260.0
2021-07-01,250.0,256.62,260.0
2021-07-08,250.0,256.62,260.0
2021-07-15,250.0,256.62,260.0
2021-07-29,250.0,256.62,260.0
2021-08-05,240.0,246.49,260.0
2021-08-12,240.0,246.49,260.0
2021-08-26,260.0,260.0,260.0
2021-09-02,260.0,260.0,260.0
2021-09-09,260.0,260.0,260.0
2021-09-16,260.0,260.0,260.0
2021-09-23,260.0,260.0,260.0
2021-09-30,260.0,260.0,260.0
2021-10-07,260.0,260.0,260.0
2021-10-14,260.0,260.0,260.0
2021-10-21,260.0,260.0,260.0
2021-10-28,260.0,260.0,260.0
2021-12-02,260.0,260.0,260.0
2021-11-04,260.0,260.0,260.0
2021-11-11,260.0,260.0,260.0
2021-11-18,260.0,260.0,260.0
2021-11-25,260.0,260.0,260.0
2021-12-08,260.0,260.0,260.0
2021-12-15,260.0,260.0,260.0
