Date,Min,Avg,Max
2019-09-05,180.0,203.63,230.0
2019-09-12,180.0,203.63,230.0
2019-09-19,180.0,203.63,230.0
2019-09-26,180.0,203.63,230.0
2019-10-03,180.0,203.63,230.0
2019-10-10,180.0,203.63,230.0
2019-10-17,180.0,203.63,230.0
2019-10-24,180.0,204.42,230.0
2019-10-31,180.0,203.63,230.0
2019-11-07,190.0,214.44,240.0
2019-11-14,190.0,218.68,240.0
2019-11-21,190.0,218.68,240.0
2019-11-28,190.0,218.68,240.0
2019-12-05,190.0,218.68,240.0
2019-12-12,190.0,218.68,240.0
2019-12-19,210.0,225.49,250.0
2019-12-26,210.0,226.36,250.0
2020-01-02,210.0,226.36,250.0
2020-01-09,220.0,237.11,260.0
2020-01-16,220.0,237.11,260.0
2020-01-23,220.0,237.11,260.0
2020-01-30,220.0,237.99,260.0
2020-02-06,220.0,237.99,260.0
2020-02-13,220.0,237.99,260.0
2020-02-20,220.0,237.99,260.0
2020-02-27,220.0,237.99,260.0
2020-03-05,220.0,237.99,260.0
2020-03-12,220.0,237.99,260.0
2020-03-19,220.0,230.67,250.0
2020-03-26,220.0,230.67,250.0
2020-04-02,240.0,257.18,280.0
2020-04-09,250.0,268.94,290.0
2020-04-16,260.0,271.49,290.0
2020-04-23,260.0,271.49,290.0
2020-04-30,260.0,275.58,300.0
2020-05-07,260.0,275.58,300.0
2020-05-14,260.0,275.58,300.0
2020-05-21,260.0,275.58,300.0
2020-05-28,260.0,275.58,300.0
2020-06-04,260.0,275.58,300.0
2020-06-11,260.0,275.58,300.0
2020-06-18,260.0,275.58,300.0
2020-06-25,240.0,260.6,280.0
2020-07-02,240.0,260.6,280.0
2020-07-09,240.0,260.6,280.0
2020-07-16,240.0,260.6,280.0
2020-07-23,240.0,260.6,280.0
2020-07-29,240.0,260.6,280.0
2020-08-06,240.0,260.6,280.0
2020-08-13,240.0,253.99,270.0
2020-08-20,240.0,250.65,270.0
2020-08-27,240.0,250.65,270.0
2020-09-03,240.0,250.65,270.0
2020-09-10,240.0,254.76,280.0
2020-09-17,240.0,256.43,280.0
2020-09-24,240.0,256.43,280.0
2020-10-01,240.0,256.43,280.0
2020-10-08,240.0,256.43,280.0
2020-10-15,240.0,256.43,280.0
2020-10-22,250.0,267.34,280.0
2020-10-29,250.0,267.34,280.0
2020-11-05,250.0,267.34,280.0
2020-11-12,250.0,267.34,280.0
2020-11-19,250.0,267.34,280.0
2020-11-26,250.0,267.34,280.0
2020-12-03,250.0,267.34,280.0
2020-12-10,250.0,267.34,280.0
2020-12-17,240.0,256.46,270.0
2020-12-24,240.0,256.46,270.0
2020-12-31,240.0,256.46,270.0
2021-01-07,240.0,256.46,270.0
2021-01-14,250.0,266.47,280.0
2021-01-21,250.0,266.47,280.0
2021-01-28,250.0,266.47,280.0
2021-02-04,250.0,266.47,280.0
2021-02-11,260.0,277.17,300.0
2021-02-18,260.0,282.15,310.0
2021-02-25,260.0,284.63,310.0
2021-03-04,260.0,284.63,310.0
2021-03-11,260.0,284.63,310.0
2021-03-18,260.0,284.63,310.0
2021-03-25,260.0,284.63,310.0
2021-04-01,260.0,284.63,310.0
2021-04-08,260.0,284.63,310.0
2021-04-15,260.0,273.23,290.0
2021-04-22,260.0,273.23,290.0
2021-04-29,260.0,273.23,290.0
2021-05-06,260.0,273.23,290.0
2021-05-20,260.0,273.23,290.0
2021-05-27,260.0,273.23,290.0
2021-06-03,260.0,273.23,290.0
2021-06-10,250.0,269.73,300.0
2021-06-17,260.0,266.59,280.0
2021-06-24,260.0,266.59,280.0
2021-07-01,260.0,266.59,280.0
2021-07-08,260.0,270.7,290.0
2021-07-15,260.0,270.7,290.0
2021-07-29,260.0,270.7,290.0
2021-08-05,260.0,270.7,290.0
2021-08-12,260.0,270.7,290.0
2021-08-26,260.0,270.7,290.0
2021-09-02,260.0,270.7,290.0
2021-09-09,260.0,280.64,300.0
2021-09-16,260.0,280.64,300.0
2021-09-23,260.0,279.03,290.0
2021-09-30,260.0,279.03,290.0
2021-10-07,260.0,279.03,290.0
2021-10-14,260.0,279.03,290.0
2021-10-21,260.0,279.03,290.0
2021-10-28,260.0,279.03,290.0
