Date,Min,Avg,Max
2019-09-05,160.0,169.8,180.0
2019-09-12,180.0,180.0,180.0
2019-09-19,180.0,180.0,180.0
2019-09-26,190.0,190.0,190.0
2019-10-03,190.0,190.0,190.0
2019-10-10,190.0,190.0,190.0
2019-10-17,190.0,194.96,200.0
2019-10-24,190.0,190.0,190.0
2019-10-31,200.0,200.0,200.0
2019-11-07,180.0,189.82,200.0
2019-11-14,180.0,189.82,200.0
2019-11-21,180.0,189.82,200.0
2019-11-28,160.0,175.87,200.0
2019-12-05,170.0,174.95,180.0
2019-12-12,170.0,170.0,170.0
2019-12-19,180.0,180.0,180.0
2019-12-26,180.0,180.0,180.0
2020-01-02,180.0,184.95,190.0
2020-01-09,185.0,185.0,185.0
2020-01-16,180.0,180.0,180.0
2020-01-23,180.0,180.0,180.0
2020-01-30,180.0,180.0,180.0
2020-02-06,180.0,180.0,180.0
2020-02-13,170.0,174.95,180.0
2020-02-20,200.0,204.96,210.0
2020-02-27,200.0,200.0,200.0
2020-03-05,200.0,200.0,200.0
2020-03-12,200.0,200.0,200.0
2020-03-19,200.0,200.0,200.0
2020-03-26,200.0,209.84,220.0
2020-04-02,200.0,200.0,200.0
2020-04-09,210.0,210.0,210.0
2020-04-16,220.0,220.0,220.0
2020-04-23,220.0,220.0,220.0
2020-04-30,240.0,240.0,240.0
2020-05-07,220.0,220.0,220.0
2020-05-14,240.0,240.0,240.0
2020-05-21,250.0,253.29,260.0
2020-05-28,220.0,226.47,240.0
2020-06-04,240.0,240.0,240.0
2020-06-11,245.0,248.32,250.0
2020-06-18,220.0,220.0,220.0
2020-06-25,200.0,204.96,210.0
2020-07-02,220.0,229.85,240.0
2020-07-09,240.0,240.0,240.0
2020-07-16,240.0,240.0,240.0
2020-07-23,240.0,240.0,240.0
2020-07-29,240.0,240.0,240.0
2020-08-06,240.0,240.0,240.0
2020-08-13,240.0,240.0,240.0
2020-08-20,220.0,233.14,240.0
2020-08-27,220.0,233.14,240.0
2020-09-03,240.0,240.0,240.0
2020-09-10,240.0,240.0,240.0
2020-09-17,280.0,280.0,280.0
2020-09-24,260.0,269.88,280.0
2020-10-01,240.0,246.49,260.0
2020-10-08,240.0,241.66,245.0
2020-10-15,240.0,240.0,240.0
2020-10-22,230.0,230.0,230.0
2020-10-29,230.0,230.0,230.0
2020-11-05,240.0,240.0,240.0
2020-11-12,240.0,240.0,240.0
2020-11-19,240.0,240.0,240.0
2020-11-26,220.0,220.0,220.0
2020-12-03,220.0,220.0,220.0
2020-12-10,220.0,220.0,220.0
2020-12-17,240.0,240.0,240.0
2020-12-24,240.0,240.0,240.0
2020-12-31,280.0,280.0,280.0
2021-01-07,280.0,280.0,280.0
2021-01-14,250.0,250.0,250.0
2021-01-21,240.0,243.29,250.0
2021-01-28,280.0,280.0,280.0
2021-02-04,240.0,240.0,240.0
2021-02-11,280.0,280.0,280.0
2021-02-18,280.0,280.0,280.0
2021-02-25,240.0,240.0,240.0
2021-03-04,280.0,280.0,280.0
2021-03-11,280.0,280.0,280.0
2021-03-18,280.0,280.0,280.0
2021-03-25,280.0,280.0,280.0
2021-04-01,280.0,280.0,280.0
2021-04-08,260.0,260.0,260.0
2021-04-15,240.0,240.0,240.0
2021-04-22,240.0,240.0,240.0
2021-04-29,240.0,240.0,240.0
2021-05-06,240.0,240.0,240.0
2021-05-20,240.0,240.0,240.0
2021-05-27,250.0,250.0,250.0
2021-06-03,260.0,260.0,260.0
2021-06-10,240.0,240.0,240.0
2021-06-17,240.0,240.0,240.0
2021-06-24,240.0,240.0,240.0
2021-07-01,240.0,240.0,240.0
2021-07-08,240.0,240.0,240.0
2021-07-15,240.0,240.0,240.0
2021-07-29,240.0,240.0,240.0
2021-08-05,240.0,240.0,240.0
2021-08-12,240.0,240.0,240.0
2021-08-26,240.0,240.0,240.0
2021-09-02,240.0,240.0,240.0
2021-09-09,240.0,240.0,240.0
2021-09-16,240.0,240.0,240.0
2021-09-23,240.0,240.0,240.0
