Date,Min,Avg,Max
2019-09-05,170.0,172.17,180.0
2019-09-12,170.0,174.37,180.0
2019-09-19,170.0,176.6,180.0
2019-09-26,170.0,174.37,180.0
2019-10-03,170.0,174.37,180.0
2019-10-10,170.0,178.8,190.0
2019-10-17,170.0,178.8,190.0
2019-10-24,180.0,188.63,200.0
2019-10-31,190.0,197.73,200.0
2019-11-07,190.0,198.81,210.0
2019-11-14,190.0,203.17,220.0
2019-11-21,200.0,214.28,220.0
2019-11-28,200.0,214.28,220.0
2019-12-05,200.0,217.63,230.0
2019-12-12,200.0,216.46,230.0
2019-12-19,200.0,215.39,220.0
2019-12-26,200.0,217.68,220.0
2020-01-02,200.0,217.68,220.0
2020-01-09,220.0,223.24,240.0
2020-01-16,220.0,224.34,240.0
2020-01-23,220.0,229.85,240.0
2020-01-30,220.0,229.85,240.0
2020-02-06,220.0,229.85,240.0
2020-02-13,220.0,229.85,240.0
2020-02-20,220.0,228.77,240.0
2020-02-27,220.0,229.85,240.0
2020-03-05,220.0,229.85,240.0
2020-03-12,220.0,228.77,240.0
2020-03-19,220.0,228.77,240.0
2020-03-26,240.0,240.0,240.0
2020-04-02,250.0,251.09,260.0
2020-04-09,250.0,258.78,270.0
2020-04-16,260.0,263.29,270.0
2020-04-23,260.0,268.83,280.0
2020-04-30,260.0,267.75,270.0
2020-05-07,260.0,266.62,270.0
2020-05-14,260.0,266.62,270.0
2020-05-21,260.0,267.7,280.0
2020-05-28,260.0,267.7,280.0
2020-06-04,250.0,258.78,270.0
2020-06-11,250.0,256.54,270.0
2020-06-18,240.0,255.38,270.0
2020-06-25,240.0,251.93,270.0
2020-07-02,240.0,253.07,270.0
2020-07-09,250.0,256.54,270.0
2020-07-16,240.0,253.12,270.0
2020-07-23,220.0,250.42,280.0
2020-07-29,230.0,247.48,270.0
2020-08-06,230.0,246.36,270.0
2020-08-13,230.0,249.44,280.0
2020-08-20,230.0,243.2,260.0
2020-08-27,230.0,243.2,260.0
2020-09-03,230.0,240.91,260.0
2020-09-10,230.0,242.76,270.0
2020-09-17,230.0,236.53,250.0
2020-09-24,230.0,236.53,250.0
2020-10-01,230.0,239.91,250.0
2020-10-08,230.0,239.91,250.0
2020-10-15,230.0,239.91,250.0
2020-10-22,230.0,230.0,230.0
2020-10-29,230.0,230.0,230.0
2020-11-05,230.0,230.0,230.0
2020-11-12,230.0,230.0,230.0
2020-11-19,230.0,230.0,230.0
2020-11-26,230.0,230.0,230.0
2020-12-03,230.0,230.0,230.0
2020-12-10,230.0,230.0,230.0
2020-12-17,230.0,230.0,230.0
2020-12-24,230.0,230.0,230.0
2020-12-31,230.0,230.0,230.0
2021-01-07,230.0,230.0,230.0
2021-01-14,230.0,237.69,250.0
2021-01-21,230.0,237.69,250.0
2021-01-28,230.0,237.69,250.0
2021-02-04,230.0,237.69,250.0
2021-02-11,230.0,237.69,250.0
2021-02-18,250.0,253.29,260.0
2021-02-25,255.0,258.88,260.0
2021-03-04,260.0,260.0,260.0
2021-03-11,260.0,266.62,270.0
2021-03-18,260.0,273.17,280.0
2021-03-25,260.0,273.17,280.0
2021-04-01,260.0,273.17,280.0
2021-04-08,270.0,276.63,280.0
2021-04-15,255.0,255.0,255.0
2021-04-22,255.0,255.0,255.0
2021-04-29,255.0,255.0,255.0
2021-05-06,255.0,255.0,255.0
2021-05-20,255.0,255.0,255.0
2021-05-27,255.0,255.0,255.0
2021-06-03,255.0,258.32,260.0
2021-06-10,255.0,256.66,260.0
2021-06-17,255.0,256.66,260.0
2021-06-24,255.0,256.66,260.0
2021-07-01,255.0,256.66,260.0
2021-07-08,255.0,256.66,260.0
2021-07-15,255.0,256.66,260.0
2021-07-29,255.0,256.66,260.0
2021-08-05,255.0,256.66,260.0
2021-08-12,255.0,256.66,260.0
2021-08-26,255.0,256.66,260.0
2021-09-02,250.0,253.32,255.0
2021-09-09,250.0,253.32,255.0
2021-09-16,250.0,250.0,250.0
