Date,Min,Avg,Max
2021-07-29,270.0,274.97,280.0
2021-07-15,270.0,274.97,280.0
2021-07-08,270.0,274.97,280.0
2021-07-01,285.0,289.97,295.0
2021-06-24,285.0,289.97,295.0
2021-06-17,285.0,289.97,295.0
2021-06-10,285.0,289.97,295.0
2021-06-03,280.0,284.97,290.0
2021-05-27,275.0,279.97,285.0
2021-05-20,275.0,279.97,285.0
2021-05-06,265.0,269.97,275.0
2021-04-29,265.0,269.97,275.0
2021-04-22,265.0,269.97,275.0
2021-04-15,265.0,269.97,275.0
2021-04-08,265.0,269.97,275.0
2021-04-01,265.0,269.97,275.0
2021-03-25,265.0,269.97,275.0
2021-03-18,265.0,269.97,275.0
2021-03-11,270.0,274.97,280.0
2021-03-04,270.0,274.97,280.0
2021-02-25,265.0,269.97,275.0
2021-02-18,265.0,269.97,275.0
2021-02-11,265.0,269.97,275.0
2021-02-04,270.0,274.97,280.0
2021-01-28,270.0,274.97,280.0
2021-01-21,270.0,274.97,280.0
2021-01-14,265.0,269.97,275.0
2021-01-07,270.0,274.97,280.0
2020-12-31,270.0,274.97,280.0
2020-12-24,260.0,264.97,270.0
2020-12-17,265.0,269.97,275.0
2020-12-10,265.0,269.97,275.0
2020-12-03,270.0,274.97,280.0
2020-11-26,270.0,274.97,280.0
2020-11-19,275.0,279.97,285.0
2020-11-12,285.0,289.97,295.0
2020-11-05,280.0,284.97,290.0
2020-10-29,265.0,269.97,275.0
2020-10-22,270.0,274.97,280.0
2020-10-15,260.0,264.97,270.0
2020-10-08,250.0,259.87,270.0
2020-10-01,270.0,274.97,280.0
2020-09-24,270.0,274.97,280.0
2020-09-17,260.0,264.97,270.0
2020-09-10,270.0,279.88,290.0
2020-09-03,260.0,269.88,280.0
2020-08-27,275.0,279.97,285.0
2020-08-20,270.0,274.97,280.0
2020-08-13,270.0,274.97,280.0
2020-08-06,270.0,274.97,280.0
2020-07-29,270.0,274.97,280.0
2020-07-23,280.0,284.97,290.0
2020-07-16,280.0,284.97,290.0
2020-07-09,300.0,304.97,310.0
2020-07-02,300.0,304.97,310.0
2020-06-25,305.0,309.97,315.0
2020-06-18,305.0,309.97,315.0
2020-06-11,310.0,314.97,320.0
2020-06-04,300.0,304.97,310.0
2020-05-28,300.0,304.97,310.0
2020-05-21,295.0,299.97,305.0
2020-05-14,30.0,30.0,30.0
2020-05-07,310.0,314.97,320.0
2020-04-30,270.0,279.88,290.0
2020-04-23,270.0,279.88,290.0
2020-04-16,280.0,289.89,300.0
2020-04-09,280.0,289.89,300.0
2020-04-02,260.0,269.88,280.0
2020-03-26,250.0,259.87,270.0
2020-03-19,250.0,259.87,270.0
2020-03-12,260.0,269.88,280.0
2020-03-05,270.0,279.88,290.0
2020-02-27,270.0,279.88,290.0
2020-02-20,260.0,269.88,280.0
2020-02-13,250.0,259.87,270.0
2020-02-06,250.0,259.87,270.0
2020-01-30,260.0,269.88,280.0
2020-01-23,260.0,269.88,280.0
2020-01-16,260.0,269.88,280.0
2020-01-09,260.0,269.88,280.0
2020-01-02,260.0,269.88,280.0
2019-12-26,250.0,259.87,270.0
2019-12-19,240.0,249.87,260.0
2019-12-12,240.0,249.87,260.0
2019-12-05,240.0,249.87,260.0
2019-11-28,250.0,259.87,270.0
2019-11-21,250.0,259.87,270.0
2019-11-14,250.0,259.87,270.0
2019-11-07,230.0,239.86,250.0
2019-10-31,230.0,239.86,250.0
2019-10-24,230.0,239.86,250.0
2019-10-17,230.0,239.86,250.0
2019-10-10,230.0,239.86,250.0
2019-10-03,230.0,239.86,250.0
2019-09-26,230.0,239.86,250.0
2019-09-19,220.0,229.85,240.0
2019-09-12,220.0,229.85,240.0
2019-09-05,220.0,229.85,240.0
2021-08-06,270.0,274.97,280.0
2021-08-12,270.0,274.97,280.0
2021-08-26,270.0,274.97,280.0
