Date,Min,Avg,Max
2021-07-29,220.0,223.28,230.0
2021-07-15,220.0,223.28,230.0
2021-07-08,230.0,233.29,240.0
2021-07-01,230.0,233.29,240.0
2021-06-24,230.0,233.29,240.0
2021-06-17,230.0,233.29,240.0
2021-06-10,240.0,241.64,250.0
2021-06-03,240.0,243.29,250.0
2021-05-27,240.0,243.29,250.0
2021-05-20,240.0,243.29,250.0
2021-05-06,240.0,243.29,250.0
2021-04-29,240.0,243.29,250.0
2021-04-22,240.0,243.29,250.0
2021-04-15,240.0,243.29,250.0
2021-04-08,250.0,251.66,255.0
2021-04-01,250.0,251.66,255.0
2021-03-25,250.0,251.66,255.0
2021-03-18,250.0,251.66,255.0
2021-03-11,250.0,250.0,250.0
2021-03-04,250.0,250.0,250.0
2021-02-25,250.0,250.0,250.0
2021-02-18,240.0,240.0,240.0
2021-02-11,240.0,240.0,240.0
2021-02-04,240.0,240.0,240.0
2021-01-28,240.0,240.0,240.0
2021-01-21,240.0,240.0,240.0
2021-01-14,240.0,240.0,240.0
2021-01-07,240.0,240.0,240.0
2020-12-31,230.0,233.29,240.0
2020-12-24,230.0,233.29,240.0
2020-12-17,230.0,233.29,240.0
2020-12-10,230.0,233.29,240.0
2020-12-03,230.0,233.29,240.0
2020-11-26,230.0,233.29,240.0
2020-11-19,230.0,233.29,240.0
2020-11-12,230.0,233.29,240.0
2020-11-05,230.0,233.29,240.0
2020-10-29,230.0,233.29,240.0
2020-10-22,230.0,233.29,240.0
2020-10-15,230.0,233.29,240.0
2020-10-08,230.0,233.29,240.0
2020-10-01,220.0,226.47,240.0
2020-09-24,220.0,226.47,240.0
2020-09-17,200.0,206.46,220.0
2020-09-10,200.0,206.46,220.0
2020-09-03,200.0,206.46,220.0
2020-08-27,200.0,206.46,220.0
2020-08-20,200.0,206.46,220.0
2020-08-13,200.0,206.46,220.0
2020-08-06,200.0,206.46,220.0
2020-07-29,200.0,206.46,220.0
2020-07-23,200.0,206.46,220.0
2020-07-16,200.0,206.46,220.0
2020-07-09,200.0,206.46,220.0
2020-07-02,200.0,206.46,220.0
2020-06-25,210.0,213.28,220.0
2020-06-18,210.0,213.28,220.0
2020-06-11,210.0,213.28,220.0
2020-06-04,200.0,206.46,220.0
2020-05-28,200.0,206.46,220.0
2020-05-21,200.0,206.46,220.0
2020-05-14,200.0,206.46,220.0
2020-05-07,200.0,206.46,220.0
2020-04-30,200.0,206.46,220.0
2020-04-23,200.0,206.46,220.0
2020-04-16,200.0,206.46,220.0
2020-04-09,200.0,206.46,220.0
2020-04-02,200.0,206.46,220.0
2020-03-26,200.0,206.46,220.0
2020-03-19,200.0,206.46,220.0
2020-03-12,200.0,206.46,220.0
2020-03-05,200.0,206.46,220.0
2020-02-27,200.0,206.46,220.0
2020-02-20,200.0,206.46,220.0
2020-02-13,200.0,206.46,220.0
2020-02-06,200.0,206.46,220.0
2020-01-30,200.0,206.46,220.0
2020-01-23,200.0,206.46,220.0
2020-01-16,200.0,206.46,220.0
2020-01-09,200.0,206.46,220.0
2020-01-02,200.0,206.46,220.0
2019-12-26,200.0,206.46,220.0
2019-12-19,200.0,206.46,220.0
2019-12-12,200.0,206.46,220.0
2019-12-05,200.0,206.46,220.0
2019-11-28,200.0,206.46,220.0
2019-11-21,200.0,206.46,220.0
2019-11-14,180.0,180.0,180.0
2019-11-07,180.0,180.0,180.0
2019-10-31,180.0,180.0,180.0
2019-10-24,180.0,180.0,180.0
2019-10-17,180.0,180.0,180.0
2019-10-10,180.0,180.0,180.0
2019-10-03,180.0,180.0,180.0
2019-09-26,180.0,180.0,180.0
2019-09-19,180.0,180.0,180.0
2019-09-12,180.0,180.0,180.0
2019-09-05,180.0,180.0,180.0
2021-08-06,220.0,226.47,240.0
