Date,Min,Avg,Max
9/5/2019,100,125.28,170
9/12/2019,100,125.91,170
9/19/2019,100,126.07,170
9/26/2019,90,125.68,170
10/3/2019,90,126.6,170
10/10/2019,100,127.43,170
10/17/2019,100,129.84,170
10/24/2019,100,129.91,170
10/31/2019,100,129.8,170
11/7/2019,100,131.59,180
11/14/2019,100,133.01,180
11/21/2019,110,134.57,180
11/28/2019,110,136.15,180
12/5/2019,110,136.19,180
12/12/2019,110,135.99,180
12/19/2019,110,136.92,180
12/26/2019,110,138.56,180
1/2/2020,120,141.45,180
1/9/2020,120,144.19,180
1/16/2020,120,146.66,180
1/23/2020,130,148.16,180
1/30/2020,130,148.9,180
2/6/2020,130,148.98,180
2/13/2020,120,145.97,180
2/20/2020,110,144.09,180
2/27/2020,120,142.58,180
3/5/2020,120,141.37,180
3/12/2020,110,139.74,180
3/19/2020,120,140.35,180
3/26/2020,120,144.51,200
4/2/2020,120,154.94,230
4/9/2020,140,167.07,240
4/16/2020,150,180.45,250
4/23/2020,140,177.77,240
4/30/2020,140,174.87,240
5/7/2020,140,170.24,240
5/14/2020,140,166.64,200
5/21/2020,130,164.7,200
5/28/2020,130,162.81,200
6/4/2020,130,162.45,200
6/11/2020,130,161.21,200
6/18/2020,130,158.6,200
6/25/2020,130,159.34,200
7/2/2020,120,157.78,200
7/9/2020,130,156.87,200
7/16/2020,130,155.86,200
7/23/2020,130,154.19,200
7/29/2020,130,152.95,200
8/6/2020,130,151.97,200
8/13/2020,130,151.88,200
8/20/2020,130,152.76,180
8/27/2020,130,155.05,180
9/3/2020,130,154.84,180
9/10/2020,130,156.62,180
9/17/2020,130,156.99,180
9/24/2020,130,158.21,180
10/1/2020,130,158.29,180
10/8/2020,130,160.2,200
10/15/2020,130,159.83,200
10/22/2020,130,160.55,200
10/29/2020,130,160.04,200
11/5/2020,130,160.54,200
11/12/2020,130,160.12,180
11/19/2020,130,158.68,180
11/26/2020,130,158.28,190
12/3/2020,130,158.14,190
12/10/2020,130,156.62,190
12/17/2020,130,156.12,190
12/24/2020,130,153.09,190
12/31/2020,130,152.81,190
1/7/2021,130,152.97,190
1/14/2021,130,153.15,190
1/21/2021,130,153.8,190
1/28/2021,140,154.65,190
2/4/2021,140,155.21,190
2/11/2021,140,155.58,190
2/18/2021,140,156.64,190
2/25/2021,140,156.76,190
3/4/2021,140,158.13,190
3/11/2021,140,157.36,190
3/18/2021,140,156.54,190
3/25/2021,140,157.46,190
4/1/2021,140,157.23,190
4/8/2021,140,157.03,190
4/15/2021,140,154.33,180
4/22/2021,140,155.28,180
4/29/2021,140,155.8,180
5/6/2021,130,155.3,180
5/20/2021,140,155.2,180
5/27/2021,140,158.69,180
6/3/2021,140,159.9,180
6/10/2021,140,160.22,185
6/17/2021,140,158.96,185
6/24/2021,140,158.55,185
7/1/2021,140,157.3,185
7/8/2021,140,156.76,180
7/15/2021,140,156.74,180
7/29/2021,140,156.86,180
8/5/2021,140,157.81,180
8/12/2021,140,157.22,180
8/26/2021,150,171.88,190
9/2/2021,160,179.1,200
9/9/2021,170,182.75,210
2021-09-16,170.0,182.69,210.0
2021-09-23,160.0,182.2,210.0
