Date,Min,Avg,Max
2021-07-29,170.0,174.95,180.0
2021-07-15,170.0,174.95,180.0
2021-07-08,170.0,174.95,180.0
2021-07-01,175.0,179.95,185.0
2021-06-24,175.0,179.95,185.0
2021-06-17,175.0,179.95,185.0
2021-06-10,175.0,179.95,185.0
2021-06-03,170.0,174.95,180.0
2021-05-27,160.0,164.95,170.0
2021-05-20,160.0,164.95,170.0
2021-05-06,160.0,164.95,170.0
2021-04-29,165.0,169.95,175.0
2021-04-22,165.0,169.95,175.0
2021-04-15,165.0,169.95,175.0
2021-04-08,170.0,174.95,180.0
2021-04-01,170.0,174.95,180.0
2021-03-25,170.0,174.95,180.0
2021-03-18,165.0,169.95,175.0
2021-03-11,165.0,169.95,175.0
2021-03-04,165.0,169.95,175.0
2021-02-25,165.0,169.95,175.0
2021-02-18,165.0,169.95,175.0
2021-02-11,160.0,164.95,170.0
2021-02-04,160.0,164.95,170.0
2021-01-28,160.0,164.95,170.0
2021-01-21,160.0,164.95,170.0
2021-01-14,160.0,164.95,170.0
2021-01-07,155.0,159.95,165.0
2020-12-31,155.0,159.95,165.0
2020-12-24,155.0,159.95,165.0
2020-12-17,155.0,162.43,170.0
2020-12-10,155.0,159.95,165.0
2020-12-03,160.0,164.95,170.0
2020-11-26,150.0,154.95,160.0
2020-11-19,160.0,164.95,170.0
2020-11-12,165.0,169.95,175.0
2020-11-05,165.0,169.95,175.0
2020-10-29,165.0,169.95,175.0
2020-10-22,160.0,164.95,170.0
2020-10-15,165.0,169.95,175.0
2020-10-08,160.0,167.43,175.0
2020-10-01,155.0,159.95,165.0
2020-09-24,155.0,159.95,165.0
2020-09-17,155.0,159.95,165.0
2020-09-10,155.0,159.95,165.0
2020-09-03,155.0,159.95,165.0
2020-08-27,160.0,164.95,170.0
2020-08-20,150.0,154.95,160.0
2020-08-13,155.0,159.95,165.0
2020-08-06,155.0,159.95,165.0
2020-07-29,155.0,159.95,165.0
2020-07-23,160.0,164.95,170.0
2020-07-16,165.0,169.95,175.0
2020-07-09,170.0,174.95,180.0
2020-07-02,165.0,169.95,175.0
2020-06-25,165.0,169.95,175.0
2020-06-18,155.0,159.95,165.0
2020-06-11,150.0,154.95,160.0
2020-06-04,160.0,164.95,170.0
2020-05-28,150.0,154.95,160.0
2020-05-21,150.0,154.95,160.0
2020-05-14,1240.0,1240.0,1240.0
2020-05-07,165.0,169.95,175.0
2020-04-30,165.0,169.95,175.0
2020-04-23,165.0,169.95,175.0
2020-04-16,170.0,174.95,180.0
2020-04-09,160.0,164.95,170.0
2020-04-02,145.0,149.94,155.0
2020-03-26,130.0,139.76,150.0
2020-03-19,130.0,139.76,150.0
2020-03-12,130.0,139.76,150.0
2020-03-05,140.0,149.78,160.0
2020-02-27,130.0,139.76,150.0
2020-02-20,140.0,149.78,160.0
2020-02-13,140.0,149.78,160.0
2020-02-06,150.0,159.79,170.0
2020-01-30,150.0,159.79,170.0
2020-01-23,150.0,159.79,170.0
2020-01-16,150.0,159.79,170.0
2020-01-09,150.0,159.79,170.0
2020-01-02,150.0,159.79,170.0
2019-12-26,150.0,159.79,170.0
2019-12-19,150.0,159.79,170.0
2019-12-12,150.0,159.79,170.0
2019-12-05,150.0,159.79,170.0
2019-11-28,150.0,159.79,170.0
2019-11-21,150.0,159.79,170.0
2019-11-14,150.0,159.79,170.0
2019-11-07,150.0,159.79,170.0
2019-10-31,150.0,159.79,170.0
2019-10-24,150.0,159.79,170.0
2019-10-17,150.0,159.79,170.0
2019-10-10,150.0,159.79,170.0
2019-10-03,150.0,159.79,170.0
2019-09-26,150.0,159.79,170.0
2019-09-19,150.0,159.79,170.0
2019-09-12,150.0,159.79,170.0
2019-09-05,150.0,159.79,170.0
2021-08-06,170.0,174.95,180.0
2021-08-12,170.0,174.95,180.0
2021-08-26,170.0,174.95,180.0
