Date,Min,Avg,Max
9/5/2019,145,145,145
9/12/2019,145,145,145
9/19/2019,145,145,145
9/26/2019,145,145,145
10/3/2019,160,160,160
10/10/2019,160,160,160
10/17/2019,170,170,170
10/24/2019,170,170,170
10/31/2019,170,170,170
11/7/2019,180,180,180
11/14/2019,180,180,180
11/21/2019,180,180,180
11/28/2019,180,180,180
12/5/2019,180,180,180
12/12/2019,180,180,180
12/19/2019,180,180,180
12/26/2019,180,180,180
1/2/2020,180,180,180
1/9/2020,180,180,180
1/16/2020,180,180,180
1/23/2020,180,180,180
1/30/2020,180,180,180
2/6/2020,180,180,180
2/13/2020,180,180,180
2/20/2020,180,180,180
2/27/2020,180,180,180
3/5/2020,180,180,180
3/12/2020,180,180,180
3/19/2020,180,180,180
3/26/2020,180,180,180
4/2/2020,180,180,180
4/9/2020,240,240,240
4/16/2020,240,240,240
4/23/2020,240,240,240
4/30/2020,240,240,240
5/7/2020,240,240,240
5/14/2020,200,200,200
5/21/2020,180,180,180
5/28/2020,180,180,180
6/4/2020,180,180,180
6/11/2020,180,180,180
6/18/2020,200,200,200
6/25/2020,200,200,200
7/2/2020,200,200,200
7/9/2020,200,200,200
7/16/2020,200,200,200
7/23/2020,180,180,180
7/29/2020,180,180,180
8/6/2020,180,180,180
8/13/2020,180,180,180
8/20/2020,180,180,180
8/27/2020,180,180,180
9/3/2020,180,180,180
9/10/2020,180,180,180
9/17/2020,180,180,180
9/24/2020,180,180,180
10/1/2020,180,180,180
10/8/2020,180,180,180
10/15/2020,180,180,180
10/22/2020,180,180,180
10/29/2020,180,180,180
11/5/2020,180,180,180
11/12/2020,180,180,180
11/19/2020,170,176.6,180
11/26/2020,170,176.6,180
12/3/2020,170,170,170
12/10/2020,160,160,160
12/17/2020,150,153.26,160
12/24/2020,140,140,140
12/31/2020,140,140,140
1/7/2021,140,140,140
1/14/2021,140,140,140
1/21/2021,140,140,140
1/28/2021,140,140,140
2/4/2021,140,140,140
2/11/2021,140,140,140
2/18/2021,140,143.26,150
2/25/2021,140,143.26,150
3/4/2021,140,143.26,150
3/11/2021,140,143.26,150
3/18/2021,140,143.26,150
3/25/2021,150,153.26,160
4/1/2021,150,153.26,160
4/8/2021,150,153.26,160
4/15/2021,150,153.26,160
4/22/2021,150,153.26,160
4/29/2021,150,153.26,160
5/6/2021,150,153.26,160
5/20/2021,150,156.59,160
5/27/2021,150,156.59,160
6/3/2021,160,163.27,170
6/10/2021,160,166.6,170
6/17/2021,160,166.6,170
6/24/2021,160,166.6,170
7/1/2021,160,166.6,170
7/8/2021,170,173.27,180
7/15/2021,170,173.27,180
7/29/2021,170,173.27,180
8/5/2021,170,173.27,180
8/12/2021,160,163.27,170
8/26/2021,170,173.27,180
9/2/2021,180,180,180
9/9/2021,180,180,180
2021-09-16,180.0,183.27,190.0
2021-09-23,180.0,183.27,190.0
