Date,Min,Avg,Max
2019-09-05,94.0,94.0,94.0
2019-09-12,94.0,94.0,94.0
2019-09-19,94.0,94.0,94.0
2019-09-26,100.0,100.0,100.0
2019-10-03,100.0,100.0,100.0
2019-10-10,100.0,100.0,100.0
2019-10-17,100.0,100.0,100.0
2019-10-24,96.0,96.0,96.0
2019-10-31,96.0,96.0,96.0
2019-11-07,96.0,96.0,96.0
2019-11-14,96.0,96.0,96.0
2019-11-21,96.0,96.0,96.0
2019-11-28,96.0,96.0,96.0
2019-12-05,96.0,96.0,96.0
2019-12-12,96.0,96.0,96.0
2019-12-19,96.0,96.0,96.0
2019-12-26,96.0,96.0,96.0
2020-01-02,96.0,96.0,96.0
2020-01-09,96.0,96.0,96.0
2020-01-16,96.0,96.0,96.0
2020-01-23,96.0,96.0,96.0
2020-01-30,96.0,96.0,96.0
2020-02-06,96.0,96.0,96.0
2020-02-13,96.0,96.0,96.0
2020-02-20,96.0,96.0,96.0
2020-02-27,96.0,96.0,96.0
2020-03-05,96.0,96.0,96.0
2020-03-12,100.0,100.0,100.0
2020-03-19,100.0,100.0,100.0
2020-03-26,100.0,100.0,100.0
2020-04-02,80.0,80.0,80.0
2020-04-09,80.0,80.0,80.0
2020-04-16,80.0,83.2,90.0
2020-04-23,100.0,100.0,100.0
2020-04-30,100.0,100.0,100.0
2020-05-07,97.0,97.0,97.0
2020-05-14,97.0,97.0,97.0
2020-05-21,97.0,97.0,97.0
2020-05-28,97.0,97.0,97.0
2020-06-04,97.0,97.0,97.0
2020-06-11,97.0,97.0,97.0
2020-06-18,97.0,97.0,97.0
2020-06-25,97.0,97.0,97.0
2020-07-02,97.0,97.0,97.0
2020-07-09,97.0,97.0,97.0
2020-07-16,97.0,97.0,97.0
2020-07-23,97.0,97.0,97.0
2020-07-29,97.0,102.22,110.0
2020-08-06,110.0,110.0,110.0
2020-08-13,110.0,110.0,110.0
2020-08-20,110.0,110.0,110.0
2020-08-27,110.0,110.0,110.0
2020-09-03,110.0,110.0,110.0
2020-09-10,110.0,110.0,110.0
2020-09-17,110.0,110.0,110.0
2020-09-24,110.0,110.0,110.0
2020-10-01,110.0,110.0,110.0
2020-10-08,110.0,110.0,110.0
2020-10-15,110.0,110.0,110.0
2020-10-22,110.0,110.0,110.0
2020-10-29,110.0,110.0,110.0
2020-11-05,110.0,110.0,110.0
2020-11-12,110.0,110.0,110.0
2020-11-19,110.0,110.0,110.0
2020-11-26,110.0,110.0,110.0
2020-12-03,110.0,110.0,110.0
2020-12-10,110.0,110.0,110.0
2020-12-17,110.0,110.0,110.0
2020-12-24,110.0,110.0,110.0
2020-12-31,110.0,110.0,110.0
2021-01-07,110.0,110.0,110.0
2021-01-14,110.0,110.0,110.0
2021-01-21,110.0,110.0,110.0
2021-01-28,110.0,110.0,110.0
2021-02-04,110.0,110.0,110.0
2021-02-11,110.0,110.0,110.0
2021-02-18,110.0,110.0,110.0
2021-02-25,110.0,110.0,110.0
2021-03-04,110.0,110.0,110.0
2021-03-11,120.0,120.0,120.0
2021-03-18,110.0,116.57,120.0
2021-03-25,110.0,116.57,120.0
2021-04-01,110.0,116.57,120.0
2021-04-08,110.0,116.57,120.0
2021-04-15,110.0,116.57,120.0
2021-04-22,110.0,116.57,120.0
2021-04-29,110.0,116.57,120.0
2021-05-06,100.0,108.27,110.0
2021-05-20,110.0,111.61,120.0
2021-05-27,110.0,112.42,120.0
2021-06-03,110.0,112.42,120.0
2021-06-10,110.0,112.42,120.0
2021-06-17,110.0,114.06,120.0
2021-06-24,120.0,120.0,120.0
2021-07-01,120.0,120.0,120.0
2021-07-08,120.0,120.0,120.0
2021-07-15,120.0,120.0,120.0
2021-07-29,120.0,120.0,120.0
2021-08-05,120.0,120.0,120.0
2021-08-12,120.0,120.0,120.0
2021-08-26,120.0,120.0,120.0
2021-09-02,120.0,120.0,120.0
2021-09-09,120.0,120.0,120.0
2021-09-16,120.0,120.0,120.0
2021-09-23,120.0,120.0,120.0
2021-09-30,120.0,120.0,120.0
2021-10-07,120.0,120.0,120.0
2021-10-14,120.0,120.0,120.0
2021-10-21,120.0,120.0,120.0
2021-10-28,120.0,120.0,120.0
