Date,Min,Avg,Max
2019-09-05,100.0,108.43,120.0
2019-09-12,100.0,108.75,120.0
2019-09-19,100.0,108.75,120.0
2019-09-26,100.0,108.75,120.0
2019-10-03,100.0,108.75,120.0
2019-10-10,100.0,108.75,120.0
2019-10-17,100.0,108.75,120.0
2019-10-24,100.0,108.75,120.0
2019-10-31,100.0,108.75,120.0
2019-11-07,100.0,108.75,120.0
2019-11-14,100.0,108.75,120.0
2019-11-21,100.0,108.75,120.0
2019-11-28,100.0,108.75,120.0
2019-12-05,100.0,108.75,120.0
2019-12-12,100.0,108.75,120.0
2019-12-19,100.0,111.49,120.0
2019-12-26,100.0,111.49,120.0
2020-01-02,100.0,111.49,120.0
2020-01-09,100.0,111.49,120.0
2020-01-16,100.0,111.49,120.0
2020-01-23,100.0,111.49,120.0
2020-01-30,100.0,111.49,120.0
2020-02-06,100.0,111.49,120.0
2020-02-13,100.0,111.49,120.0
2020-02-20,100.0,111.49,120.0
2020-02-27,100.0,112.85,120.0
2020-03-05,100.0,112.85,120.0
2020-03-12,100.0,112.85,120.0
2020-03-19,100.0,112.85,120.0
2020-03-26,100.0,112.85,120.0
2020-04-02,80.0,106.83,120.0
2020-04-09,80.0,105.41,120.0
2020-04-16,80.0,105.41,120.0
2020-04-23,80.0,105.41,120.0
2020-04-30,90.0,108.36,120.0
2020-05-07,90.0,108.36,120.0
2020-05-14,90.0,108.36,120.0
2020-05-21,90.0,108.36,120.0
2020-05-28,90.0,108.36,120.0
2020-06-04,90.0,108.36,120.0
2020-06-11,100.0,109.12,120.0
2020-06-18,100.0,109.12,120.0
2020-06-25,100.0,109.12,120.0
2020-07-02,100.0,109.12,120.0
2020-07-09,100.0,109.12,120.0
2020-07-16,110.0,113.9,120.0
2020-07-23,110.0,115.9,120.0
2020-07-29,110.0,115.9,120.0
2020-08-06,110.0,117.93,120.0
2020-08-13,110.0,117.93,120.0
2020-08-20,110.0,117.93,120.0
2020-08-27,110.0,117.93,120.0
2020-09-03,110.0,117.93,120.0
2020-09-10,110.0,118.56,130.0
2020-09-17,110.0,119.2,130.0
2020-09-24,110.0,119.2,130.0
2020-10-01,110.0,119.2,130.0
2020-10-08,110.0,119.83,130.0
2020-10-15,110.0,119.83,130.0
2020-10-22,110.0,119.83,130.0
2020-10-29,110.0,119.83,130.0
2020-11-05,110.0,119.83,130.0
2020-11-12,110.0,119.83,130.0
2020-11-19,110.0,119.83,130.0
2020-11-26,110.0,119.83,130.0
2020-12-03,110.0,119.83,130.0
2020-12-10,110.0,119.83,130.0
2020-12-17,110.0,119.83,130.0
2020-12-24,110.0,119.83,130.0
2020-12-31,110.0,119.83,130.0
2021-01-07,110.0,119.83,130.0
2021-01-14,110.0,119.83,130.0
2021-01-21,110.0,119.83,130.0
2021-01-28,110.0,119.83,130.0
2021-02-04,110.0,119.83,130.0
2021-02-11,110.0,119.83,130.0
2021-02-18,110.0,119.83,130.0
2021-02-25,110.0,119.83,130.0
2021-03-04,110.0,120.47,130.0
2021-03-11,110.0,121.12,130.0
2021-03-18,110.0,121.12,130.0
2021-03-25,110.0,121.12,130.0
2021-04-01,110.0,121.12,130.0
2021-04-08,110.0,123.13,130.0
2021-04-15,110.0,123.13,130.0
2021-04-22,110.0,123.79,130.0
2021-04-29,110.0,123.79,130.0
2021-05-06,110.0,123.79,130.0
2021-05-20,110.0,124.45,130.0
2021-05-27,110.0,124.45,130.0
2021-06-03,110.0,124.45,130.0
2021-06-10,110.0,124.45,130.0
2021-06-17,110.0,124.45,130.0
2021-06-24,110.0,124.45,130.0
2021-07-01,110.0,124.45,130.0
2021-07-08,110.0,124.45,130.0
2021-07-15,110.0,125.12,130.0
2021-07-29,110.0,126.46,130.0
2021-08-05,110.0,126.46,130.0
2021-08-12,110.0,126.46,130.0
2021-08-26,110.0,126.46,130.0
2021-09-02,110.0,126.46,130.0
2021-09-09,120.0,128.62,130.0
2021-09-16,120.0,128.62,130.0
2021-09-23,120.0,128.62,130.0
2021-09-30,120.0,128.62,130.0
2021-10-07,120.0,128.62,130.0
2021-10-14,120.0,128.62,130.0
2021-10-21,120.0,128.62,130.0
2021-10-28,120.0,128.62,130.0
2021-12-02,120.0,128.62,130.0
2021-11-04,120.0,128.62,130.0
2021-11-11,120.0,128.62,130.0
