Date,Min,Avg,Max
2019-09-05,140.0,169.89,210.0
2019-09-12,150.0,170.19,210.0
2019-09-19,140.0,170.69,210.0
2019-09-26,140.0,170.31,210.0
2019-10-03,140.0,170.8,210.0
2019-10-10,140.0,171.86,210.0
2019-10-17,130.0,175.08,210.0
2019-10-24,140.0,180.83,220.0
2019-10-31,140.0,183.23,220.0
2019-11-07,150.0,185.39,220.0
2019-11-14,150.0,186.93,220.0
2019-11-21,150.0,190.74,240.0
2019-11-28,150.0,190.76,240.0
2019-12-05,160.0,192.7,240.0
2019-12-12,160.0,193.81,240.0
2019-12-19,170.0,197.5,240.0
2019-12-26,170.0,204.27,250.0
2020-01-02,170.0,218.01,260.0
2020-01-09,200.0,229.86,270.0
2020-01-16,200.0,232.98,280.0
2020-01-23,200.0,233.9,280.0
2020-01-30,210.0,234.08,280.0
2020-02-06,210.0,236.8,280.0
2020-02-13,200.0,235.56,280.0
2020-02-20,200.0,235.19,280.0
2020-02-27,200.0,235.31,280.0
2020-03-05,200.0,234.23,280.0
2020-03-12,200.0,234.26,280.0
2020-03-19,200.0,233.19,280.0
2020-03-26,200.0,241.5,280.0
2020-04-02,220.0,259.99,300.0
2020-04-09,240.0,280.4,330.0
2020-04-16,240.0,283.81,330.0
2020-04-23,240.0,282.21,320.0
2020-04-30,240.0,283.77,330.0
2020-05-07,240.0,283.89,330.0
2020-05-14,240.0,281.66,340.0
2020-05-21,250.0,284.05,340.0
2020-05-28,250.0,284.76,340.0
2020-06-04,250.0,283.02,330.0
2020-06-11,250.0,281.68,330.0
2020-06-18,240.0,276.68,325.0
2020-06-25,220.0,268.13,325.0
2020-07-02,200.0,261.98,320.0
2020-07-09,200.0,251.34,320.0
2020-07-16,200.0,239.54,300.0
2020-07-23,200.0,238.84,300.0
2020-07-29,185.0,235.8,290.0
2020-08-06,180.0,233.73,290.0
2020-08-13,180.0,229.11,290.0
2020-08-20,180.0,226.72,300.0
2020-08-27,180.0,226.96,300.0
2020-09-03,190.0,227.15,280.0
2020-09-10,210.0,240.82,280.0
2020-09-17,220.0,241.89,280.0
2020-09-24,220.0,240.33,280.0
2020-10-01,220.0,243.52,280.0
2020-10-08,220.0,242.54,280.0
2020-10-15,200.0,240.98,280.0
2020-10-22,200.0,238.5,280.0
2020-10-29,200.0,237.54,280.0
2020-11-05,200.0,232.72,280.0
2020-11-12,200.0,229.41,280.0
2020-11-19,200.0,227.56,280.0
2020-11-26,200.0,226.45,280.0
2020-12-03,200.0,227.05,280.0
2020-12-10,200.0,226.56,265.0
2020-12-17,190.0,225.25,260.0
2020-12-24,190.0,224.49,260.0
2020-12-31,190.0,225.56,265.0
2021-01-07,190.0,227.7,265.0
2021-01-14,190.0,229.84,280.0
2021-01-21,200.0,233.54,280.0
2021-01-28,190.0,231.96,280.0
2021-02-04,200.0,232.45,280.0
2021-02-11,200.0,233.48,280.0
2021-02-18,200.0,235.42,280.0
2021-02-25,200.0,236.29,290.0
2021-03-04,200.0,237.02,290.0
2021-03-11,200.0,237.06,290.0
2021-03-18,200.0,236.31,290.0
2021-03-25,200.0,235.03,290.0
2021-04-01,200.0,233.05,280.0
2021-04-08,200.0,234.21,280.0
2021-04-15,200.0,229.07,280.0
2021-04-22,190.0,228.68,280.0
2021-04-29,190.0,227.72,275.0
2021-05-06,190.0,228.36,270.0
2021-05-20,190.0,226.27,275.0
2021-05-27,180.0,224.5,275.0
2021-06-03,180.0,220.65,280.0
2021-06-10,170.0,215.39,280.0
2021-06-17,160.0,211.4,280.0
2021-06-24,150.0,203.39,280.0
2021-07-01,140.0,196.37,260.0
2021-07-08,140.0,192.81,250.0
2021-07-15,140.0,191.81,250.0
2021-07-29,140.0,189.27,240.0
2021-08-05,140.0,185.28,240.0
2021-08-12,140.0,182.84,240.0
2021-08-26,140.0,183.46,240.0
2021-09-02,140.0,180.83,240.0
2021-09-09,140.0,180.04,240.0
2021-09-16,140.0,176.01,240.0
2021-09-23,125.0,172.3,240.0
2021-09-30,125.0,172.3,240.0
2021-10-07,125.0,172.3,240.0
2021-10-14,125.0,172.3,240.0
2021-10-21,125.0,172.3,240.0
2021-10-28,125.0,172.3,240.0
2021-12-02,125.0,172.3,240.0
