Date,Min,Avg,Max
2019-09-05,160.0,166.6,170.0
2019-09-12,160.0,166.6,170.0
2019-09-19,160.0,166.6,170.0
2019-09-26,160.0,166.6,170.0
2019-10-03,160.0,166.6,170.0
2019-10-10,160.0,166.6,170.0
2019-10-17,160.0,166.6,170.0
2019-10-24,170.0,176.6,180.0
2019-10-31,170.0,176.6,180.0
2019-11-07,170.0,176.6,180.0
2019-11-14,170.0,176.6,180.0
2019-11-21,190.0,193.28,200.0
2019-11-28,190.0,193.28,200.0
2019-12-05,190.0,193.28,200.0
2019-12-12,190.0,193.28,200.0
2019-12-19,200.0,203.28,210.0
2019-12-26,210.0,210.0,210.0
2020-01-02,220.0,220.0,220.0
2020-01-09,240.0,240.0,240.0
2020-01-16,240.0,240.0,240.0
2020-01-23,240.0,240.0,240.0
2020-01-30,240.0,240.0,240.0
2020-02-06,240.0,240.0,240.0
2020-02-13,240.0,240.0,240.0
2020-02-20,240.0,240.0,240.0
2020-02-27,240.0,240.0,240.0
2020-03-05,230.0,230.0,230.0
2020-03-12,230.0,230.0,230.0
2020-03-19,220.0,220.0,220.0
2020-03-26,240.0,240.0,240.0
2020-04-02,240.0,240.0,240.0
2020-04-09,260.0,260.0,260.0
2020-04-16,280.0,286.51,300.0
2020-04-23,280.0,286.51,300.0
2020-04-30,280.0,286.51,300.0
2020-05-07,280.0,286.51,300.0
2020-05-14,280.0,286.51,300.0
2020-05-21,280.0,286.51,300.0
2020-05-28,280.0,280.0,280.0
2020-06-04,280.0,280.0,280.0
2020-06-11,280.0,280.0,280.0
2020-06-18,260.0,260.0,260.0
2020-06-25,240.0,253.15,260.0
2020-07-02,220.0,233.14,240.0
2020-07-09,220.0,226.62,230.0
2020-07-16,220.0,220.0,220.0
2020-07-23,220.0,220.0,220.0
2020-07-29,220.0,220.0,220.0
2020-08-06,200.0,200.0,200.0
2020-08-13,200.0,200.0,200.0
2020-08-20,200.0,200.0,200.0
2020-08-27,200.0,200.0,200.0
2020-09-03,200.0,200.0,200.0
2020-09-10,230.0,236.62,240.0
2020-09-17,230.0,236.62,240.0
2020-09-24,240.0,240.0,240.0
2020-10-01,240.0,240.0,240.0
2020-10-08,240.0,240.0,240.0
2020-10-15,220.0,223.28,230.0
2020-10-22,220.0,223.28,230.0
2020-10-29,220.0,220.0,220.0
2020-11-05,220.0,220.0,220.0
2020-11-12,200.0,200.0,200.0
2020-11-19,200.0,200.0,200.0
2020-11-26,200.0,200.0,200.0
2020-12-03,200.0,213.12,220.0
2020-12-10,200.0,206.46,220.0
2020-12-17,200.0,200.0,200.0
2020-12-24,200.0,200.0,200.0
2020-12-31,190.0,196.61,200.0
2021-01-07,190.0,193.28,200.0
2021-01-14,190.0,193.28,200.0
2021-01-21,210.0,216.61,220.0
2021-01-28,210.0,216.61,220.0
2021-02-04,220.0,220.0,220.0
2021-02-11,200.0,213.12,220.0
2021-02-18,200.0,213.12,220.0
2021-02-25,200.0,213.12,220.0
2021-03-04,200.0,213.12,220.0
2021-03-11,200.0,213.12,220.0
2021-03-18,200.0,213.12,220.0
2021-03-25,200.0,206.46,220.0
2021-04-01,200.0,206.46,220.0
2021-04-08,200.0,206.46,220.0
2021-04-15,200.0,206.46,220.0
2021-04-22,190.0,202.96,220.0
2021-04-29,190.0,196.61,200.0
2021-05-06,190.0,193.28,200.0
2021-05-20,190.0,193.28,200.0
2021-05-27,180.0,193.1,200.0
2021-06-03,180.0,186.61,190.0
2021-06-10,170.0,176.42,190.0
2021-06-17,160.0,163.27,170.0
2021-06-24,160.0,163.27,170.0
2021-07-01,160.0,163.27,170.0
2021-07-08,150.0,156.59,160.0
2021-07-15,150.0,156.59,160.0
2021-07-29,150.0,156.59,160.0
2021-08-05,150.0,156.59,160.0
2021-08-12,150.0,156.59,160.0
2021-08-26,150.0,156.59,160.0
2021-09-02,150.0,156.59,160.0
2021-09-09,150.0,156.59,160.0
2021-09-16,150.0,153.26,160.0
2021-09-23,150.0,153.26,160.0
2021-09-30,150.0,153.26,160.0
2021-10-07,150.0,153.26,160.0
