Date,Min,Avg,Max
2019-09-05,170.0,176.6,180.0
2019-09-12,170.0,176.6,180.0
2019-09-19,170.0,176.6,180.0
2019-09-26,160.0,164.92,170.0
2019-10-03,170.0,173.27,180.0
2019-10-10,180.0,183.27,190.0
2019-10-17,190.0,193.28,200.0
2019-10-24,190.0,193.28,200.0
2019-10-31,190.0,193.28,200.0
2019-11-07,200.0,200.0,200.0
2019-11-14,200.0,206.46,220.0
2019-11-21,200.0,206.46,220.0
2019-11-28,200.0,206.46,220.0
2019-12-05,200.0,206.46,220.0
2019-12-12,200.0,206.46,220.0
2019-12-19,200.0,206.46,220.0
2019-12-26,200.0,206.46,220.0
2020-01-02,220.0,223.28,230.0
2020-01-09,230.0,233.29,240.0
2020-01-16,230.0,233.29,240.0
2020-01-23,240.0,243.29,250.0
2020-01-30,240.0,243.29,250.0
2020-02-06,230.0,233.29,240.0
2020-02-13,230.0,233.29,240.0
2020-02-20,230.0,233.29,240.0
2020-02-27,230.0,233.29,240.0
2020-03-05,230.0,233.29,240.0
2020-03-12,230.0,233.29,240.0
2020-03-19,230.0,233.29,240.0
2020-03-26,230.0,233.29,240.0
2020-04-02,260.0,263.29,270.0
2020-04-09,280.0,286.51,300.0
2020-04-16,280.0,286.51,300.0
2020-04-23,280.0,286.51,300.0
2020-04-30,300.0,306.52,320.0
2020-05-07,300.0,306.52,320.0
2020-05-14,280.0,286.51,300.0
2020-05-21,280.0,286.51,300.0
2020-05-28,280.0,286.51,300.0
2020-06-04,280.0,286.51,300.0
2020-06-11,280.0,286.51,300.0
2020-06-18,280.0,286.51,300.0
2020-06-25,280.0,286.51,300.0
2020-07-02,280.0,286.51,300.0
2020-07-09,270.0,273.29,280.0
2020-07-16,240.0,243.29,250.0
2020-07-23,220.0,223.28,230.0
2020-07-29,185.0,189.87,200.0
2020-08-06,185.0,189.87,200.0
2020-08-13,185.0,189.87,200.0
2020-08-20,180.0,186.43,200.0
2020-08-27,180.0,186.43,200.0
2020-09-03,200.0,206.46,220.0
2020-09-10,220.0,223.28,230.0
2020-09-17,220.0,223.28,230.0
2020-09-24,220.0,223.28,230.0
2020-10-01,230.0,233.29,240.0
2020-10-08,230.0,233.29,240.0
2020-10-15,230.0,233.29,240.0
2020-10-22,230.0,233.29,240.0
2020-10-29,230.0,233.29,240.0
2020-11-05,200.0,206.46,220.0
2020-11-12,200.0,206.46,220.0
2020-11-19,200.0,206.46,220.0
2020-11-26,200.0,206.46,220.0
2020-12-03,200.0,206.46,220.0
2020-12-10,200.0,206.46,220.0
2020-12-17,200.0,213.12,220.0
2020-12-24,200.0,206.46,220.0
2020-12-31,200.0,206.46,220.0
2021-01-07,200.0,206.46,220.0
2021-01-14,230.0,233.29,240.0
2021-01-21,230.0,236.62,240.0
2021-01-28,230.0,236.62,240.0
2021-02-04,230.0,233.29,240.0
2021-02-11,230.0,233.29,240.0
2021-02-18,230.0,233.29,240.0
2021-02-25,230.0,233.29,240.0
2021-03-04,230.0,233.29,240.0
2021-03-11,230.0,233.29,240.0
2021-03-18,230.0,233.29,240.0
2021-03-25,230.0,233.29,240.0
2021-04-01,200.0,214.48,230.0
2021-04-08,230.0,233.29,240.0
2021-04-15,230.0,233.29,240.0
2021-04-22,200.0,219.46,240.0
2021-04-29,200.0,219.46,240.0
2021-05-06,200.0,219.46,240.0
2021-05-20,200.0,206.46,220.0
2021-05-27,200.0,206.46,220.0
2021-06-03,200.0,206.46,220.0
2021-06-10,200.0,206.46,220.0
2021-06-17,200.0,206.46,220.0
2021-06-24,170.0,173.27,180.0
2021-07-01,170.0,173.27,180.0
2021-07-08,170.0,173.27,180.0
2021-07-15,170.0,173.27,180.0
2021-07-29,170.0,173.27,180.0
2021-08-05,170.0,173.27,180.0
2021-08-12,170.0,173.27,180.0
2021-08-26,140.0,143.26,150.0
2021-09-02,140.0,143.26,150.0
2021-09-09,140.0,143.26,150.0
2021-09-16,140.0,143.26,150.0
2021-09-23,125.0,125.0,125.0
2021-09-30,125.0,125.0,125.0
2021-10-07,125.0,125.0,125.0
2021-10-14,125.0,125.0,125.0
2021-10-21,125.0,125.0,125.0
2021-10-28,125.0,125.0,125.0
2021-12-02,125.0,125.0,125.0
2021-11-04,125.0,125.0,125.0
2021-11-11,125.0,125.0,125.0
2021-11-18,125.0,125.0,125.0
