Date,Min,Avg,Max
2021-07-29,200.0,213.09,230.0
2021-07-15,200.0,213.09,230.0
2021-07-08,200.0,213.09,230.0
2021-07-01,200.0,214.79,230.0
2021-06-24,210.0,226.43,240.0
2021-06-17,210.0,226.43,240.0
2021-06-10,220.0,234.32,255.0
2021-06-03,230.0,239.9,250.0
2021-05-27,230.0,245.65,260.0
2021-05-20,240.0,250.65,270.0
2021-05-06,240.0,250.65,270.0
2021-04-29,240.0,250.65,270.0
2021-04-22,240.0,250.65,270.0
2021-04-15,240.0,250.65,270.0
2021-04-08,240.0,256.4,280.0
2021-04-01,240.0,256.4,280.0
2021-03-25,250.0,263.9,290.0
2021-03-18,250.0,263.9,290.0
2021-03-11,250.0,263.9,290.0
2021-03-04,250.0,263.9,290.0
2021-02-25,250.0,263.9,290.0
2021-02-18,250.0,262.28,280.0
2021-02-11,240.0,258.11,280.0
2021-02-04,240.0,258.11,280.0
2021-01-28,240.0,258.11,280.0
2021-01-21,240.0,258.11,280.0
2021-01-14,240.0,258.11,280.0
2021-01-07,230.0,248.17,260.0
2020-12-31,230.0,248.17,260.0
2020-12-24,230.0,248.17,260.0
2020-12-17,230.0,248.17,260.0
2020-12-10,230.0,242.36,260.0
2020-12-03,230.0,242.36,260.0
2020-11-26,230.0,242.36,260.0
2020-11-19,230.0,242.36,260.0
2020-11-12,230.0,242.36,260.0
2020-11-05,230.0,242.36,260.0
2020-10-29,230.0,248.95,270.0
2020-10-22,240.0,256.34,280.0
2020-10-15,240.0,256.34,280.0
2020-10-08,230.0,252.84,280.0
2020-10-01,230.0,252.84,280.0
2020-09-24,230.0,248.92,270.0
2020-09-17,230.0,248.92,270.0
2020-09-10,230.0,245.61,260.0
2020-09-03,220.0,242.32,250.0
2020-08-27,220.0,242.32,250.0
2020-08-20,230.0,245.68,260.0
2020-08-13,230.0,245.68,260.0
2020-08-06,230.0,254.62,280.0
2020-07-29,230.0,254.62,280.0
2020-07-23,240.0,262.18,290.0
2020-07-16,240.0,262.18,290.0
2020-07-09,250.0,266.35,290.0
2020-07-02,260.0,274.8,290.0
2020-06-25,280.0,289.91,300.0
2020-06-18,290.0,304.02,320.0
2020-06-11,290.0,304.02,320.0
2020-06-04,290.0,304.02,320.0
2020-05-28,290.0,316.1,340.0
2020-05-21,290.0,316.1,340.0
2020-05-14,290.0,316.1,340.0
2020-05-07,285.0,305.03,330.0
2020-04-30,285.0,305.03,330.0
2020-04-23,280.0,300.65,320.0
2020-04-16,280.0,307.2,330.0
2020-04-09,280.0,301.32,330.0
2020-04-02,260.0,275.64,300.0
2020-03-26,220.0,236.38,260.0
2020-03-19,220.0,236.38,260.0
2020-03-12,230.0,245.36,280.0
2020-03-05,230.0,245.36,280.0
2020-02-27,230.0,245.36,280.0
2020-02-20,230.0,245.36,280.0
2020-02-13,230.0,245.36,280.0
2020-02-06,230.0,245.36,280.0
2020-01-30,230.0,245.36,280.0
2020-01-23,230.0,245.36,280.0
2020-01-16,230.0,245.36,280.0
2020-01-09,230.0,240.61,260.0
2020-01-02,200.0,227.15,240.0
2019-12-26,200.0,213.95,230.0
2019-12-19,190.0,201.24,230.0
2019-12-12,180.0,193.81,220.0
2019-12-05,180.0,193.81,220.0
2019-11-28,180.0,193.81,220.0
2019-11-21,180.0,193.81,220.0
2019-11-14,180.0,193.81,220.0
2019-11-07,180.0,191.33,210.0
2019-10-31,180.0,191.33,210.0
2019-10-24,180.0,191.33,210.0
2019-10-17,170.0,187.23,200.0
2019-10-10,170.0,187.23,200.0
2019-10-03,170.0,187.23,200.0
2019-09-26,170.0,187.23,200.0
2019-09-19,170.0,187.23,200.0
2019-09-12,170.0,187.23,200.0
2019-09-05,170.0,187.23,200.0
2021-08-06,180.0,197.96,220.0
2021-08-12,170.0,191.89,220.0
2021-08-26,170.0,191.89,220.0
2021-09-02,170.0,191.89,220.0
