Date,Min,Avg,Max
2021-07-29,180.0,185.17,190.0
2021-07-15,180.0,185.17,190.0
2021-07-08,180.0,185.17,190.0
2021-07-01,200.0,204.23,210.0
2021-06-24,200.0,204.23,210.0
2021-06-17,200.0,204.23,210.0
2021-06-10,220.0,223.28,230.0
2021-06-03,220.0,223.28,230.0
2021-05-27,220.0,235.54,250.0
2021-05-20,220.0,235.54,250.0
2021-05-06,220.0,235.54,250.0
2021-04-29,220.0,235.54,250.0
2021-04-22,220.0,235.54,250.0
2021-04-15,220.0,235.54,250.0
2021-04-08,220.0,235.54,250.0
2021-04-01,220.0,235.54,250.0
2021-03-25,220.0,235.54,250.0
2021-03-18,220.0,235.54,250.0
2021-03-11,220.0,235.54,250.0
2021-03-04,220.0,235.54,250.0
2021-02-25,220.0,235.54,250.0
2021-02-18,220.0,235.54,250.0
2021-02-11,220.0,235.54,250.0
2021-02-04,220.0,235.54,250.0
2021-01-28,220.0,235.54,250.0
2021-01-21,220.0,235.54,250.0
2021-01-14,200.0,219.12,240.0
2021-01-07,200.0,219.12,240.0
2020-12-31,200.0,219.12,240.0
2020-12-24,200.0,219.12,240.0
2020-12-17,210.0,230.11,250.0
2020-12-10,210.0,230.11,250.0
2020-12-03,210.0,230.11,250.0
2020-11-26,210.0,230.11,250.0
2020-11-19,220.0,237.4,250.0
2020-11-12,220.0,237.4,250.0
2020-11-05,220.0,237.4,250.0
2020-10-29,220.0,237.4,250.0
2020-10-22,220.0,237.4,250.0
2020-10-15,220.0,237.4,250.0
2020-10-08,220.0,237.4,250.0
2020-10-01,220.0,237.4,250.0
2020-09-24,220.0,237.4,250.0
2020-09-17,220.0,237.4,250.0
2020-09-10,220.0,237.4,250.0
2020-09-03,220.0,237.4,250.0
2020-08-27,220.0,237.4,250.0
2020-08-20,220.0,237.4,250.0
2020-08-13,220.0,237.4,250.0
2020-08-06,220.0,237.4,250.0
2020-07-29,220.0,237.4,250.0
2020-07-23,220.0,237.4,250.0
2020-07-16,220.0,237.4,250.0
2020-07-09,220.0,237.4,250.0
2020-07-02,260.0,263.77,270.0
2020-06-25,260.0,263.77,270.0
2020-06-18,260.0,263.77,270.0
2020-06-11,260.0,263.77,270.0
2020-06-04,260.0,263.77,270.0
2020-05-28,280.0,287.99,300.0
2020-05-21,280.0,287.99,300.0
2020-05-14,280.0,287.99,300.0
2020-05-07,280.0,287.99,300.0
2020-04-30,280.0,287.99,300.0
2020-04-23,280.0,287.99,300.0
2020-04-16,280.0,287.99,300.0
2020-04-09,280.0,287.99,300.0
2020-04-02,260.0,272.77,280.0
2020-03-26,220.0,228.97,240.0
2020-03-19,220.0,228.99,240.0
2020-03-12,220.0,228.99,240.0
2020-03-05,210.0,216.09,230.0
2020-02-27,210.0,216.09,230.0
2020-02-20,210.0,216.09,230.0
2020-02-13,210.0,216.09,230.0
2020-02-06,210.0,216.09,230.0
2020-01-30,210.0,216.09,230.0
2020-01-23,200.0,204.23,210.0
2020-01-16,200.0,204.23,210.0
2020-01-09,200.0,204.23,210.0
2020-01-02,170.0,176.07,190.0
2019-12-26,170.0,176.07,190.0
2019-12-19,170.0,176.07,190.0
2019-12-12,160.0,164.21,170.0
2019-12-05,160.0,164.21,170.0
2019-11-28,160.0,164.21,170.0
2019-11-21,160.0,164.21,170.0
2019-11-14,160.0,164.21,170.0
2019-11-07,160.0,164.21,170.0
2019-10-31,160.0,164.21,170.0
2019-10-24,160.0,164.21,170.0
2019-10-17,160.0,164.21,170.0
2019-10-10,160.0,164.21,170.0
2019-10-03,160.0,164.21,170.0
2019-09-26,160.0,164.21,170.0
2019-09-19,160.0,164.21,170.0
2019-09-12,160.0,164.21,170.0
2019-09-05,160.0,164.21,170.0
2021-08-06,180.0,185.17,190.0
2021-08-12,180.0,185.17,190.0
2021-08-26,190.0,193.28,200.0
