Date,Min,Avg,Max
2019-09-05,150.0,165.34,180.0
2019-09-12,150.0,164.23,180.0
2019-09-19,150.0,163.07,180.0
2019-09-26,150.0,163.07,180.0
2019-10-03,150.0,168.01,180.0
2019-10-10,150.0,168.01,180.0
2019-10-17,150.0,169.15,180.0
2019-10-24,150.0,168.59,180.0
2019-10-31,150.0,170.75,180.0
2019-11-07,150.0,169.6,180.0
2019-11-14,150.0,171.83,180.0
2019-11-21,150.0,171.83,180.0
2019-11-28,150.0,171.83,180.0
2019-12-05,160.0,173.07,180.0
2019-12-12,170.0,178.86,180.0
2019-12-19,180.0,181.08,190.0
2019-12-26,180.0,192.06,200.0
2020-01-02,180.0,198.64,220.0
2020-01-09,200.0,212.02,220.0
2020-01-16,200.0,215.34,230.0
2020-01-23,200.0,224.14,240.0
2020-01-30,220.0,228.77,240.0
2020-02-06,230.0,234.39,240.0
2020-02-13,230.0,234.39,240.0
2020-02-20,230.0,232.19,240.0
2020-02-27,230.0,231.09,240.0
2020-03-05,220.0,229.95,240.0
2020-03-12,220.0,228.82,240.0
2020-03-19,220.0,227.74,230.0
2020-03-26,240.0,240.0,240.0
2020-04-02,240.0,251.05,260.0
2020-04-09,260.0,265.51,270.0
2020-04-16,270.0,273.29,280.0
2020-04-23,270.0,274.4,280.0
2020-04-30,270.0,272.19,280.0
2020-05-07,270.0,270.0,270.0
2020-05-14,270.0,270.0,270.0
2020-05-21,270.0,270.0,270.0
2020-05-28,270.0,270.0,270.0
2020-06-04,270.0,274.36,290.0
2020-06-11,260.0,267.75,270.0
2020-06-18,260.0,267.75,270.0
2020-06-25,260.0,264.4,270.0
2020-07-02,260.0,264.4,270.0
2020-07-09,230.0,251.83,270.0
2020-07-16,220.0,237.19,260.0
2020-07-23,220.0,237.19,260.0
2020-07-29,220.0,239.19,270.0
2020-08-06,210.0,235.51,270.0
2020-08-13,220.0,239.19,270.0
2020-08-20,210.0,235.61,270.0
2020-08-27,200.0,227.22,270.0
2020-09-03,200.0,222.04,260.0
2020-09-10,230.0,236.53,250.0
2020-09-17,220.0,233.1,250.0
2020-09-24,220.0,235.18,260.0
2020-10-01,220.0,231.72,260.0
2020-10-08,220.0,231.72,260.0
2020-10-15,220.0,225.45,240.0
2020-10-22,200.0,200.0,200.0
2020-10-29,200.0,200.0,200.0
2020-11-05,200.0,200.0,200.0
2020-11-12,200.0,200.0,200.0
2020-11-19,200.0,200.0,200.0
2020-11-26,200.0,200.0,200.0
2020-12-03,200.0,200.0,200.0
2020-12-10,200.0,200.0,200.0
2020-12-17,200.0,200.0,200.0
2020-12-24,200.0,200.0,200.0
2020-12-31,200.0,200.0,200.0
2021-01-07,200.0,200.0,200.0
2021-01-14,200.0,200.0,200.0
2021-01-21,200.0,200.0,200.0
2021-01-28,200.0,200.0,200.0
2021-02-04,200.0,200.0,200.0
2021-02-11,210.0,210.0,210.0
2021-02-18,210.0,216.61,220.0
2021-02-25,210.0,216.61,220.0
2021-03-04,210.0,216.61,220.0
2021-03-11,210.0,216.61,220.0
2021-03-18,210.0,216.61,220.0
2021-03-25,210.0,216.61,220.0
2021-04-01,210.0,216.61,220.0
2021-04-08,210.0,216.61,220.0
2021-04-15,200.0,200.0,200.0
2021-04-22,200.0,200.0,200.0
2021-04-29,200.0,200.0,200.0
2021-05-06,200.0,200.0,200.0
2021-05-20,200.0,200.0,200.0
2021-05-27,200.0,200.0,200.0
2021-06-03,200.0,200.0,200.0
2021-06-10,200.0,200.0,200.0
2021-06-17,200.0,200.0,200.0
2021-06-24,200.0,200.0,200.0
2021-07-01,200.0,200.0,200.0
2021-07-08,200.0,200.0,200.0
2021-07-15,200.0,200.0,200.0
2021-07-29,200.0,200.0,200.0
2021-08-05,180.0,180.0,180.0
2021-08-12,180.0,180.0,180.0
2021-08-26,180.0,180.0,180.0
2021-09-02,150.0,156.59,160.0
2021-09-09,150.0,156.59,160.0
2021-09-16,145.0,145.0,145.0
2021-09-23,145.0,145.0,145.0
2021-09-30,145.0,145.0,145.0
2021-10-07,145.0,145.0,145.0
2021-10-14,145.0,145.0,145.0
2021-10-21,145.0,145.0,145.0
2021-10-28,145.0,145.0,145.0
2021-12-02,145.0,145.0,145.0
