Date,Min,Avg,Max
2019-09-05,190.0,199.83,210.0
2019-09-12,190.0,199.83,210.0
2019-09-19,190.0,199.83,210.0
2019-09-26,190.0,199.83,210.0
2019-10-03,190.0,199.83,210.0
2019-10-10,190.0,199.83,210.0
2019-10-17,190.0,199.83,210.0
2019-10-24,200.0,209.84,220.0
2019-10-31,200.0,209.84,220.0
2019-11-07,200.0,209.84,220.0
2019-11-14,200.0,209.84,220.0
2019-11-21,220.0,229.85,240.0
2019-11-28,220.0,229.85,240.0
2019-12-05,220.0,229.85,240.0
2019-12-12,220.0,229.85,240.0
2019-12-19,220.0,229.85,240.0
2019-12-26,230.0,239.86,250.0
2020-01-02,230.0,239.86,250.0
2020-01-09,250.0,259.87,270.0
2020-01-16,250.0,259.87,270.0
2020-01-23,250.0,259.87,270.0
2020-01-30,250.0,259.87,270.0
2020-02-06,250.0,259.87,270.0
2020-02-13,240.0,249.87,260.0
2020-02-20,240.0,249.87,260.0
2020-02-27,250.0,259.87,270.0
2020-03-05,260.0,269.88,280.0
2020-03-12,260.0,269.88,280.0
2020-03-19,260.0,269.88,280.0
2020-03-26,260.0,269.88,280.0
2020-04-02,260.0,269.88,280.0
2020-04-09,280.0,289.89,300.0
2020-04-16,290.0,294.97,300.0
2020-04-23,295.0,299.97,305.0
2020-04-30,310.0,314.97,320.0
2020-05-07,310.0,314.97,320.0
2020-05-14,300.0,304.97,310.0
2020-05-21,300.0,304.97,310.0
2020-05-28,320.0,324.14,330.0
2020-06-04,320.0,324.97,330.0
2020-06-11,320.0,324.97,330.0
2020-06-18,315.0,319.97,325.0
2020-06-25,315.0,319.97,325.0
2020-07-02,310.0,314.97,320.0
2020-07-09,310.0,314.97,320.0
2020-07-16,290.0,294.97,300.0
2020-07-23,290.0,294.97,300.0
2020-07-29,280.0,284.97,290.0
2020-08-06,280.0,284.97,290.0
2020-08-13,280.0,284.97,290.0
2020-08-20,275.0,279.97,285.0
2020-08-27,265.0,269.97,275.0
2020-09-03,250.0,254.97,260.0
2020-09-10,255.0,259.97,265.0
2020-09-17,255.0,259.97,265.0
2020-09-24,245.0,249.97,255.0
2020-10-01,255.0,259.97,265.0
2020-10-08,250.0,254.97,260.0
2020-10-15,260.0,264.97,270.0
2020-10-22,255.0,259.97,265.0
2020-10-29,255.0,259.97,265.0
2020-11-05,255.0,259.97,265.0
2020-11-12,245.0,249.97,255.0
2020-11-19,250.0,254.97,260.0
2020-11-26,250.0,254.97,260.0
2020-12-03,255.0,259.97,265.0
2020-12-10,255.0,259.97,265.0
2020-12-17,250.0,254.97,260.0
2020-12-24,250.0,254.97,260.0
2020-12-31,255.0,259.97,265.0
2021-01-07,255.0,259.97,265.0
2021-01-14,255.0,259.97,265.0
2021-01-21,270.0,274.97,280.0
2021-01-28,270.0,274.97,280.0
2021-02-04,270.0,274.97,280.0
2021-02-11,265.0,269.97,275.0
2021-02-18,265.0,269.97,275.0
2021-02-25,265.0,269.97,275.0
2021-03-04,270.0,274.97,280.0
2021-03-11,270.0,274.97,280.0
2021-03-18,265.0,269.97,275.0
2021-03-25,265.0,269.97,275.0
2021-04-01,265.0,269.97,275.0
2021-04-08,265.0,269.97,275.0
2021-04-15,265.0,269.97,275.0
2021-04-22,265.0,269.97,275.0
2021-04-29,265.0,269.97,275.0
2021-05-06,255.0,259.97,265.0
2021-05-20,265.0,269.97,275.0
2021-05-27,265.0,269.97,275.0
2021-06-03,270.0,274.97,280.0
2021-06-10,270.0,274.97,280.0
2021-06-17,270.0,274.97,280.0
2021-06-24,260.0,264.97,270.0
2021-07-01,250.0,254.97,260.0
2021-07-08,240.0,244.97,250.0
2021-07-15,220.0,229.85,240.0
2021-07-29,220.0,229.85,240.0
2021-08-05,220.0,229.85,240.0
2021-08-12,220.0,229.85,240.0
2021-08-26,220.0,229.85,240.0
2021-09-02,220.0,229.85,240.0
2021-09-09,220.0,229.85,240.0
2021-09-16,220.0,229.85,240.0
2021-09-23,220.0,224.96,230.0
2021-09-30,220.0,224.96,230.0
2021-10-07,220.0,224.96,230.0
2021-10-14,220.0,224.96,230.0
2021-10-21,220.0,224.96,230.0
2021-10-28,220.0,224.96,230.0
2021-12-02,220.0,224.96,230.0
2021-11-04,220.0,224.96,230.0
2021-11-11,220.0,224.96,230.0
2021-11-18,220.0,224.96,230.0
2021-11-25,220.0,224.96,230.0
2021-12-08,220.0,224.96,230.0
