Date,Min,Avg,Max
2019-09-05,170.0,178.53,200.0
2019-09-12,170.0,178.53,200.0
2019-09-19,170.0,178.53,200.0
2019-09-26,170.0,178.53,200.0
2019-10-03,170.0,178.53,200.0
2019-10-10,170.0,178.53,200.0
2019-10-17,170.0,178.53,200.0
2019-10-24,170.0,178.53,200.0
2019-10-31,170.0,181.19,200.0
2019-11-07,170.0,181.19,200.0
2019-11-14,180.0,189.52,200.0
2019-11-21,180.0,189.52,200.0
2019-11-28,180.0,189.52,200.0
2019-12-05,170.0,182.84,200.0
2019-12-12,170.0,182.84,200.0
2019-12-19,170.0,184.42,200.0
2019-12-26,180.0,195.64,220.0
2020-01-02,200.0,220.46,230.0
2020-01-09,220.0,236.48,250.0
2020-01-16,220.0,236.48,250.0
2020-01-23,220.0,236.48,250.0
2020-01-30,220.0,237.12,250.0
2020-02-06,220.0,237.12,250.0
2020-02-13,220.0,237.12,250.0
2020-02-20,220.0,237.12,250.0
2020-02-27,220.0,237.12,250.0
2020-03-05,220.0,237.12,250.0
2020-03-12,220.0,237.12,250.0
2020-03-19,220.0,233.81,250.0
2020-03-26,220.0,233.81,250.0
2020-04-02,250.0,269.85,280.0
2020-04-09,280.0,287.23,300.0
2020-04-16,290.0,309.04,330.0
2020-04-23,290.0,301.16,320.0
2020-04-30,290.0,298.58,310.0
2020-05-07,290.0,298.58,310.0
2020-05-14,290.0,298.58,310.0
2020-05-21,290.0,298.58,310.0
2020-05-28,290.0,298.58,310.0
2020-06-04,290.0,298.58,310.0
2020-06-11,280.0,294.51,320.0
2020-06-18,260.0,283.08,300.0
2020-06-25,250.0,273.66,300.0
2020-07-02,250.0,270.48,280.0
2020-07-09,240.0,258.44,270.0
2020-07-16,230.0,255.69,270.0
2020-07-23,230.0,255.69,270.0
2020-07-29,230.0,249.79,270.0
2020-08-06,230.0,249.79,270.0
2020-08-13,220.0,239.15,250.0
2020-08-20,220.0,238.5,250.0
2020-08-27,220.0,233.86,250.0
2020-09-03,220.0,231.17,250.0
2020-09-10,220.0,233.84,250.0
2020-09-17,220.0,238.42,260.0
2020-09-24,220.0,238.42,260.0
2020-10-01,220.0,238.42,260.0
2020-10-08,220.0,238.42,260.0
2020-10-15,230.0,243.21,260.0
2020-10-22,230.0,245.2,260.0
2020-10-29,230.0,245.2,260.0
2020-11-05,230.0,245.2,260.0
2020-11-12,220.0,234.47,250.0
2020-11-19,220.0,234.47,250.0
2020-11-26,220.0,234.47,250.0
2020-12-03,220.0,234.47,250.0
2020-12-10,220.0,234.47,250.0
2020-12-17,220.0,234.47,250.0
2020-12-24,220.0,234.47,250.0
2020-12-31,220.0,234.47,250.0
2021-01-07,220.0,234.47,250.0
2021-01-14,230.0,243.76,260.0
2021-01-21,230.0,243.76,260.0
2021-01-28,230.0,243.76,260.0
2021-02-04,230.0,243.76,260.0
2021-02-11,230.0,243.76,260.0
2021-02-18,230.0,243.76,260.0
2021-02-25,230.0,243.76,260.0
2021-03-04,230.0,243.76,260.0
2021-03-11,230.0,246.85,280.0
2021-03-18,230.0,246.85,280.0
2021-03-25,230.0,246.85,280.0
2021-04-01,230.0,242.49,260.0
2021-04-08,230.0,242.49,260.0
2021-04-15,220.0,237.85,250.0
2021-04-22,220.0,237.85,250.0
2021-04-29,220.0,237.85,250.0
2021-05-06,220.0,237.85,250.0
2021-05-20,220.0,237.85,250.0
2021-05-27,220.0,232.57,250.0
2021-06-03,220.0,231.19,250.0
2021-06-10,200.0,224.25,250.0
2021-06-17,200.0,221.69,240.0
2021-06-24,200.0,221.69,240.0
2021-07-01,180.0,212.29,230.0
2021-07-08,180.0,203.64,220.0
2021-07-15,180.0,203.64,220.0
2021-07-29,180.0,202.35,220.0
2021-08-05,160.0,187.94,210.0
2021-08-12,160.0,183.27,210.0
2021-08-26,160.0,183.27,210.0
2021-09-02,160.0,183.27,210.0
2021-09-09,160.0,178.62,210.0
2021-09-16,150.0,169.07,180.0
2021-09-23,140.0,164.88,180.0
2021-09-30,140.0,164.88,180.0
2021-10-07,140.0,164.88,180.0
2021-10-14,140.0,164.88,180.0
2021-10-21,140.0,164.88,180.0
2021-10-28,140.0,164.88,180.0
2021-12-02,140.0,164.88,180.0
2021-11-04,140.0,164.88,180.0
2021-11-11,140.0,164.88,180.0
2021-11-18,140.0,164.88,180.0
2021-11-25,140.0,164.88,180.0
2021-12-08,140.0,164.88,180.0
