Date,Min,Avg,Max
2021-07-29,190.0,190.0,190.0
2021-07-15,190.0,193.28,200.0
2021-07-08,190.0,193.28,200.0
2021-07-01,190.0,193.28,200.0
2021-06-24,190.0,193.28,200.0
2021-06-17,190.0,193.28,200.0
2021-06-10,200.0,203.28,210.0
2021-06-03,200.0,203.28,210.0
2021-05-27,210.0,213.28,220.0
2021-05-20,210.0,213.28,220.0
2021-05-06,210.0,213.28,220.0
2021-04-29,210.0,213.28,220.0
2021-04-22,210.0,213.28,220.0
2021-04-15,210.0,213.28,220.0
2021-04-08,220.0,220.0,220.0
2021-04-01,220.0,220.0,220.0
2021-03-25,210.0,216.61,220.0
2021-03-18,200.0,200.0,200.0
2021-03-11,220.0,220.0,220.0
2021-03-04,220.0,229.85,240.0
2021-02-25,220.0,226.47,240.0
2021-02-18,210.0,216.61,220.0
2021-02-11,200.0,203.28,210.0
2021-02-04,200.0,200.0,200.0
2021-01-28,190.0,193.28,200.0
2021-01-21,200.0,206.46,220.0
2021-01-14,200.0,206.46,220.0
2021-01-07,230.0,230.0,230.0
2020-12-31,190.0,190.0,190.0
2020-12-24,190.0,190.0,190.0
2020-12-17,190.0,193.28,200.0
2020-12-10,200.0,203.28,210.0
2020-12-03,200.0,203.28,210.0
2020-11-26,200.0,203.28,210.0
2020-11-19,200.0,203.28,210.0
2020-11-12,210.0,216.61,220.0
2020-11-05,220.0,220.0,220.0
2020-10-29,230.0,230.0,230.0
2020-10-22,230.0,230.0,230.0
2020-10-15,230.0,230.0,230.0
2020-10-08,230.0,230.0,230.0
2020-10-01,230.0,230.0,230.0
2020-09-24,220.0,220.0,220.0
2020-09-17,220.0,220.0,220.0
2020-09-10,220.0,220.0,220.0
2020-09-03,220.0,220.0,220.0
2020-08-27,220.0,220.0,220.0
2020-08-20,220.0,220.0,220.0
2020-08-13,240.0,240.0,240.0
2020-08-06,240.0,240.0,240.0
2020-07-29,220.0,223.28,230.0
2020-07-23,220.0,223.28,230.0
2020-07-16,220.0,220.0,220.0
2020-07-09,220.0,220.0,220.0
2020-07-02,240.0,240.0,240.0
2020-06-25,260.0,260.0,260.0
2020-06-18,280.0,280.0,280.0
2020-06-11,280.0,280.0,280.0
2020-06-04,280.0,280.0,280.0
2020-05-28,280.0,280.0,280.0
2020-05-21,280.0,280.0,280.0
2020-05-14,240.0,240.0,240.0
2020-05-07,240.0,240.0,240.0
2020-04-30,240.0,240.0,240.0
2020-04-23,240.0,240.0,240.0
2020-04-16,240.0,240.0,240.0
2020-04-09,280.0,280.0,280.0
2020-04-02,230.0,230.0,230.0
2020-03-26,230.0,230.0,230.0
2020-03-19,230.0,230.0,230.0
2020-03-12,230.0,230.0,230.0
2020-03-05,230.0,230.0,230.0
2020-02-27,230.0,230.0,230.0
2020-02-20,230.0,230.0,230.0
2020-02-13,230.0,230.0,230.0
2020-02-06,230.0,230.0,230.0
2020-01-30,210.0,210.0,210.0
2020-01-23,210.0,210.0,210.0
2020-01-16,210.0,210.0,210.0
2020-01-09,210.0,210.0,210.0
2020-01-02,210.0,210.0,210.0
2019-12-26,200.0,200.0,200.0
2019-12-19,190.0,190.0,190.0
2019-12-12,190.0,190.0,190.0
2019-12-05,190.0,190.0,190.0
2019-11-28,190.0,190.0,190.0
2019-11-21,190.0,190.0,190.0
2019-11-14,180.0,180.0,180.0
2019-11-07,180.0,180.0,180.0
2019-10-31,165.0,165.0,165.0
2019-10-24,165.0,165.0,165.0
2019-10-17,165.0,165.0,165.0
2019-10-10,165.0,165.0,165.0
2019-10-03,165.0,165.0,165.0
2019-09-26,165.0,165.0,165.0
2019-09-19,165.0,165.0,165.0
2019-09-12,165.0,165.0,165.0
2019-09-05,165.0,165.0,165.0
2021-08-06,180.0,183.27,190.0
2021-08-12,170.0,176.6,180.0
2021-08-26,190.0,196.61,200.0
