Date,Min,Avg,Max
2019-09-05,170.0,173.27,180.0
2019-09-12,170.0,173.27,180.0
2019-09-19,170.0,173.27,180.0
2019-09-26,170.0,173.27,180.0
2019-10-03,170.0,173.27,180.0
2019-10-10,170.0,173.27,180.0
2019-10-17,200.0,200.0,200.0
2019-10-24,200.0,200.0,200.0
2019-10-31,200.0,200.0,200.0
2019-11-07,200.0,200.0,200.0
2019-11-14,200.0,200.0,200.0
2019-11-21,210.0,213.28,220.0
2019-11-28,210.0,213.28,220.0
2019-12-05,210.0,213.28,220.0
2019-12-12,210.0,213.28,220.0
2019-12-19,210.0,213.28,220.0
2019-12-26,210.0,213.28,220.0
2020-01-02,230.0,233.29,240.0
2020-01-09,240.0,243.29,250.0
2020-01-16,240.0,243.29,250.0
2020-01-23,240.0,243.29,250.0
2020-01-30,240.0,243.29,250.0
2020-02-06,240.0,243.29,250.0
2020-02-13,240.0,243.29,250.0
2020-02-20,240.0,243.29,250.0
2020-02-27,240.0,243.29,250.0
2020-03-05,240.0,243.29,250.0
2020-03-12,240.0,243.29,250.0
2020-03-19,240.0,243.29,250.0
2020-03-26,240.0,243.29,250.0
2020-04-02,260.0,266.5,280.0
2020-04-09,290.0,293.3,300.0
2020-04-16,300.0,306.52,320.0
2020-04-23,300.0,306.52,320.0
2020-04-30,300.0,306.52,320.0
2020-05-07,300.0,306.52,320.0
2020-05-14,300.0,306.52,320.0
2020-05-21,300.0,306.52,320.0
2020-05-28,300.0,306.52,320.0
2020-06-04,300.0,306.52,320.0
2020-06-11,300.0,306.52,320.0
2020-06-18,300.0,306.52,320.0
2020-06-25,300.0,306.52,320.0
2020-07-02,280.0,280.0,280.0
2020-07-09,280.0,280.0,280.0
2020-07-16,240.0,240.0,240.0
2020-07-23,240.0,240.0,240.0
2020-07-29,240.0,240.0,240.0
2020-08-06,240.0,240.0,240.0
2020-08-13,240.0,240.0,240.0
2020-08-20,240.0,240.0,240.0
2020-08-27,220.0,223.28,230.0
2020-09-03,220.0,223.28,230.0
2020-09-10,230.0,236.48,250.0
2020-09-17,240.0,243.29,250.0
2020-09-24,240.0,243.29,250.0
2020-10-01,250.0,253.29,260.0
2020-10-08,250.0,253.29,260.0
2020-10-15,240.0,243.29,250.0
2020-10-22,240.0,243.29,250.0
2020-10-29,240.0,243.29,250.0
2020-11-05,240.0,243.29,250.0
2020-11-12,240.0,243.29,250.0
2020-11-19,240.0,243.29,250.0
2020-11-26,230.0,233.29,240.0
2020-12-03,230.0,233.29,240.0
2020-12-10,230.0,233.29,240.0
2020-12-17,230.0,233.29,240.0
2020-12-24,230.0,233.29,240.0
2020-12-31,230.0,233.29,240.0
2021-01-07,240.0,243.29,250.0
2021-01-14,240.0,243.29,250.0
2021-01-21,240.0,243.29,250.0
2021-01-28,240.0,243.29,250.0
2021-02-04,240.0,243.29,250.0
2021-02-11,240.0,243.29,250.0
2021-02-18,240.0,243.29,250.0
2021-02-25,240.0,243.29,250.0
2021-03-04,240.0,243.29,250.0
2021-03-11,240.0,243.29,250.0
2021-03-18,240.0,243.29,250.0
2021-03-25,240.0,243.29,250.0
2021-04-01,240.0,243.29,250.0
2021-04-08,240.0,243.29,250.0
2021-04-15,230.0,233.29,240.0
2021-04-22,230.0,233.29,240.0
2021-04-29,230.0,233.29,240.0
2021-05-06,230.0,233.29,240.0
2021-05-20,230.0,233.29,240.0
2021-05-27,230.0,233.29,240.0
2021-06-03,230.0,233.29,240.0
2021-06-10,230.0,233.29,240.0
2021-06-17,230.0,233.29,240.0
2021-06-24,230.0,233.29,240.0
2021-07-01,230.0,233.29,240.0
2021-07-08,230.0,230.0,230.0
2021-07-15,210.0,213.28,220.0
2021-07-29,210.0,213.28,220.0
2021-08-05,200.0,206.46,220.0
2021-08-12,200.0,206.46,220.0
2021-08-26,200.0,206.46,220.0
2021-09-02,200.0,206.46,220.0
2021-09-09,200.0,206.46,220.0
2021-09-16,200.0,206.46,220.0
2021-09-23,200.0,200.0,200.0
2021-09-30,200.0,200.0,200.0
2021-10-07,200.0,200.0,200.0
2021-10-14,200.0,200.0,200.0
2021-10-21,200.0,200.0,200.0
2021-10-28,200.0,200.0,200.0
