Date,Min,Avg,Max
2021-07-29,300.0,300.0,300.0
2021-07-15,300.0,300.0,300.0
2021-07-08,300.0,300.0,300.0
2021-07-01,300.0,300.0,300.0
2021-06-24,300.0,300.0,300.0
2021-06-17,300.0,300.0,300.0
2021-06-10,300.0,300.0,300.0
2021-06-03,300.0,300.0,300.0
2021-05-27,300.0,300.0,300.0
2021-05-20,280.0,280.0,280.0
2021-05-06,280.0,280.0,280.0
2021-04-29,280.0,280.0,280.0
2021-04-22,280.0,280.0,280.0
2021-04-15,280.0,280.0,280.0
2021-04-08,280.0,280.0,280.0
2021-04-01,280.0,280.0,280.0
2021-03-25,280.0,280.0,280.0
2021-03-18,280.0,280.0,280.0
2021-03-11,280.0,280.0,280.0
2021-03-04,280.0,280.0,280.0
2021-02-25,270.0,270.0,270.0
2021-02-18,270.0,270.0,270.0
2021-02-11,280.0,280.0,280.0
2021-02-04,280.0,280.0,280.0
2021-01-28,280.0,280.0,280.0
2021-01-21,280.0,280.0,280.0
2021-01-14,280.0,280.0,280.0
2021-01-07,260.0,260.0,260.0
2020-12-31,250.0,250.0,250.0
2020-12-24,240.0,240.0,240.0
2020-12-17,240.0,240.0,240.0
2020-12-10,200.0,200.0,200.0
2020-12-03,200.0,200.0,200.0
2020-11-26,200.0,200.0,200.0
2020-11-19,200.0,200.0,200.0
2020-11-12,200.0,200.0,200.0
2020-11-05,200.0,200.0,200.0
2020-10-29,200.0,200.0,200.0
2020-10-22,200.0,200.0,200.0
2020-10-15,200.0,200.0,200.0
2020-10-08,200.0,200.0,200.0
2020-10-01,200.0,200.0,200.0
2020-09-24,200.0,200.0,200.0
2020-09-17,200.0,200.0,200.0
2020-09-10,200.0,200.0,200.0
2020-09-03,200.0,200.0,200.0
2020-08-27,200.0,200.0,200.0
2020-08-20,200.0,200.0,200.0
2020-08-13,200.0,200.0,200.0
2020-08-06,200.0,200.0,200.0
2020-07-29,200.0,200.0,200.0
2020-07-23,200.0,200.0,200.0
2020-07-16,200.0,200.0,200.0
2020-07-09,200.0,200.0,200.0
2020-07-02,200.0,200.0,200.0
2020-06-25,200.0,200.0,200.0
2020-06-18,200.0,200.0,200.0
2020-06-11,200.0,200.0,200.0
2020-06-04,200.0,200.0,200.0
2020-05-28,200.0,200.0,200.0
2020-05-21,200.0,200.0,200.0
2020-05-14,200.0,200.0,200.0
2020-05-07,200.0,200.0,200.0
2020-04-30,200.0,200.0,200.0
2020-04-23,200.0,200.0,200.0
2020-04-16,200.0,200.0,200.0
2020-04-09,200.0,200.0,200.0
2020-04-02,200.0,200.0,200.0
2020-03-26,200.0,200.0,200.0
2020-03-19,200.0,200.0,200.0
2020-03-12,200.0,200.0,200.0
2020-03-05,200.0,200.0,200.0
2020-02-27,200.0,200.0,200.0
2020-02-20,200.0,200.0,200.0
2020-02-13,200.0,200.0,200.0
2020-02-06,200.0,200.0,200.0
2020-01-30,200.0,200.0,200.0
2020-01-23,200.0,200.0,200.0
2020-01-16,200.0,200.0,200.0
2020-01-09,200.0,200.0,200.0
2020-01-02,200.0,200.0,200.0
2019-12-26,180.0,180.0,180.0
2019-12-19,180.0,180.0,180.0
2019-12-12,180.0,180.0,180.0
2019-12-05,180.0,180.0,180.0
2019-11-28,180.0,180.0,180.0
2019-11-21,180.0,180.0,180.0
2019-11-14,180.0,180.0,180.0
2019-11-07,180.0,180.0,180.0
2019-10-31,180.0,180.0,180.0
2019-10-24,170.0,173.27,180.0
2019-10-17,170.0,173.27,180.0
2019-10-10,170.0,173.27,180.0
2019-10-03,170.0,173.27,180.0
2019-09-26,170.0,173.27,180.0
2019-09-19,170.0,173.27,180.0
2019-09-12,170.0,173.27,180.0
2019-09-05,170.0,173.27,180.0
2021-08-06,300.0,300.0,300.0
2021-08-12,300.0,300.0,300.0
