Date,Min,Avg,Max
2021-07-29,300.0,306.52,320.0
2021-07-15,300.0,306.52,320.0
2021-07-08,300.0,306.52,320.0
2021-07-01,300.0,300.0,300.0
2021-06-24,300.0,300.0,300.0
2021-06-17,300.0,300.0,300.0
2021-06-10,300.0,300.0,300.0
2021-06-03,300.0,300.0,300.0
2021-05-27,300.0,300.0,300.0
2021-05-20,300.0,300.0,300.0
2021-05-06,300.0,300.0,300.0
2021-04-29,300.0,300.0,300.0
2021-04-22,300.0,300.0,300.0
2021-04-15,300.0,300.0,300.0
2021-04-08,300.0,300.0,300.0
2021-04-01,280.0,283.29,290.0
2021-03-25,280.0,283.29,290.0
2021-03-18,280.0,283.29,290.0
2021-03-11,280.0,283.29,290.0
2021-03-04,300.0,300.0,300.0
2021-02-25,280.0,283.29,290.0
2021-02-18,280.0,283.29,290.0
2021-02-11,280.0,283.29,290.0
2021-02-04,280.0,283.29,290.0
2021-01-28,280.0,280.0,280.0
2021-01-21,280.0,280.0,280.0
2021-01-14,280.0,280.0,280.0
2021-01-07,260.0,260.0,260.0
2020-12-31,240.0,240.0,240.0
2020-12-24,240.0,240.0,240.0
2020-12-17,240.0,240.0,240.0
2020-12-10,240.0,240.0,240.0
2020-12-03,240.0,240.0,240.0
2020-11-26,240.0,240.0,240.0
2020-11-19,240.0,240.0,240.0
2020-11-12,240.0,240.0,240.0
2020-11-05,240.0,240.0,240.0
2020-10-29,240.0,240.0,240.0
2020-10-22,240.0,240.0,240.0
2020-10-15,240.0,240.0,240.0
2020-10-08,240.0,240.0,240.0
2020-10-01,240.0,240.0,240.0
2020-09-24,240.0,240.0,240.0
2020-09-17,240.0,240.0,240.0
2020-09-10,240.0,240.0,240.0
2020-09-03,240.0,240.0,240.0
2020-08-27,240.0,240.0,240.0
2020-08-20,240.0,240.0,240.0
2020-08-13,240.0,240.0,240.0
2020-08-06,240.0,240.0,240.0
2020-07-29,240.0,240.0,240.0
2020-07-23,240.0,240.0,240.0
2020-07-16,240.0,240.0,240.0
2020-07-09,240.0,240.0,240.0
2020-07-02,240.0,240.0,240.0
2020-06-25,240.0,240.0,240.0
2020-06-18,240.0,240.0,240.0
2020-06-11,240.0,240.0,240.0
2020-06-04,240.0,240.0,240.0
2020-05-28,240.0,240.0,240.0
2020-05-21,240.0,240.0,240.0
2020-05-14,240.0,240.0,240.0
2020-05-07,240.0,240.0,240.0
2020-04-30,240.0,240.0,240.0
2020-04-23,240.0,240.0,240.0
2020-04-16,240.0,240.0,240.0
2020-04-09,240.0,240.0,240.0
2020-04-02,240.0,240.0,240.0
2020-03-26,240.0,240.0,240.0
2020-03-19,240.0,240.0,240.0
2020-03-12,240.0,240.0,240.0
2020-03-05,240.0,240.0,240.0
2020-02-27,240.0,240.0,240.0
2020-02-20,240.0,240.0,240.0
2020-02-13,240.0,240.0,240.0
2020-02-06,230.0,230.0,230.0
2020-01-30,230.0,230.0,230.0
2020-01-23,230.0,230.0,230.0
2020-01-16,230.0,230.0,230.0
2020-01-09,230.0,230.0,230.0
2020-01-02,220.0,220.0,220.0
2019-12-26,200.0,200.0,200.0
2019-12-19,200.0,200.0,200.0
2019-12-12,200.0,200.0,200.0
2019-12-05,200.0,200.0,200.0
2019-11-28,190.0,193.28,200.0
2019-11-21,190.0,193.28,200.0
2019-11-14,190.0,193.28,200.0
2019-11-07,190.0,193.28,200.0
2019-10-31,190.0,193.28,200.0
2019-10-24,190.0,193.28,200.0
2019-10-17,190.0,193.28,200.0
2019-10-10,190.0,193.28,200.0
2019-10-03,190.0,193.28,200.0
2019-09-26,190.0,193.28,200.0
2019-09-19,190.0,193.28,200.0
2019-09-12,190.0,193.28,200.0
2019-09-05,190.0,193.28,200.0
2021-08-06,300.0,306.52,320.0
2021-08-12,300.0,306.52,320.0
2021-08-26,300.0,306.52,320.0
2021-09-02,300.0,313.19,320.0
