Date,Min,Avg,Max
2019-09-05,850.0,874.76,900.0
2019-09-12,850.0,874.76,900.0
2019-09-19,850.0,874.76,900.0
2019-09-26,850.0,874.76,900.0
2019-10-03,850.0,874.76,900.0
2019-10-10,850.0,874.76,900.0
2019-10-17,850.0,874.76,900.0
2019-10-24,850.0,874.76,900.0
2019-10-31,850.0,874.76,900.0
2019-11-07,850.0,874.76,900.0
2019-11-14,850.0,874.76,900.0
2019-11-21,850.0,874.76,900.0
2019-11-28,850.0,874.76,900.0
2019-12-05,850.0,874.76,900.0
2019-12-12,850.0,874.76,900.0
2019-12-19,850.0,874.76,900.0
2019-12-26,850.0,874.76,900.0
2020-01-02,850.0,874.76,900.0
2020-01-09,850.0,874.76,900.0
2020-01-16,850.0,874.76,900.0
2020-01-23,850.0,874.76,900.0
2020-01-30,850.0,874.76,900.0
2020-02-06,850.0,874.76,900.0
2020-02-13,850.0,874.76,900.0
2020-02-20,850.0,874.76,900.0
2020-02-27,850.0,874.76,900.0
2020-03-05,850.0,874.76,900.0
2020-03-12,850.0,874.76,900.0
2020-03-19,850.0,874.76,900.0
2020-03-26,850.0,874.76,900.0
2020-04-02,850.0,874.76,900.0
2020-04-09,850.0,874.76,900.0
2020-04-16,850.0,874.76,900.0
2020-04-23,850.0,874.76,900.0
2020-04-30,850.0,874.76,900.0
2020-05-07,850.0,874.76,900.0
2020-05-14,850.0,874.76,900.0
2020-05-21,850.0,874.76,900.0
2020-05-28,850.0,874.76,900.0
2020-06-04,850.0,874.76,900.0
2020-06-11,850.0,874.76,900.0
2020-06-18,850.0,874.76,900.0
2020-06-25,850.0,874.76,900.0
2020-07-02,850.0,874.76,900.0
2020-07-09,850.0,874.76,900.0
2020-07-16,900.0,924.77,950.0
2020-07-23,900.0,924.77,950.0
2020-07-29,900.0,924.77,950.0
2020-08-06,900.0,924.77,950.0
2020-08-13,900.0,924.77,950.0
2020-08-20,900.0,924.77,950.0
2020-08-27,900.0,924.77,950.0
2020-09-03,900.0,924.77,950.0
2020-09-10,900.0,924.77,950.0
2020-09-17,900.0,924.77,950.0
2020-09-24,900.0,924.77,950.0
2020-10-01,900.0,924.77,950.0
2020-10-08,900.0,924.77,950.0
2020-10-15,900.0,924.77,950.0
2020-10-22,900.0,924.77,950.0
2020-10-29,900.0,924.77,950.0
2020-11-05,900.0,924.77,950.0
2020-11-12,900.0,924.77,950.0
2020-11-19,900.0,924.77,950.0
2020-11-26,900.0,924.77,950.0
2020-12-03,900.0,924.77,950.0
2020-12-10,900.0,924.77,950.0
2020-12-17,900.0,924.77,950.0
2020-12-24,900.0,924.77,950.0
2020-12-31,900.0,924.77,950.0
2021-01-07,900.0,924.77,950.0
2021-01-14,900.0,924.77,950.0
2021-01-21,900.0,924.77,950.0
2021-01-28,900.0,924.77,950.0
2021-02-04,900.0,924.77,950.0
2021-02-11,900.0,924.77,950.0
2021-02-18,900.0,924.77,950.0
2021-02-25,900.0,924.77,950.0
2021-03-04,900.0,924.77,950.0
2021-03-11,900.0,924.77,950.0
2021-03-18,900.0,924.77,950.0
2021-03-25,900.0,924.77,950.0
2021-04-01,950.0,966.38,1000.0
2021-04-08,950.0,966.38,1000.0
2021-04-15,1000.0,1016.4,1050.0
2021-04-22,1000.0,1016.4,1050.0
2021-04-29,1050.0,1050.0,1050.0
2021-05-06,1050.0,1050.0,1050.0
2021-05-20,1050.0,1050.0,1050.0
2021-05-27,1050.0,1050.0,1050.0
2021-06-03,1050.0,1050.0,1050.0
2021-06-10,1050.0,1050.0,1050.0
2021-06-17,1050.0,1050.0,1050.0
2021-06-24,1050.0,1050.0,1050.0
2021-07-01,1050.0,1050.0,1050.0
2021-07-08,1050.0,1050.0,1050.0
2021-07-15,1050.0,1050.0,1050.0
2021-07-29,1050.0,1050.0,1050.0
2021-08-05,1050.0,1050.0,1050.0
2021-08-12,1050.0,1050.0,1050.0
2021-08-26,1050.0,1050.0,1050.0
2021-09-02,1050.0,1050.0,1050.0
2021-09-09,1050.0,1050.0,1050.0
2021-09-16,1050.0,1050.0,1050.0
