Date,Min,Avg,Max
2021-07-29,1100.0,1100.0,1100.0
2021-07-15,1100.0,1100.0,1100.0
2021-07-08,1100.0,1100.0,1100.0
2021-07-01,1100.0,1100.0,1100.0
2021-06-24,1100.0,1100.0,1100.0
2021-06-17,1100.0,1100.0,1100.0
2021-06-10,1100.0,1100.0,1100.0
2021-06-03,1100.0,1100.0,1100.0
2021-05-27,1100.0,1100.0,1100.0
2021-05-20,1000.0,1000.0,1000.0
2021-05-06,1000.0,1000.0,1000.0
2021-04-29,1000.0,1000.0,1000.0
2021-04-22,1000.0,1000.0,1000.0
2021-04-15,1000.0,1000.0,1000.0
2021-04-08,1000.0,1000.0,1000.0
2021-04-01,1000.0,1000.0,1000.0
2021-03-25,1000.0,1000.0,1000.0
2021-03-18,1000.0,1000.0,1000.0
2021-03-11,1000.0,1000.0,1000.0
2021-03-04,1000.0,1000.0,1000.0
2021-02-25,1000.0,1000.0,1000.0
2021-02-18,1000.0,1000.0,1000.0
2021-02-11,1000.0,1000.0,1000.0
2021-02-04,1000.0,1000.0,1000.0
2021-01-28,1000.0,1000.0,1000.0
2021-01-21,1000.0,1000.0,1000.0
2021-01-14,1000.0,1000.0,1000.0
2021-01-07,1000.0,1000.0,1000.0
2020-12-31,1000.0,1000.0,1000.0
2020-12-24,1000.0,1000.0,1000.0
2020-12-17,1000.0,1000.0,1000.0
2020-12-10,1000.0,1000.0,1000.0
2020-12-03,950.0,988.67,1000.0
2020-11-26,950.0,988.67,1000.0
2020-11-19,950.0,955.43,1000.0
2020-11-12,950.0,955.43,1000.0
2020-11-05,950.0,955.43,1000.0
2020-10-29,950.0,955.43,1000.0
2020-10-22,950.0,955.43,1000.0
2020-10-15,950.0,955.43,1000.0
2020-10-08,950.0,955.43,1000.0
2020-10-01,950.0,955.43,1000.0
2020-09-24,950.0,955.43,1000.0
2020-09-17,900.0,938.65,950.0
2020-09-10,900.0,938.65,950.0
2020-09-03,900.0,938.65,950.0
2020-08-27,900.0,938.65,950.0
2020-08-20,900.0,938.65,950.0
2020-08-13,900.0,938.65,950.0
2020-08-06,900.0,938.65,950.0
2020-07-29,900.0,938.65,950.0
2020-07-23,900.0,938.65,950.0
2020-07-16,900.0,921.89,950.0
2020-07-09,900.0,921.89,950.0
2020-07-02,900.0,921.89,950.0
2020-06-25,900.0,921.89,950.0
2020-06-18,900.0,921.89,950.0
2020-06-11,900.0,921.89,950.0
2020-06-04,900.0,921.89,950.0
2020-05-28,900.0,921.89,950.0
2020-05-21,900.0,921.89,950.0
2020-05-14,900.0,921.89,950.0
2020-05-07,900.0,921.89,950.0
2020-04-30,900.0,921.89,950.0
2020-04-23,900.0,921.89,950.0
2020-04-16,900.0,921.89,950.0
2020-04-09,900.0,921.89,950.0
2020-04-02,900.0,921.89,950.0
2020-03-26,900.0,905.42,950.0
2020-03-19,900.0,905.42,950.0
2020-03-12,850.0,883.01,900.0
2020-03-05,850.0,883.01,900.0
2020-02-27,850.0,883.01,900.0
2020-02-20,850.0,883.01,900.0
2020-02-13,850.0,883.01,900.0
2020-02-06,850.0,883.01,900.0
2020-01-30,850.0,883.01,900.0
2020-01-23,850.0,883.01,900.0
2020-01-16,850.0,883.01,900.0
2020-01-09,850.0,871.87,900.0
2020-01-02,850.0,871.87,900.0
2019-12-26,850.0,871.87,900.0
2019-12-19,850.0,871.87,900.0
2019-12-12,850.0,871.87,900.0
2019-12-05,850.0,871.87,900.0
2019-11-28,850.0,871.87,900.0
2019-11-21,850.0,871.87,900.0
2019-11-14,850.0,871.87,900.0
2019-11-07,850.0,871.87,900.0
2019-10-31,850.0,871.87,900.0
2019-10-24,850.0,871.87,900.0
2019-10-17,850.0,871.87,900.0
2019-10-10,850.0,871.87,900.0
2019-10-03,850.0,871.87,900.0
2019-09-26,850.0,871.87,900.0
2019-09-19,850.0,871.87,900.0
2019-09-12,850.0,871.87,900.0
2019-09-05,850.0,871.87,900.0
2021-08-06,1100.0,1100.0,1100.0
2021-08-12,1100.0,1100.0,1100.0
2021-08-26,1100.0,1100.0,1100.0
2021-09-02,1100.0,1100.0,1100.0
2021-09-09,1100.0,1100.0,1100.0
