Date,Min,Avg,Max
2019-09-05,400.0,435.31,450.0
2019-09-12,400.0,435.31,450.0
2019-09-19,400.0,437.0,470.0
2019-09-26,400.0,437.56,470.0
2019-10-03,400.0,439.39,470.0
2019-10-10,400.0,439.39,470.0
2019-10-17,400.0,440.25,470.0
2019-10-24,400.0,440.25,470.0
2019-10-31,400.0,440.25,470.0
2019-11-07,400.0,440.25,470.0
2019-11-14,400.0,440.45,470.0
2019-11-21,400.0,440.45,470.0
2019-11-28,400.0,440.45,470.0
2019-12-05,400.0,440.45,470.0
2019-12-12,400.0,440.45,470.0
2019-12-19,400.0,440.85,470.0
2019-12-26,400.0,440.85,470.0
2020-01-02,400.0,443.16,470.0
2020-01-09,430.0,447.99,470.0
2020-01-16,440.0,453.91,470.0
2020-01-23,440.0,460.06,500.0
2020-01-30,450.0,462.04,500.0
2020-02-06,450.0,462.04,500.0
2020-02-13,450.0,462.04,500.0
2020-02-20,450.0,462.04,500.0
2020-02-27,450.0,462.04,500.0
2020-03-05,450.0,462.04,500.0
2020-03-12,450.0,462.04,500.0
2020-03-19,450.0,462.04,500.0
2020-03-26,450.0,462.04,500.0
2020-04-02,450.0,462.79,500.0
2020-04-09,450.0,462.91,500.0
2020-04-16,450.0,462.91,500.0
2020-04-23,450.0,462.91,500.0
2020-04-30,450.0,463.88,500.0
2020-05-07,450.0,464.48,500.0
2020-05-14,450.0,464.48,500.0
2020-05-21,450.0,464.48,500.0
2020-05-28,450.0,464.48,500.0
2020-06-04,450.0,464.48,500.0
2020-06-11,450.0,465.16,500.0
2020-06-18,450.0,466.33,500.0
2020-06-25,450.0,466.33,500.0
2020-07-02,450.0,466.33,500.0
2020-07-09,450.0,466.33,500.0
2020-07-16,450.0,466.72,500.0
2020-07-23,450.0,466.72,500.0
2020-07-29,450.0,466.72,500.0
2020-08-06,450.0,466.72,500.0
2020-08-13,450.0,466.72,500.0
2020-08-20,450.0,466.72,500.0
2020-08-27,450.0,466.92,500.0
2020-09-03,450.0,466.92,500.0
2020-09-10,450.0,467.19,500.0
2020-09-17,450.0,467.69,500.0
2020-09-24,450.0,467.69,500.0
2020-10-01,450.0,471.31,500.0
2020-10-08,450.0,472.84,500.0
2020-10-15,450.0,475.1,500.0
2020-10-22,450.0,476.3,500.0
2020-10-29,460.0,477.53,500.0
2020-11-05,460.0,478.03,500.0
2020-11-12,460.0,478.18,500.0
2020-11-19,460.0,479.57,500.0
2020-11-26,460.0,479.57,500.0
2020-12-03,460.0,479.63,500.0
2020-12-10,460.0,479.63,500.0
2020-12-17,460.0,480.32,500.0
2020-12-24,460.0,480.49,500.0
2020-12-31,460.0,480.49,500.0
2021-01-07,460.0,480.49,500.0
2021-01-14,460.0,480.49,500.0
2021-01-21,460.0,480.49,500.0
2021-01-28,460.0,480.49,500.0
2021-02-04,470.0,481.37,500.0
2021-02-11,470.0,481.43,500.0
2021-02-18,470.0,481.29,500.0
2021-02-25,470.0,481.67,500.0
2021-03-04,470.0,481.67,500.0
2021-03-11,470.0,481.92,500.0
2021-03-18,470.0,483.37,500.0
2021-03-25,470.0,483.37,500.0
2021-04-01,470.0,483.37,500.0
2021-04-08,470.0,483.37,500.0
2021-04-15,470.0,483.37,500.0
2021-04-22,470.0,483.48,500.0
2021-04-29,470.0,483.48,500.0
2021-05-06,470.0,484.12,500.0
2021-05-20,470.0,487.94,510.0
2021-05-27,480.0,488.18,510.0
2021-06-03,480.0,488.99,510.0
2021-06-10,480.0,488.99,510.0
2021-06-17,480.0,488.99,510.0
2021-06-24,480.0,489.88,510.0
2021-07-01,480.0,490.16,515.0
2021-07-08,480.0,489.81,500.0
2021-07-15,480.0,491.08,500.0
2021-07-29,480.0,492.42,500.0
2021-08-05,480.0,493.3,500.0
2021-08-12,480.0,493.3,500.0
2021-08-26,480.0,493.3,500.0
2021-09-02,480.0,493.3,500.0
2021-09-09,480.0,494.17,500.0
2021-09-16,480.0,495.95,500.0
2021-09-23,480.0,495.95,500.0
2021-09-30,480.0,495.95,500.0
2021-10-07,480.0,495.95,500.0
2021-10-14,480.0,495.95,500.0
2021-10-21,480.0,495.95,500.0
2021-10-28,480.0,495.95,500.0
2021-12-02,480.0,495.95,500.0
2021-11-04,480.0,495.95,500.0
2021-11-11,480.0,495.95,500.0
2021-11-18,480.0,495.95,500.0
