Date,Min,Avg,Max
2019-09-05,450.0,450.0,450.0
2019-09-12,450.0,450.0,450.0
2019-09-19,450.0,450.0,450.0
2019-09-26,460.0,460.0,460.0
2019-10-03,460.0,460.0,460.0
2019-10-10,460.0,460.0,460.0
2019-10-17,460.0,460.0,460.0
2019-10-24,460.0,460.0,460.0
2019-10-31,460.0,460.0,460.0
2019-11-07,460.0,460.0,460.0
2019-11-14,460.0,460.0,460.0
2019-11-21,460.0,460.0,460.0
2019-11-28,460.0,460.0,460.0
2019-12-05,460.0,460.0,460.0
2019-12-12,460.0,460.0,460.0
2019-12-19,460.0,460.0,460.0
2019-12-26,460.0,460.0,460.0
2020-01-02,460.0,460.0,460.0
2020-01-09,460.0,460.0,460.0
2020-01-16,460.0,460.0,460.0
2020-01-23,460.0,460.0,460.0
2020-01-30,460.0,460.0,460.0
2020-02-06,460.0,460.0,460.0
2020-02-13,460.0,460.0,460.0
2020-02-20,460.0,460.0,460.0
2020-02-27,460.0,460.0,460.0
2020-03-05,460.0,460.0,460.0
2020-03-12,460.0,460.0,460.0
2020-03-19,460.0,460.0,460.0
2020-03-26,460.0,460.0,460.0
2020-04-02,460.0,460.0,460.0
2020-04-09,460.0,460.0,460.0
2020-04-16,460.0,460.0,460.0
2020-04-23,460.0,460.0,460.0
2020-04-30,460.0,460.0,460.0
2020-05-07,460.0,460.0,460.0
2020-05-14,460.0,460.0,460.0
2020-05-21,460.0,460.0,460.0
2020-05-28,460.0,460.0,460.0
2020-06-04,460.0,460.0,460.0
2020-06-11,471.62,471.62,471.62
2020-06-18,471.62,471.62,471.62
2020-06-25,471.62,471.62,471.62
2020-07-02,471.62,471.62,471.62
2020-07-09,471.62,471.62,471.62
2020-07-16,471.62,471.62,471.62
2020-07-23,471.62,471.62,471.62
2020-07-29,471.62,471.62,471.62
2020-08-06,471.62,471.62,471.62
2020-08-13,471.62,471.62,471.62
2020-08-20,471.62,471.62,471.62
2020-08-27,471.62,471.62,471.62
2020-09-03,471.62,471.62,471.62
2020-09-10,471.62,471.62,471.62
2020-09-17,471.62,471.62,471.62
2020-09-24,471.62,471.62,471.62
2020-10-01,471.62,471.62,471.62
2020-10-08,471.62,471.62,471.62
2020-10-15,471.62,471.62,471.62
2020-10-22,471.62,471.62,471.62
2020-10-29,471.62,471.62,471.62
2020-11-05,471.62,471.62,471.62
2020-11-12,471.62,471.62,471.62
2020-11-19,471.62,471.62,471.62
2020-11-26,471.62,471.62,471.62
2020-12-03,471.62,471.62,471.62
2020-12-10,471.62,471.62,471.62
2020-12-17,480.0,480.0,480.0
2020-12-24,480.0,480.0,480.0
2020-12-31,480.0,480.0,480.0
2021-01-07,480.0,480.0,480.0
2021-01-14,480.0,480.0,480.0
2021-01-21,480.0,480.0,480.0
2021-01-28,480.0,480.0,480.0
2021-02-04,490.0,490.0,490.0
2021-02-11,490.0,490.0,490.0
2021-02-18,490.0,490.0,490.0
2021-02-25,490.0,490.0,490.0
2021-03-04,490.0,490.0,490.0
2021-03-11,490.0,490.0,490.0
2021-03-18,490.0,490.0,490.0
2021-03-25,490.0,490.0,490.0
2021-04-01,490.0,490.0,490.0
2021-04-08,490.0,490.0,490.0
2021-04-15,490.0,490.0,490.0
2021-04-22,490.0,490.0,490.0
2021-04-29,490.0,490.0,490.0
2021-05-06,490.0,490.0,490.0
2021-05-20,490.0,490.0,490.0
2021-05-27,490.0,490.0,490.0
2021-06-03,490.0,490.0,490.0
2021-06-10,490.0,490.0,490.0
2021-06-17,490.0,490.0,490.0
2021-06-24,490.0,490.0,490.0
2021-07-01,490.0,490.0,490.0
2021-07-08,490.0,490.0,490.0
2021-07-15,490.0,490.0,490.0
2021-07-29,490.0,490.0,490.0
2021-08-05,490.0,490.0,490.0
2021-08-12,490.0,490.0,490.0
2021-08-26,490.0,490.0,490.0
2021-09-02,490.0,490.0,490.0
2021-09-09,490.0,490.0,490.0
2021-09-16,490.0,490.0,490.0
2021-09-23,490.0,490.0,490.0
2021-09-30,490.0,490.0,490.0
2021-10-07,490.0,490.0,490.0
2021-10-14,490.0,490.0,490.0
2021-10-21,490.0,490.0,490.0
2021-10-28,490.0,490.0,490.0
