Date,Min,Avg,Max
2019-09-05,80.0,94.77,100.0
2019-09-12,90.0,97.17,120.0
2019-09-19,90.0,97.17,120.0
2019-09-26,90.0,94.04,100.0
2019-10-03,80.0,94.77,100.0
2019-10-10,80.0,94.77,100.0
2019-10-17,80.0,94.77,100.0
2019-10-24,80.0,94.77,100.0
2019-10-31,90.0,96.55,100.0
2019-11-07,90.0,99.68,120.0
2019-11-14,100.0,102.34,120.0
2019-11-21,90.0,98.89,120.0
2019-11-28,80.0,93.84,100.0
2019-12-05,80.0,93.84,100.0
2019-12-12,80.0,91.31,100.0
2019-12-19,80.0,87.3,100.0
2019-12-26,80.0,89.72,100.0
2020-01-02,80.0,82.31,100.0
2020-01-09,80.0,82.31,100.0
2020-01-16,70.0,79.01,90.0
2020-01-23,70.0,77.09,100.0
2020-01-30,60.0,70.33,90.0
2020-02-06,70.0,77.27,90.0
2020-02-13,70.0,73.19,80.0
2020-02-20,80.0,90.61,100.0
2020-02-27,80.0,90.61,100.0
2020-03-05,80.0,95.53,110.0
2020-03-12,80.0,95.53,110.0
2020-03-19,70.0,87.86,100.0
2020-03-26,80.0,92.93,100.0
2020-04-02,80.0,92.93,100.0
2020-04-09,60.0,72.13,80.0
2020-04-16,50.0,59.15,70.0
2020-04-23,60.0,66.71,80.0
2020-04-30,60.0,64.81,70.0
2020-05-07,50.0,57.06,70.0
2020-05-14,45.0,54.17,70.0
2020-05-21,45.0,54.17,70.0
2020-05-28,45.0,54.17,70.0
2020-06-04,40.0,50.92,60.0
2020-06-11,40.0,46.56,60.0
2020-06-18,40.0,46.56,60.0
2020-06-25,40.0,46.56,60.0
2020-07-02,40.0,46.56,60.0
2020-07-09,40.0,52.83,70.0
2020-07-16,50.0,56.33,70.0
2020-07-23,50.0,56.33,70.0
2020-07-29,50.0,57.33,60.0
2020-08-06,60.0,60.78,70.0
2020-08-13,60.0,60.78,70.0
2020-08-20,60.0,60.78,70.0
2020-08-27,60.0,60.78,70.0
2020-09-03,60.0,65.65,70.0
2020-09-10,60.0,71.45,80.0
2020-09-17,70.0,72.38,80.0
2020-09-24,70.0,74.01,80.0
2020-10-01,80.0,83.2,90.0
2020-10-08,90.0,96.55,100.0
2020-10-15,90.0,96.55,100.0
2020-10-22,80.0,82.39,90.0
2020-10-29,80.0,82.39,90.0
2020-11-05,90.0,94.04,100.0
2020-11-12,80.0,88.94,100.0
2020-11-19,80.0,85.6,100.0
2020-11-26,80.0,85.6,100.0
2020-12-03,80.0,83.12,100.0
2020-12-10,70.0,76.52,80.0
2020-12-17,60.0,67.87,80.0
2020-12-24,50.0,61.71,80.0
2020-12-31,50.0,61.71,80.0
2021-01-07,50.0,59.48,80.0
2021-01-14,50.0,58.82,70.0
2021-01-21,50.0,57.19,70.0
2021-01-28,50.0,54.77,60.0
2021-02-04,50.0,54.77,60.0
2021-02-11,50.0,54.77,60.0
2021-02-18,50.0,54.77,60.0
2021-02-25,50.0,51.54,60.0
2021-03-04,50.0,56.46,60.0
2021-03-11,50.0,53.95,60.0
2021-03-18,50.0,53.95,60.0
2021-03-25,50.0,51.54,60.0
2021-04-01,50.0,51.54,60.0
2021-04-08,50.0,51.54,60.0
2021-04-15,50.0,51.54,60.0
2021-04-22,40.0,47.85,60.0
2021-04-29,40.0,47.85,60.0
2021-05-06,40.0,47.85,60.0
2021-05-20,40.0,47.13,60.0
2021-05-27,40.0,47.13,60.0
2021-06-03,40.0,45.56,50.0
2021-06-10,40.0,43.09,50.0
2021-06-17,40.0,43.09,50.0
2021-06-24,40.0,49.66,60.0
2021-07-01,50.0,56.46,60.0
2021-07-08,50.0,56.46,60.0
2021-07-15,50.0,58.96,70.0
2021-07-29,50.0,58.96,70.0
2021-08-05,50.0,58.96,70.0
2021-08-12,50.0,56.33,70.0
2021-08-26,60.0,66.24,80.0
2021-09-02,70.0,71.99,80.0
2021-09-09,80.0,82.39,90.0
2021-09-16,70.0,76.52,80.0
2021-09-23,60.0,72.13,80.0
2021-09-30,60.0,72.13,80.0
2021-10-07,60.0,72.13,80.0
2021-10-14,60.0,72.13,80.0
2021-10-21,60.0,72.13,80.0
2021-10-28,60.0,72.13,80.0
