Date,Min,Avg,Max
2019-09-05,60.0,66.54,70.0
2019-09-12,70.0,77.7,80.0
2019-09-19,80.0,80.0,80.0
2019-09-26,80.0,80.0,80.0
2019-10-03,70.0,78.82,80.0
2019-10-10,70.0,77.66,80.0
2019-10-17,70.0,78.82,80.0
2019-10-24,70.0,77.66,80.0
2019-10-31,70.0,77.66,80.0
2019-11-07,70.0,78.82,80.0
2019-11-14,70.0,84.15,90.0
2019-11-21,80.0,80.0,80.0
2019-11-28,70.0,72.11,80.0
2019-12-05,70.0,71.05,80.0
2019-12-12,60.0,61.58,70.0
2019-12-19,60.0,63.73,70.0
2019-12-26,50.0,61.9,70.0
2020-01-02,50.0,58.8,60.0
2020-01-09,50.0,58.8,60.0
2020-01-16,50.0,60.85,70.0
2020-01-23,50.0,57.62,60.0
2020-01-30,40.0,46.42,50.0
2020-02-06,40.0,48.09,55.0
2020-02-13,50.0,50.0,50.0
2020-02-20,60.0,63.21,70.0
2020-02-27,60.0,63.21,70.0
2020-03-05,60.0,67.64,70.0
2020-03-12,70.0,72.11,80.0
2020-03-19,60.0,60.0,60.0
2020-03-26,60.0,60.0,60.0
2020-04-02,60.0,60.0,60.0
2020-04-09,40.0,48.34,60.0
2020-04-16,40.0,44.23,50.0
2020-04-23,40.0,48.78,50.0
2020-04-30,40.0,42.59,50.0
2020-05-07,30.0,38.52,45.0
2020-05-14,30.0,31.51,40.0
2020-05-21,30.0,30.0,30.0
2020-05-28,30.0,30.0,30.0
2020-06-04,20.0,28.1,30.0
2020-06-11,20.0,28.68,30.0
2020-06-18,20.0,28.68,30.0
2020-06-25,30.0,30.0,30.0
2020-07-02,30.0,30.0,30.0
2020-07-09,40.0,40.0,40.0
2020-07-16,40.0,40.0,40.0
2020-07-23,35.0,39.41,40.0
2020-07-29,30.0,38.17,40.0
2020-08-06,30.0,38.17,40.0
2020-08-13,30.0,38.17,40.0
2020-08-20,35.0,39.41,40.0
2020-08-27,30.0,38.17,40.0
2020-09-03,40.0,40.0,40.0
2020-09-10,40.0,40.0,40.0
2020-09-17,40.0,41.6,45.0
2020-09-24,45.0,49.42,50.0
2020-10-01,60.0,69.84,80.0
2020-10-08,80.0,80.0,80.0
2020-10-15,70.0,73.19,80.0
2020-10-22,70.0,73.19,80.0
2020-10-29,80.0,80.0,80.0
2020-11-05,80.0,80.0,80.0
2020-11-12,80.0,80.0,80.0
2020-11-19,70.0,75.39,80.0
2020-11-26,60.0,64.83,70.0
2020-12-03,60.0,60.54,65.0
2020-12-10,50.0,55.92,60.0
2020-12-17,40.0,48.78,50.0
2020-12-24,40.0,46.42,50.0
2020-12-31,40.0,44.17,50.0
2021-01-07,40.0,43.09,50.0
2021-01-14,40.0,40.0,40.0
2021-01-21,30.0,38.17,40.0
2021-01-28,30.0,36.34,40.0
2021-02-04,30.0,36.34,40.0
2021-02-11,30.0,35.2,40.0
2021-02-18,30.0,35.2,40.0
2021-02-25,30.0,36.34,40.0
2021-03-04,30.0,35.2,40.0
2021-03-11,30.0,33.02,40.0
2021-03-18,30.0,30.97,40.0
2021-03-25,30.0,30.0,30.0
2021-04-01,30.0,30.0,30.0
2021-04-08,30.0,30.0,30.0
2021-04-15,25.0,29.4,30.0
2021-04-22,20.0,26.33,30.0
2021-04-29,20.0,22.89,30.0
2021-05-06,20.0,21.89,30.0
2021-05-20,20.0,26.21,30.0
2021-05-27,20.0,22.89,30.0
2021-06-03,20.0,22.44,30.0
2021-06-10,30.0,30.0,30.0
2021-06-17,30.0,30.0,30.0
2021-06-24,30.0,33.02,40.0
2021-07-01,40.0,40.0,40.0
2021-07-08,40.0,42.03,50.0
2021-07-15,40.0,44.17,50.0
2021-07-29,40.0,44.17,50.0
2021-08-05,40.0,42.03,50.0
2021-08-12,40.0,40.0,40.0
2021-08-26,40.0,45.28,50.0
2021-09-02,40.0,47.58,50.0
2021-09-09,50.0,57.62,60.0
2021-09-16,60.0,60.0,60.0
2021-09-23,50.0,58.8,60.0
2021-09-30,50.0,58.8,60.0
2021-10-07,50.0,58.8,60.0
