Date,Min,Avg,Max
2019-09-05,40.0,45.61,50.0
2019-09-12,55.0,59.86,65.0
2019-09-19,55.0,59.86,65.0
2019-09-26,60.0,64.87,70.0
2019-10-03,50.0,54.85,60.0
2019-10-10,55.0,59.86,65.0
2019-10-17,60.0,64.87,70.0
2019-10-24,60.0,64.87,70.0
2019-10-31,60.0,64.87,70.0
2019-11-07,70.0,74.89,80.0
2019-11-14,70.0,74.89,80.0
2019-11-21,70.0,74.89,80.0
2019-11-28,75.0,79.9,85.0
2019-12-05,70.0,74.89,80.0
2019-12-12,70.0,74.89,80.0
2019-12-19,60.0,69.52,80.0
2019-12-26,70.0,74.89,80.0
2020-01-02,70.0,74.89,80.0
2020-01-09,70.0,74.89,80.0
2020-01-16,70.0,74.89,80.0
2020-01-23,70.0,74.89,80.0
2020-01-30,60.0,64.87,70.0
2020-02-06,60.0,64.87,70.0
2020-02-13,60.0,64.87,70.0
2020-02-20,60.0,64.87,70.0
2020-02-27,60.0,64.87,70.0
2020-03-05,60.0,64.87,70.0
2020-03-12,70.0,74.89,80.0
2020-03-19,70.0,74.89,80.0
2020-03-26,70.0,74.89,80.0
2020-04-02,70.0,74.89,80.0
2020-04-09,60.0,64.87,70.0
2020-04-16,50.0,54.85,60.0
2020-04-23,50.0,54.85,60.0
2020-04-30,55.0,59.86,65.0
2020-05-07,50.0,54.85,60.0
2020-05-14,55.0,62.32,70.0
2020-05-21,45.0,52.28,60.0
2020-05-28,40.0,44.81,50.0
2020-06-04,45.0,49.83,55.0
2020-06-11,30.0,34.76,40.0
2020-06-18,30.0,34.76,40.0
2020-06-25,30.0,34.76,40.0
2020-07-02,30.0,34.76,40.0
2020-07-09,30.0,34.76,40.0
2020-07-16,30.0,34.76,40.0
2020-07-23,30.0,34.76,40.0
2020-07-29,30.0,34.76,40.0
2020-08-06,30.0,34.76,40.0
2020-08-13,30.0,34.76,40.0
2020-08-20,30.0,34.76,40.0
2020-08-27,40.0,44.81,50.0
2020-09-03,30.0,34.76,40.0
2020-09-10,30.0,34.76,40.0
2020-09-17,30.0,34.76,40.0
2020-09-24,40.0,44.81,50.0
2020-10-01,45.0,49.83,55.0
2020-10-08,55.0,59.86,65.0
2020-10-15,50.0,57.3,65.0
2020-10-22,60.0,64.87,70.0
2020-10-29,60.0,64.87,70.0
2020-11-05,60.0,64.87,70.0
2020-11-12,70.0,74.89,80.0
2020-11-19,70.0,74.89,80.0
2020-11-26,70.0,74.89,80.0
2020-12-03,70.0,74.89,80.0
2020-12-10,50.0,54.85,60.0
2020-12-17,50.0,54.85,60.0
2020-12-24,50.0,54.85,60.0
2020-12-31,50.0,54.85,60.0
2021-01-07,40.0,49.58,60.0
2021-01-14,40.0,44.81,50.0
2021-01-21,40.0,44.81,50.0
2021-01-28,40.0,44.81,50.0
2021-02-04,40.0,44.81,50.0
2021-02-11,40.0,44.81,50.0
2021-02-18,40.0,44.81,50.0
2021-02-25,40.0,44.81,50.0
2021-03-04,40.0,44.81,50.0
2021-03-11,40.0,44.81,50.0
2021-03-18,40.0,44.81,50.0
2021-03-25,30.0,34.76,40.0
2021-04-01,30.0,34.76,40.0
2021-04-08,30.0,34.76,40.0
2021-04-15,30.0,34.76,40.0
2021-04-22,30.0,34.76,40.0
2021-04-29,30.0,34.76,40.0
2021-05-06,30.0,34.76,40.0
2021-05-20,30.0,34.76,40.0
2021-05-27,30.0,34.76,40.0
2021-06-03,30.0,34.76,40.0
2021-06-10,30.0,34.76,40.0
2021-06-17,30.0,34.76,40.0
2021-06-24,30.0,34.76,40.0
2021-07-01,30.0,34.76,40.0
2021-07-08,40.0,44.81,50.0
2021-07-15,40.0,44.81,50.0
2021-07-29,40.0,44.81,50.0
2021-08-05,40.0,44.81,50.0
2021-08-12,40.0,44.81,50.0
2021-08-26,30.0,34.76,40.0
2021-09-02,40.0,44.81,50.0
2021-09-09,50.0,54.85,60.0
2021-09-16,50.0,54.85,60.0
2021-09-23,50.0,54.85,60.0
2021-09-30,50.0,54.85,60.0
2021-10-07,50.0,54.85,60.0
2021-10-14,50.0,54.85,60.0
2021-10-21,50.0,54.85,60.0
2021-10-28,50.0,54.85,60.0
2021-12-02,50.0,54.85,60.0
