Date,Min,Avg,Max
2019-09-05,116.0,116.0,116.0
2019-09-12,116.0,116.0,116.0
2019-09-19,116.0,116.0,116.0
2019-09-26,116.0,116.0,116.0
2019-10-03,116.0,116.0,116.0
2019-10-10,116.0,116.0,116.0
2019-10-17,116.0,116.0,116.0
2019-10-24,116.0,116.0,116.0
2019-10-31,116.0,116.0,116.0
2019-11-07,116.9,116.9,116.9
2019-11-14,116.9,116.9,116.9
2019-11-21,116.9,116.9,116.9
2019-11-28,116.9,116.9,116.9
2019-12-05,116.7,116.7,116.7
2019-12-12,116.7,116.7,116.7
2019-12-19,116.7,116.7,116.7
2019-12-26,116.7,116.7,116.7
2020-01-02,119.3,119.3,119.3
2020-01-09,119.3,119.3,119.3
2020-01-16,119.3,119.3,119.3
2020-01-23,119.3,119.3,119.3
2020-01-30,119.3,119.3,119.3
2020-02-06,119.3,119.3,119.3
2020-02-13,119.3,119.3,119.3
2020-02-20,119.3,119.3,119.3
2020-02-27,119.3,119.3,119.3
2020-03-05,114.3,114.3,114.3
2020-03-12,114.3,114.3,114.3
2020-03-19,114.3,114.3,114.3
2020-03-26,99.3,99.3,99.3
2020-04-02,99.3,99.3,99.3
2020-04-09,99.3,99.3,99.3
2020-04-16,99.3,99.3,99.3
2020-04-23,99.3,99.3,99.3
2020-04-30,99.3,99.3,99.3
2020-05-07,84.3,84.3,84.3
2020-05-14,84.3,84.3,84.3
2020-05-21,84.3,84.3,84.3
2020-05-28,84.3,84.3,84.3
2020-06-04,77.2,77.2,77.2
2020-06-11,77.2,77.2,77.2
2020-06-18,77.2,77.2,77.2
2020-06-25,77.2,77.2,77.2
2020-07-02,102.6,102.6,102.6
2020-07-09,102.6,102.6,102.6
2020-07-16,102.6,102.6,102.6
2020-07-23,102.6,102.6,102.6
2020-07-29,102.6,102.6,102.6
2020-08-06,106.8,106.8,106.8
2020-08-13,106.8,106.8,106.8
2020-08-20,106.8,106.8,106.8
2020-08-27,106.8,106.8,106.8
2020-09-03,106.8,106.8,106.8
2020-09-10,106.8,106.8,106.8
2020-09-17,106.8,106.8,106.8
2020-09-24,106.8,106.8,106.8
2020-10-01,106.8,106.8,106.8
2020-10-08,106.8,106.8,106.8
2020-10-15,106.8,106.8,106.8
2020-10-22,106.8,106.8,106.8
2020-10-29,106.8,106.8,106.8
2020-11-05,105.2,105.2,105.2
2020-11-12,105.2,105.2,105.2
2020-11-19,103.5,103.5,103.5
2020-11-26,103.5,103.5,103.5
2020-12-03,103.5,103.5,103.5
2020-12-10,103.5,103.5,103.5
2020-12-17,106.5,106.6,106.8
2020-12-24,106.5,106.6,106.8
2020-12-31,106.5,106.6,106.8
2021-01-07,108.8,108.8,108.8
2021-01-14,108.8,108.8,108.8
2021-01-21,112.0,112.0,112.0
2021-01-28,112.0,112.0,112.0
2021-02-04,114.7,114.7,114.7
2021-02-11,114.7,114.7,114.7
2021-02-18,114.7,114.7,114.7
2021-02-25,114.7,114.7,114.7
2021-03-04,114.7,114.7,114.7
2021-03-11,114.7,114.7,114.7
2021-03-18,114.7,114.7,114.7
2021-03-25,114.7,114.7,114.7
2021-04-01,113.0,113.13,113.2
2021-04-08,113.0,113.13,113.2
2021-04-15,113.0,113.13,113.2
2021-04-22,111.4,111.4,111.4
2021-04-29,111.4,111.4,111.4
2021-05-06,111.4,111.4,111.4
2021-05-20,111.4,111.4,111.4
2021-05-27,111.4,111.4,111.4
2021-06-03,111.4,111.4,111.4
2021-06-10,111.4,111.4,111.4
2021-06-17,113.5,113.5,113.5
2021-06-24,113.5,113.5,113.5
2021-07-01,115.5,115.5,115.5
2021-07-08,115.5,115.5,115.5
2021-07-15,115.5,115.5,115.5
2021-07-29,120.9,120.9,120.9
2021-08-05,122.57,122.57,122.57
2021-08-12,122.57,122.57,122.57
2021-08-26,122.57,122.57,122.57
2021-09-02,121.07,121.07,121.07
2021-09-09,121.07,121.07,121.07
2021-09-16,126.07,126.07,126.07
2021-09-23,126.07,126.07,126.07
2021-09-30,126.07,126.07,126.07
2021-10-07,126.07,126.07,126.07
