Date,Min,Avg,Max
2019-09-05,113.9,113.9,113.9
2019-09-12,113.9,113.9,113.9
2019-09-19,113.9,113.9,113.9
2019-09-26,113.9,113.9,113.9
2019-10-03,113.9,113.9,113.9
2019-10-10,113.9,113.9,113.9
2019-10-17,113.9,113.9,113.9
2019-10-24,113.9,113.9,113.9
2019-10-31,113.9,113.9,113.9
2019-11-07,114.9,114.9,114.9
2019-11-14,114.9,114.9,114.9
2019-11-21,114.9,114.9,114.9
2019-11-28,114.9,114.9,114.9
2019-12-05,114.6,114.6,114.6
2019-12-12,114.6,114.6,114.6
2019-12-19,114.6,114.6,114.6
2019-12-26,114.6,114.6,114.6
2020-01-02,117.2,117.2,117.2
2020-01-09,117.2,117.2,117.2
2020-01-16,117.2,117.2,117.2
2020-01-23,117.2,117.2,117.2
2020-01-30,117.2,117.2,117.2
2020-02-06,117.2,117.2,117.2
2020-02-13,117.2,117.2,117.2
2020-02-20,117.2,117.2,117.2
2020-02-27,117.2,117.2,117.2
2020-03-05,112.2,112.2,112.2
2020-03-12,112.2,112.2,112.2
2020-03-19,112.2,112.2,112.2
2020-03-26,97.2,97.2,97.2
2020-04-02,97.2,97.2,97.2
2020-04-09,97.2,97.2,97.2
2020-04-16,97.2,97.2,97.2
2020-04-23,97.2,97.2,97.2
2020-04-30,97.2,97.2,97.2
2020-05-07,82.2,82.2,82.2
2020-05-14,82.2,82.2,82.2
2020-05-21,82.2,82.2,82.2
2020-05-28,82.2,82.2,82.2
2020-06-04,75.07,75.07,75.07
2020-06-11,75.07,75.07,75.07
2020-06-18,75.07,75.07,75.07
2020-06-25,75.07,75.07,75.07
2020-07-02,100.6,100.6,100.6
2020-07-09,100.6,100.6,100.6
2020-07-16,100.6,100.6,100.6
2020-07-23,100.6,100.6,100.6
2020-07-29,100.6,100.6,100.6
2020-08-06,104.6,104.6,104.6
2020-08-13,104.6,104.6,104.6
2020-08-20,104.6,104.6,104.6
2020-08-27,104.6,104.6,104.6
2020-09-03,104.6,104.6,104.6
2020-09-10,104.6,104.6,104.6
2020-09-17,104.6,104.6,104.6
2020-09-24,104.6,104.6,104.6
2020-10-01,104.6,104.6,104.6
2020-10-08,104.6,104.6,104.6
2020-10-15,104.6,104.6,104.6
2020-10-22,104.6,104.6,104.6
2020-10-29,104.6,104.6,104.6
2020-11-05,103.1,103.1,103.1
2020-11-12,103.1,103.1,103.1
2020-11-19,101.4,101.4,101.4
2020-11-26,101.4,101.4,101.4
2020-12-03,101.4,101.4,101.4
2020-12-10,101.4,101.4,101.4
2020-12-17,104.4,104.4,104.4
2020-12-24,104.4,104.4,104.4
2020-12-31,104.4,104.4,104.4
2021-01-07,106.67,106.67,106.67
2021-01-14,106.67,106.67,106.67
2021-01-21,109.9,109.9,109.9
2021-01-28,109.9,109.9,109.9
2021-02-04,112.6,112.6,112.6
2021-02-11,112.6,112.6,112.6
2021-02-18,112.6,112.6,112.6
2021-02-25,112.6,112.6,112.6
2021-03-04,112.6,112.6,112.6
2021-03-11,112.6,112.6,112.6
2021-03-18,112.6,112.6,112.6
2021-03-25,112.6,112.6,112.6
2021-04-01,111.4,111.4,111.4
2021-04-08,111.4,111.4,111.4
2021-04-15,111.4,111.4,111.4
2021-04-22,109.24,109.24,109.24
2021-04-29,109.24,109.24,109.24
2021-05-06,109.24,109.24,109.24
2021-05-20,109.24,109.24,109.24
2021-05-27,109.24,109.24,109.24
2021-06-03,109.24,109.24,109.24
2021-06-10,109.24,109.24,109.24
2021-06-17,111.37,111.37,111.37
2021-06-24,111.37,111.37,111.37
2021-07-01,113.37,113.37,113.37
2021-07-08,113.37,113.37,113.37
2021-07-15,113.37,113.37,113.37
2021-07-29,118.74,118.74,118.74
2021-08-05,120.45,120.45,120.45
2021-08-12,120.45,120.45,120.45
2021-08-26,120.45,120.45,120.45
2021-09-02,118.95,118.95,118.95
2021-09-09,118.95,118.95,118.95
2021-09-16,123.95,123.95,123.95
2021-09-23,123.95,123.95,123.95
2021-09-30,123.95,123.95,123.95
2021-10-07,123.95,123.95,123.95
2021-10-14,123.95,123.95,123.95
2021-10-21,123.95,123.95,123.95
2021-10-28,123.95,123.95,123.95
2021-12-02,123.95,123.95,123.95
2021-11-04,123.95,123.95,123.95
2021-11-11,123.95,123.95,123.95
2021-11-18,123.95,123.95,123.95
2021-11-25,123.95,123.95,123.95
