Date,Min,Avg,Max
2021-07-29,50.0,53.13,60.0
2021-07-15,50.0,53.13,60.0
2021-07-08,50.0,53.13,60.0
2021-07-01,50.0,53.13,60.0
2021-06-24,50.0,53.13,60.0
2021-06-17,50.0,53.13,60.0
2021-06-10,50.0,50.0,50.0
2021-06-03,60.0,60.0,60.0
2021-05-27,50.0,56.46,60.0
2021-05-20,50.0,56.46,60.0
2021-05-06,50.0,56.46,60.0
2021-04-29,50.0,53.13,60.0
2021-04-22,50.0,50.0,50.0
2021-04-15,50.0,50.0,50.0
2021-04-08,40.0,43.09,50.0
2021-04-01,40.0,40.0,40.0
2021-03-25,40.0,40.0,40.0
2021-03-18,40.0,40.0,40.0
2021-03-11,40.0,40.0,40.0
2021-03-04,40.0,40.0,40.0
2021-02-25,40.0,40.0,40.0
2021-02-18,40.0,40.0,40.0
2021-02-11,40.0,43.09,50.0
2021-02-04,40.0,43.09,50.0
2021-01-28,40.0,43.09,50.0
2021-01-21,40.0,43.09,50.0
2021-01-14,40.0,43.09,50.0
2021-01-07,40.0,43.09,50.0
2020-12-31,50.0,50.0,50.0
2020-12-24,50.0,50.0,50.0
2020-12-17,60.0,60.0,60.0
2020-12-10,70.0,76.52,80.0
2020-12-03,80.0,80.0,80.0
2020-11-26,90.0,99.06,120.0
2020-11-19,90.0,101.74,130.0
2020-11-12,80.0,92.83,100.0
2020-11-05,80.0,92.83,100.0
2020-10-29,80.0,95.83,110.0
2020-10-22,70.0,85.73,100.0
2020-10-15,70.0,88.79,100.0
2020-10-08,80.0,92.83,100.0
2020-10-01,80.0,89.63,100.0
2020-09-24,70.0,82.77,90.0
2020-09-17,70.0,82.77,90.0
2020-09-10,80.0,92.83,100.0
2020-09-03,80.0,92.83,100.0
2020-08-27,80.0,92.83,100.0
2020-08-20,80.0,92.83,100.0
2020-08-13,60.0,72.68,80.0
2020-08-06,70.0,88.79,100.0
2020-07-29,70.0,88.79,100.0
2020-07-23,70.0,85.73,100.0
2020-07-16,70.0,85.73,100.0
2020-07-09,60.0,75.6,90.0
2020-07-02,70.0,76.52,80.0
2020-06-25,60.0,72.68,80.0
2020-06-18,60.0,66.49,70.0
2020-06-11,60.0,63.16,70.0
2020-06-04,60.0,60.0,60.0
2020-05-28,60.0,60.0,60.0
2020-05-21,60.0,63.16,70.0
2020-05-14,60.0,63.16,70.0
2020-05-07,60.0,60.0,60.0
2020-04-30,60.0,60.0,60.0
2020-04-23,50.0,53.13,60.0
2020-04-16,40.0,43.09,50.0
2020-04-09,40.0,43.09,50.0
2020-04-02,40.0,46.42,50.0
2020-03-26,50.0,50.0,50.0
2020-03-19,50.0,50.0,50.0
2020-03-12,50.0,50.0,50.0
2020-03-05,40.0,43.09,50.0
2020-02-27,40.0,40.0,40.0
2020-02-20,40.0,40.0,40.0
2020-02-13,40.0,40.0,40.0
2020-02-06,40.0,40.0,40.0
2020-01-30,40.0,46.42,50.0
2020-01-23,50.0,50.0,50.0
2020-01-16,50.0,50.0,50.0
2020-01-09,50.0,50.0,50.0
2020-01-02,40.0,46.42,50.0
2019-12-26,40.0,46.42,50.0
2019-12-19,40.0,52.41,60.0
2019-12-12,40.0,52.41,60.0
2019-12-05,50.0,56.46,60.0
2019-11-28,50.0,68.4,80.0
2019-11-21,50.0,68.4,80.0
2019-11-14,50.0,68.4,80.0
2019-11-07,50.0,68.4,80.0
2019-10-31,50.0,68.4,80.0
2019-10-24,50.0,68.4,80.0
2019-10-17,50.0,68.4,80.0
2019-10-10,50.0,68.4,80.0
2019-10-03,40.0,63.5,80.0
2019-09-26,40.0,63.5,80.0
2019-09-19,40.0,63.5,80.0
2019-09-12,40.0,60.73,80.0
2019-09-05,40.0,60.73,80.0
2021-08-06,50.0,53.13,60.0
2021-08-12,50.0,53.13,60.0
