Date,Min,Avg,Max
2021-07-29,30.0,37.29,40.0
2021-07-15,30.0,37.29,40.0
2021-07-08,30.0,37.29,40.0
2021-07-01,30.0,37.29,40.0
2021-06-24,30.0,37.71,40.0
2021-06-17,30.0,37.71,40.0
2021-06-10,30.0,37.71,40.0
2021-06-03,30.0,37.71,40.0
2021-05-27,30.0,36.88,40.0
2021-05-20,30.0,35.48,40.0
2021-05-06,30.0,36.81,40.0
2021-04-29,30.0,36.81,40.0
2021-04-22,30.0,36.81,40.0
2021-04-15,30.0,32.82,35.0
2021-04-08,30.0,31.18,35.0
2021-04-01,30.0,31.18,35.0
2021-03-25,25.0,29.1,30.0
2021-03-18,30.0,31.47,40.0
2021-03-11,30.0,31.47,40.0
2021-03-04,30.0,30.0,30.0
2021-02-25,30.0,30.0,30.0
2021-02-18,30.0,30.0,30.0
2021-02-11,30.0,30.0,30.0
2021-02-04,30.0,30.73,40.0
2021-01-28,30.0,30.73,40.0
2021-01-21,30.0,31.47,40.0
2021-01-14,30.0,31.47,40.0
2021-01-07,30.0,32.24,40.0
2020-12-31,30.0,32.24,40.0
2020-12-24,35.0,38.69,40.0
2020-12-17,40.0,47.29,50.0
2020-12-10,60.0,60.0,60.0
2020-12-03,60.0,69.76,80.0
2020-11-26,60.0,60.0,60.0
2020-11-19,60.0,60.0,60.0
2020-11-12,60.0,60.0,60.0
2020-11-05,60.0,60.0,60.0
2020-10-29,50.0,51.54,60.0
2020-10-22,50.0,51.54,60.0
2020-10-15,50.0,51.54,60.0
2020-10-08,50.0,54.77,60.0
2020-10-01,50.0,54.77,60.0
2020-09-24,50.0,54.77,60.0
2020-09-17,50.0,54.77,60.0
2020-09-10,50.0,54.77,60.0
2020-09-03,50.0,56.46,60.0
2020-08-27,50.0,53.95,60.0
2020-08-20,50.0,53.95,60.0
2020-08-13,50.0,53.95,60.0
2020-08-06,50.0,53.13,60.0
2020-07-29,50.0,50.0,50.0
2020-07-23,50.0,50.0,50.0
2020-07-16,50.0,50.0,50.0
2020-07-09,50.0,50.0,50.0
2020-07-02,40.0,48.17,50.0
2020-06-25,40.0,47.29,50.0
2020-06-18,50.0,51.54,60.0
2020-06-11,50.0,50.0,50.0
2020-06-04,50.0,50.0,50.0
2020-05-28,50.0,50.0,50.0
2020-05-21,50.0,50.0,50.0
2020-05-14,40.0,49.08,50.0
2020-05-07,40.0,49.08,50.0
2020-04-30,40.0,44.72,50.0
2020-04-23,40.0,44.72,50.0
2020-04-16,40.0,40.0,40.0
2020-04-09,40.0,40.0,40.0
2020-04-02,40.0,40.0,40.0
2020-03-26,40.0,40.0,40.0
2020-03-19,40.0,40.0,40.0
2020-03-12,40.0,40.0,40.0
2020-03-05,35.0,38.26,40.0
2020-02-27,30.0,33.56,40.0
2020-02-20,30.0,37.29,40.0
2020-02-13,30.0,37.29,40.0
2020-02-06,40.0,40.0,40.0
2020-01-30,40.0,40.0,40.0
2020-01-23,40.0,40.0,40.0
2020-01-16,40.0,40.0,40.0
2020-01-09,40.0,40.0,40.0
2020-01-02,40.0,41.52,50.0
2019-12-26,40.0,41.52,50.0
2019-12-19,40.0,41.52,50.0
2019-12-12,40.0,41.52,50.0
2019-12-05,30.0,30.78,35.0
2019-11-28,30.0,30.78,35.0
2019-11-21,30.0,31.58,35.0
2019-11-14,30.0,36.34,40.0
2019-11-07,30.0,36.34,40.0
2019-10-31,30.0,36.34,40.0
2019-10-24,30.0,37.22,40.0
2019-10-17,30.0,37.22,40.0
2019-10-10,30.0,37.22,40.0
2019-10-03,40.0,40.0,40.0
2019-09-26,30.0,38.13,40.0
2019-09-19,40.0,40.0,40.0
2019-09-12,40.0,40.0,40.0
2019-09-05,40.0,40.0,40.0
2021-08-06,30.0,36.81,40.0
