Date,Min,Avg,Max
2021-07-29,50.0,52.07,60.0
2021-07-15,50.0,53.13,60.0
2021-07-08,50.0,53.13,60.0
2021-07-01,50.0,52.07,60.0
2021-06-24,50.0,52.07,60.0
2021-06-17,50.0,53.13,60.0
2021-06-10,50.0,54.22,60.0
2021-06-03,50.0,56.46,60.0
2021-05-27,50.0,52.07,60.0
2021-05-20,40.0,47.37,60.0
2021-05-06,50.0,55.33,60.0
2021-04-29,50.0,53.13,60.0
2021-04-22,60.0,65.99,70.0
2021-04-15,50.0,56.29,70.0
2021-04-08,50.0,52.07,60.0
2021-04-01,45.0,48.27,50.0
2021-03-25,45.0,48.27,50.0
2021-03-18,45.0,48.27,50.0
2021-03-11,45.0,48.27,50.0
2021-03-04,45.0,48.27,50.0
2021-02-25,45.0,48.27,50.0
2021-02-18,40.0,42.03,50.0
2021-02-11,40.0,43.09,50.0
2021-02-04,40.0,46.42,50.0
2021-01-28,40.0,45.28,50.0
2021-01-21,40.0,45.28,50.0
2021-01-14,40.0,48.78,50.0
2021-01-07,40.0,47.58,50.0
2020-12-31,40.0,46.42,50.0
2020-12-24,50.0,54.22,60.0
2020-12-17,50.0,56.29,70.0
2020-12-10,70.0,75.39,80.0
2020-12-03,70.0,78.55,90.0
2020-11-26,80.0,87.43,100.0
2020-11-19,70.0,79.72,90.0
2020-11-12,70.0,72.11,80.0
2020-11-05,70.0,74.28,80.0
2020-10-29,70.0,74.28,80.0
2020-10-22,70.0,75.39,80.0
2020-10-15,80.0,80.0,80.0
2020-10-08,70.0,78.82,80.0
2020-10-01,70.0,74.28,80.0
2020-09-24,70.0,77.66,80.0
2020-09-17,80.0,80.0,80.0
2020-09-10,70.0,78.82,80.0
2020-09-03,80.0,80.0,80.0
2020-08-27,70.0,75.39,80.0
2020-08-20,70.0,76.52,80.0
2020-08-13,70.0,76.52,80.0
2020-08-06,70.0,77.66,80.0
2020-07-29,60.0,73.94,80.0
2020-07-23,60.0,69.52,80.0
2020-07-16,50.0,65.16,70.0
2020-07-09,50.0,59.44,70.0
2020-07-02,50.0,64.96,70.0
2020-06-25,50.0,65.93,80.0
2020-06-18,50.0,66.91,80.0
2020-06-11,50.0,67.43,70.0
2020-06-04,60.0,65.36,70.0
2020-05-28,60.0,63.16,70.0
2020-05-21,60.0,60.0,60.0
2020-05-14,60.0,65.36,70.0
2020-05-07,60.0,61.04,70.0
2020-04-30,60.0,60.0,60.0
2020-04-23,50.0,56.46,60.0
2020-04-16,50.0,51.02,60.0
2020-04-09,40.0,47.37,60.0
2020-04-02,50.0,51.02,60.0
2020-03-26,40.0,51.83,60.0
2020-03-19,40.0,46.42,50.0
2020-03-12,40.0,44.17,50.0
2020-03-05,40.0,44.17,50.0
2020-02-27,30.0,42.78,50.0
2020-02-20,30.0,43.85,50.0
2020-02-13,30.0,43.85,50.0
2020-02-06,30.0,43.85,50.0
2020-01-30,30.0,42.78,50.0
2020-01-23,30.0,42.78,50.0
2020-01-16,30.0,42.78,50.0
2020-01-09,30.0,42.78,50.0
2020-01-02,30.0,42.78,50.0
2019-12-26,30.0,42.78,50.0
2019-12-19,30.0,42.78,50.0
2019-12-12,30.0,42.78,50.0
2019-12-05,30.0,41.73,50.0
2019-11-28,30.0,38.74,40.0
2019-11-21,30.0,38.74,40.0
2019-11-14,30.0,36.34,40.0
2019-11-07,30.0,38.74,40.0
2019-10-31,30.0,38.74,40.0
2019-10-24,30.0,38.74,40.0
2019-10-17,30.0,37.52,40.0
2019-10-10,30.0,37.52,40.0
2019-10-03,30.0,37.52,40.0
2019-09-26,30.0,37.52,40.0
2019-09-19,30.0,37.52,40.0
2019-09-12,30.0,37.52,40.0
2019-09-05,30.0,38.74,40.0
2021-08-06,50.0,52.07,60.0
