Date,Min,Avg,Max
9/5/2019,50,80.55,110
9/12/2019,50,80.57,110
9/19/2019,50,80.57,110
9/26/2019,50,81.11,110
10/3/2019,50,81.11,110
10/10/2019,50,81.33,110
10/17/2019,50,81.34,110
10/24/2019,50,81.34,110
10/31/2019,50,81.34,110
11/7/2019,50,81.34,110
11/14/2019,50,81.43,110
11/21/2019,50,81.44,110
11/28/2019,50,81.88,120
12/5/2019,50,81.91,120
12/12/2019,50,81.91,120
12/19/2019,50,81.7,115
12/26/2019,50,81.83,115
1/2/2020,50,81.83,115
1/9/2020,50,81.88,115
1/16/2020,50,81.61,115
1/23/2020,50,81.28,115
1/30/2020,50,81.28,115
2/6/2020,50,81.28,115
2/13/2020,50,81.29,115
2/20/2020,50,82.22,120
2/27/2020,50,82.22,120
3/5/2020,50,82.22,120
3/12/2020,50,82.22,120
3/19/2020,50,81.84,120
3/26/2020,50,81.84,120
4/2/2020,50,81.85,120
4/9/2020,50,81.85,120
4/16/2020,50,82.66,120
4/23/2020,50,83.16,120
4/30/2020,50,83.37,120
5/7/2020,50,83.37,120
5/14/2020,50,84.61,120
5/21/2020,50,84.63,120
5/28/2020,50,84.69,120
6/4/2020,50,84.79,120
6/11/2020,50,84.79,120
6/18/2020,60,85.29,120
6/25/2020,60,85.29,120
7/2/2020,60,85.5,120
7/9/2020,60,85.69,120
7/16/2020,60,87.11,120
7/23/2020,60,87.19,120
7/29/2020,60,87.6,120
8/6/2020,65,88.01,120
8/13/2020,65,89.11,120
8/20/2020,70,89.41,120
8/27/2020,70,89.41,120
9/3/2020,70,89.22,120
9/10/2020,70,89.61,120
9/17/2020,70,89.61,120
9/24/2020,70,90.31,120
10/1/2020,70,90.5,120
10/8/2020,70,90.97,120
10/15/2020,70,91.24,120
10/22/2020,70,91.03,110
10/29/2020,70,91.05,110
11/5/2020,70,89.99,110
11/12/2020,70,89.99,110
11/19/2020,70,89.78,110
11/26/2020,70,89.78,110
12/3/2020,70,89.61,110
12/10/2020,60,89.34,110
12/17/2020,60,89.34,110
12/24/2020,60,89.07,110
12/31/2020,60,89.07,110
1/7/2021,60,89.07,110
1/14/2021,60,89.14,110
1/21/2021,60,89.14,110
1/28/2021,60,89.53,110
2/4/2021,60,89.87,120
2/11/2021,60,90.42,120
2/18/2021,70,90.98,120
2/25/2021,70,91.58,120
3/4/2021,70,91.74,120
3/11/2021,70,92.23,120
3/18/2021,70,92.04,120
3/25/2021,70,91.78,120
4/1/2021,70,91.78,120
4/8/2021,70,91.68,120
4/15/2021,70,92.1,120
4/22/2021,70,92.1,120
4/29/2021,70,92.63,120
5/6/2021,70,92.63,120
5/20/2021,70,92.73,120
5/27/2021,70,92.73,120
6/3/2021,70,92.92,120
6/10/2021,70,92.92,120
6/17/2021,70,93.15,120
6/24/2021,70,93.55,120
7/1/2021,70,93.55,120
7/8/2021,70,93.78,130
7/15/2021,70,94.83,130
7/29/2021,70,95.22,130
8/5/2021,70,95.22,130
8/12/2021,70,95.22,130
8/26/2021,75,95.61,130
9/2/2021,75,95.24,130
9/9/2021,75,95.29,130
