Date,Min,Avg,Max
2019-09-05,45.0,46.48,48.0
2019-09-12,45.0,46.48,48.0
2019-09-19,45.0,46.48,48.0
2019-09-26,45.0,46.48,48.0
2019-10-03,45.0,46.48,48.0
2019-10-10,45.0,46.48,48.0
2019-10-17,45.0,46.48,48.0
2019-10-24,45.0,46.48,48.0
2019-10-31,45.0,46.48,48.0
2019-11-07,45.0,46.48,48.0
2019-11-14,45.0,46.48,48.0
2019-11-21,45.0,46.48,48.0
2019-11-28,45.0,46.48,48.0
2019-12-05,45.0,46.48,48.0
2019-12-12,45.0,46.48,48.0
2019-12-19,45.0,46.48,48.0
2019-12-26,45.0,45.5,46.0
2020-01-02,45.0,45.5,46.0
2020-01-09,45.0,45.5,46.0
2020-01-16,45.0,45.5,46.0
2020-01-23,45.0,45.5,46.0
2020-01-30,45.0,45.5,46.0
2020-02-06,45.0,45.5,46.0
2020-02-13,45.0,45.5,46.0
2020-02-20,45.0,45.5,46.0
2020-02-27,45.0,45.5,46.0
2020-03-05,50.0,50.99,52.0
2020-03-12,50.0,50.99,52.0
2020-03-19,50.0,50.99,52.0
2020-03-26,50.0,50.99,52.0
2020-04-02,52.0,52.98,55.0
2020-04-09,52.0,52.98,55.0
2020-04-16,52.0,52.98,55.0
2020-04-23,52.0,52.98,55.0
2020-04-30,52.0,52.98,55.0
2020-05-07,52.0,52.98,55.0
2020-05-14,52.0,52.98,55.0
2020-05-21,52.0,52.98,55.0
2020-05-28,52.0,52.98,55.0
2020-06-04,52.0,52.98,55.0
2020-06-11,53.0,53.66,55.0
2020-06-18,53.0,53.66,55.0
2020-06-25,53.0,53.66,55.0
2020-07-02,53.0,53.66,55.0
2020-07-09,53.0,53.66,55.0
2020-07-16,55.0,56.62,60.0
2020-07-23,60.0,61.62,65.0
2020-07-29,60.0,61.62,65.0
2020-08-06,60.0,61.62,65.0
2020-08-13,60.0,61.62,65.0
2020-08-20,60.0,61.62,65.0
2020-08-27,60.0,61.62,65.0
2020-09-03,60.0,61.62,65.0
2020-09-10,60.0,61.62,65.0
2020-09-17,60.0,61.62,65.0
2020-09-24,60.0,61.62,65.0
2020-10-01,60.0,61.62,65.0
2020-10-08,60.0,61.62,65.0
2020-10-15,62.0,62.98,65.0
2020-10-22,62.0,62.98,65.0
2020-10-29,62.0,62.98,65.0
2020-11-05,62.0,62.98,65.0
2020-11-12,62.0,62.98,65.0
2020-11-19,62.0,62.98,65.0
2020-11-26,62.0,62.98,65.0
2020-12-03,62.0,62.98,65.0
2020-12-10,62.0,62.98,65.0
2020-12-17,62.0,62.98,65.0
2020-12-24,60.0,61.33,62.0
2020-12-31,60.0,61.33,62.0
2021-01-07,60.0,61.33,62.0
2021-01-14,60.0,61.33,62.0
2021-01-21,60.0,61.33,62.0
2021-01-28,60.0,61.33,62.0
2021-02-04,60.0,61.33,62.0
2021-02-11,65.0,65.0,65.0
2021-02-18,65.0,65.0,65.0
2021-02-25,65.0,65.0,65.0
2021-03-04,65.0,65.0,65.0
2021-03-11,65.0,65.0,65.0
2021-03-18,65.0,65.0,65.0
2021-03-25,65.0,65.0,65.0
2021-04-01,65.0,65.0,65.0
2021-04-08,65.0,65.0,65.0
2021-04-15,65.0,65.0,65.0
2021-04-22,65.0,65.0,65.0
2021-04-29,65.0,65.0,65.0
2021-05-06,65.0,65.0,65.0
2021-05-20,65.0,65.0,65.0
2021-05-27,65.0,65.0,65.0
2021-06-03,65.0,65.0,65.0
2021-06-10,65.0,65.0,65.0
2021-06-17,65.0,65.0,65.0
2021-06-24,65.0,65.0,65.0
2021-07-01,65.0,65.0,65.0
2021-07-08,65.0,65.0,65.0
2021-07-15,65.0,65.0,65.0
2021-07-29,65.0,65.0,65.0
2021-08-05,65.0,65.0,65.0
2021-08-12,65.0,65.0,65.0
2021-08-26,65.0,65.0,65.0
2021-09-02,65.0,65.0,65.0
2021-09-09,65.0,65.0,65.0
2021-09-16,65.0,65.0,65.0
2021-09-23,65.0,65.0,65.0
