Date,Min,Avg,Max
2019-09-05,55.0,56.62,60.0
2019-09-12,55.0,57.17,60.0
2019-09-19,50.0,55.38,60.0
2019-09-26,50.0,54.95,60.0
2019-10-03,50.0,54.95,60.0
2019-10-10,50.0,54.95,60.0
2019-10-17,50.0,54.95,60.0
2019-10-24,50.0,54.95,60.0
2019-10-31,55.0,56.07,60.0
2019-11-07,55.0,56.07,60.0
2019-11-14,55.0,56.07,60.0
2019-11-21,55.0,57.72,60.0
2019-11-28,55.0,57.72,60.0
2019-12-05,55.0,57.72,60.0
2019-12-12,55.0,57.72,60.0
2019-12-19,55.0,57.72,60.0
2019-12-26,55.0,57.72,60.0
2020-01-02,55.0,57.72,60.0
2020-01-09,55.0,57.72,60.0
2020-01-16,55.0,57.72,60.0
2020-01-23,55.0,57.72,60.0
2020-01-30,55.0,57.72,60.0
2020-02-06,55.0,57.72,60.0
2020-02-13,55.0,57.72,60.0
2020-02-20,55.0,57.72,60.0
2020-02-27,55.0,57.72,60.0
2020-03-05,55.0,57.72,60.0
2020-03-12,55.0,57.72,60.0
2020-03-19,55.0,57.72,60.0
2020-03-26,55.0,57.72,60.0
2020-04-02,55.0,57.72,60.0
2020-04-09,55.0,57.72,60.0
2020-04-16,55.0,58.28,60.0
2020-04-23,55.0,58.28,60.0
2020-04-30,55.0,60.44,65.0
2020-05-07,55.0,60.44,65.0
2020-05-14,60.0,64.91,70.0
2020-05-21,60.0,64.91,70.0
2020-05-28,60.0,64.91,70.0
2020-06-04,60.0,64.91,70.0
2020-06-11,60.0,64.91,70.0
2020-06-18,60.0,64.91,70.0
2020-06-25,60.0,64.91,70.0
2020-07-02,60.0,64.91,70.0
2020-07-09,60.0,64.91,70.0
2020-07-16,60.0,64.91,70.0
2020-07-23,60.0,64.91,70.0
2020-07-29,60.0,64.91,70.0
2020-08-06,60.0,64.91,70.0
2020-08-13,60.0,65.45,70.0
2020-08-20,65.0,67.18,70.0
2020-08-27,65.0,67.18,70.0
2020-09-03,65.0,67.18,70.0
2020-09-10,65.0,67.18,70.0
2020-09-17,65.0,67.18,70.0
2020-09-24,65.0,67.18,70.0
2020-10-01,65.0,67.18,70.0
2020-10-08,65.0,67.73,70.0
2020-10-15,65.0,67.73,70.0
2020-10-22,65.0,67.73,70.0
2020-10-29,60.0,65.49,70.0
2020-11-05,60.0,63.29,65.0
2020-11-12,60.0,61.62,65.0
2020-11-19,55.0,59.95,65.0
2020-11-26,55.0,59.95,65.0
2020-12-03,55.0,59.95,65.0
2020-12-10,55.0,61.57,65.0
2020-12-17,55.0,62.08,70.0
2020-12-24,55.0,62.08,70.0
2020-12-31,55.0,62.08,70.0
2021-01-07,55.0,62.08,70.0
2021-01-14,65.0,65.54,70.0
2021-01-21,65.0,65.54,70.0
2021-01-28,65.0,65.54,70.0
2021-02-04,65.0,65.54,70.0
2021-02-11,65.0,65.54,70.0
2021-02-18,65.0,65.54,70.0
2021-02-25,65.0,66.63,70.0
2021-03-04,65.0,68.29,70.0
2021-03-11,65.0,69.43,70.0
2021-03-18,65.0,69.43,70.0
2021-03-25,65.0,69.43,70.0
2021-04-01,65.0,69.43,70.0
2021-04-08,65.0,69.43,70.0
2021-04-15,65.0,69.43,70.0
2021-04-22,65.0,69.43,70.0
2021-04-29,65.0,69.43,70.0
2021-05-06,65.0,69.43,70.0
2021-05-20,65.0,68.29,70.0
2021-05-27,65.0,68.29,70.0
2021-06-03,65.0,68.29,70.0
2021-06-10,65.0,68.29,70.0
2021-06-17,65.0,68.29,70.0
2021-06-24,65.0,68.29,70.0
2021-07-01,65.0,68.29,70.0
2021-07-08,65.0,68.29,70.0
2021-07-15,65.0,68.86,70.0
2021-07-29,65.0,68.86,70.0
2021-08-05,60.0,67.09,70.0
2021-08-12,60.0,67.09,70.0
2021-08-26,60.0,67.09,70.0
2021-09-02,60.0,67.09,70.0
2021-09-09,55.0,61.36,70.0
