Date,Min,Avg,Max
2021-07-29,30.0,30.0,30.0
2021-07-15,30.0,30.0,30.0
2021-07-08,30.0,30.0,30.0
2021-07-01,30.0,30.0,30.0
2021-06-24,30.0,30.0,30.0
2021-06-17,30.0,30.0,30.0
2021-06-10,30.0,30.0,30.0
2021-06-03,30.0,30.0,30.0
2021-05-27,30.0,30.0,30.0
2021-05-20,30.0,30.0,30.0
2021-05-06,30.0,30.0,30.0
2021-04-29,30.0,30.0,30.0
2021-04-22,30.0,30.0,30.0
2021-04-15,30.0,30.0,30.0
2021-04-08,30.0,30.0,30.0
2021-04-01,30.0,30.0,30.0
2021-03-25,30.0,30.0,30.0
2021-03-18,30.0,30.0,30.0
2021-03-11,30.0,30.0,30.0
2021-03-04,30.0,30.0,30.0
2021-02-25,30.0,30.0,30.0
2021-02-18,30.0,30.0,30.0
2021-02-11,30.0,30.0,30.0
2021-02-04,30.0,30.0,30.0
2021-01-28,30.0,30.0,30.0
2021-01-21,30.0,30.0,30.0
2021-01-14,30.0,30.0,30.0
2021-01-07,30.0,30.0,30.0
2020-12-31,30.0,30.0,30.0
2020-12-24,30.0,30.0,30.0
2020-12-17,30.0,30.0,30.0
2020-12-10,30.0,30.0,30.0
2020-12-03,30.0,30.0,30.0
2020-11-26,30.0,30.0,30.0
2020-11-19,30.0,30.0,30.0
2020-11-12,30.0,30.0,30.0
2020-11-05,30.0,30.0,30.0
2020-10-29,30.0,30.0,30.0
2020-10-22,30.0,30.0,30.0
2020-10-15,30.0,30.0,30.0
2020-10-08,30.0,30.0,30.0
2020-10-01,30.0,30.0,30.0
2020-09-24,30.0,30.0,30.0
2020-09-17,30.0,30.0,30.0
2020-09-10,30.0,30.0,30.0
2020-09-03,30.0,30.0,30.0
2020-08-27,30.0,30.0,30.0
2020-08-20,30.0,30.0,30.0
2020-08-13,30.0,30.0,30.0
2020-08-06,30.0,30.0,30.0
2020-07-29,30.0,30.0,30.0
2020-07-23,30.0,30.0,30.0
2020-07-16,30.0,30.0,30.0
2020-07-09,30.0,30.0,30.0
2020-07-02,30.0,30.0,30.0
2020-06-25,30.0,30.0,30.0
2020-06-18,30.0,30.0,30.0
2020-06-11,30.0,30.0,30.0
2020-06-04,30.0,30.0,30.0
2020-05-28,30.0,30.0,30.0
2020-05-21,30.0,30.0,30.0
2020-05-14,30.0,30.0,30.0
2020-05-07,30.0,30.0,30.0
2020-04-30,30.0,30.0,30.0
2020-04-23,30.0,30.0,30.0
2020-04-16,30.0,30.0,30.0
2020-04-09,30.0,30.0,30.0
2020-04-02,30.0,30.0,30.0
2020-03-26,30.0,30.0,30.0
2020-03-19,30.0,30.0,30.0
2020-03-12,30.0,30.0,30.0
2020-03-05,30.0,30.0,30.0
2020-02-27,30.0,30.0,30.0
2020-02-20,30.0,30.0,30.0
2020-02-13,30.0,30.0,30.0
2020-02-06,30.0,30.0,30.0
2020-01-30,30.0,30.0,30.0
2020-01-23,30.0,30.0,30.0
2020-01-16,30.0,30.0,30.0
2020-01-09,30.0,30.0,30.0
2020-01-02,30.0,30.0,30.0
2019-12-26,30.0,30.0,30.0
2019-12-19,30.0,30.0,30.0
2019-12-12,30.0,30.0,30.0
2019-12-05,30.0,30.0,30.0
2019-11-28,30.0,30.0,30.0
2019-11-21,30.0,30.0,30.0
2019-11-14,30.0,30.0,30.0
2019-11-07,30.0,30.0,30.0
2019-10-31,30.0,30.0,30.0
2019-10-24,30.0,30.0,30.0
2019-10-17,30.0,30.0,30.0
2019-10-10,30.0,30.0,30.0
2019-10-03,30.0,30.0,30.0
2019-09-26,30.0,30.0,30.0
2019-09-19,30.0,30.0,30.0
2019-09-12,30.0,30.0,30.0
2019-09-05,30.0,30.0,30.0
