Date,Min,Avg,Max
2021-07-29,170.0,173.27,180.0
2021-07-15,170.0,173.27,180.0
2021-07-08,170.0,173.27,180.0
2021-07-01,170.0,173.27,180.0
2021-06-24,170.0,173.27,180.0
2021-06-17,170.0,173.27,180.0
2021-06-10,170.0,173.27,180.0
2021-06-03,170.0,173.27,180.0
2021-05-27,170.0,173.27,180.0
2021-05-20,170.0,173.27,180.0
2021-05-06,170.0,173.27,180.0
2021-04-29,170.0,173.27,180.0
2021-04-22,170.0,173.27,180.0
2021-04-15,170.0,173.27,180.0
2021-04-08,170.0,173.27,180.0
2021-04-01,170.0,173.27,180.0
2021-03-25,170.0,173.27,180.0
2021-03-18,170.0,173.27,180.0
2021-03-11,170.0,173.27,180.0
2021-03-04,170.0,173.27,180.0
2021-02-25,170.0,173.27,180.0
2021-02-18,170.0,173.27,180.0
2021-02-11,170.0,173.27,180.0
2021-02-04,170.0,173.27,180.0
2021-01-28,170.0,173.27,180.0
2021-01-21,170.0,173.27,180.0
2021-01-14,170.0,173.27,180.0
2021-01-07,170.0,173.27,180.0
2020-12-31,170.0,173.27,180.0
2020-12-24,170.0,173.27,180.0
2020-12-17,170.0,173.27,180.0
2020-12-10,170.0,173.27,180.0
2020-12-03,170.0,173.27,180.0
2020-11-26,170.0,173.27,180.0
2020-11-19,170.0,173.27,180.0
2020-11-12,170.0,173.27,180.0
2020-11-05,170.0,173.27,180.0
2020-10-29,170.0,173.27,180.0
2020-10-22,170.0,173.27,180.0
2020-10-15,170.0,173.27,180.0
2020-10-08,170.0,173.27,180.0
2020-10-01,170.0,173.27,180.0
2020-09-24,170.0,173.27,180.0
2020-09-17,170.0,173.27,180.0
2020-09-10,170.0,173.27,180.0
2020-09-03,170.0,173.27,180.0
2020-08-27,170.0,173.27,180.0
2020-08-20,170.0,173.27,180.0
2020-08-13,170.0,173.27,180.0
2020-08-06,170.0,173.27,180.0
2020-07-29,170.0,173.27,180.0
2020-07-23,170.0,173.27,180.0
2020-07-16,170.0,173.27,180.0
2020-07-09,160.0,163.27,170.0
2020-07-02,160.0,163.27,170.0
2020-06-25,160.0,163.27,170.0
2020-06-18,160.0,163.27,170.0
2020-06-11,160.0,163.27,170.0
2020-06-04,160.0,163.27,170.0
2020-05-28,160.0,163.27,170.0
2020-05-21,160.0,163.27,170.0
2020-05-14,160.0,163.27,170.0
2020-05-07,160.0,163.27,170.0
2020-04-30,160.0,163.27,170.0
2020-04-23,160.0,163.27,170.0
2020-04-16,160.0,163.27,170.0
2020-04-09,160.0,163.27,170.0
2020-04-02,160.0,163.27,170.0
2020-03-26,160.0,163.27,170.0
2020-03-19,160.0,163.27,170.0
2020-03-12,160.0,163.27,170.0
2020-03-05,160.0,163.27,170.0
2020-02-27,160.0,163.27,170.0
2020-02-20,160.0,163.27,170.0
2020-02-13,160.0,163.27,170.0
2020-02-06,160.0,163.27,170.0
2020-01-30,160.0,163.27,170.0
2020-01-23,160.0,163.27,170.0
2020-01-16,160.0,163.27,170.0
2020-01-09,160.0,163.27,170.0
2020-01-02,160.0,163.27,170.0
2019-12-26,160.0,163.27,170.0
2019-12-19,160.0,163.27,170.0
2019-12-12,150.0,153.26,160.0
2019-12-05,150.0,153.26,160.0
2019-11-28,150.0,153.26,160.0
2019-11-21,150.0,153.26,160.0
2019-11-14,150.0,153.26,160.0
2019-11-07,150.0,153.26,160.0
2019-10-31,150.0,153.26,160.0
2019-10-24,150.0,153.26,160.0
2019-10-17,150.0,153.26,160.0
2019-10-10,150.0,153.26,160.0
2019-10-03,150.0,153.26,160.0
2019-09-26,150.0,153.26,160.0
2019-09-19,140.0,140.0,140.0
2019-09-12,140.0,140.0,140.0
2019-09-05,140.0,140.0,140.0
2021-08-06,170.0,173.27,180.0
