Date,Min,Avg,Max
2019-09-05,240.0,246.59,260.0
2019-09-12,240.0,246.59,260.0
2019-09-19,240.0,246.59,260.0
2019-09-26,240.0,246.59,260.0
2019-10-03,240.0,246.59,260.0
2019-10-10,240.0,246.59,260.0
2019-10-17,240.0,246.59,260.0
2019-10-24,240.0,246.59,260.0
2019-10-31,240.0,246.59,260.0
2019-11-07,240.0,246.59,260.0
2019-11-14,240.0,246.59,260.0
2019-11-21,240.0,246.59,260.0
2019-11-28,240.0,246.59,260.0
2019-12-05,240.0,246.59,260.0
2019-12-12,240.0,246.59,260.0
2019-12-19,240.0,246.59,260.0
2019-12-26,240.0,246.59,260.0
2020-01-02,240.0,246.59,260.0
2020-01-09,240.0,246.59,260.0
2020-01-16,260.0,265.26,280.0
2020-01-23,260.0,265.26,280.0
2020-01-30,260.0,265.26,280.0
2020-02-06,260.0,265.26,280.0
2020-02-13,260.0,265.26,280.0
2020-02-20,260.0,265.26,280.0
2020-02-27,260.0,265.26,280.0
2020-03-05,260.0,265.26,280.0
2020-03-12,270.0,284.6,290.0
2020-03-19,270.0,284.6,290.0
2020-03-26,270.0,284.6,290.0
2020-04-02,270.0,284.6,290.0
2020-04-09,270.0,284.6,290.0
2020-04-16,270.0,284.6,290.0
2020-04-23,270.0,284.6,290.0
2020-04-30,270.0,284.6,290.0
2020-05-07,270.0,284.6,290.0
2020-05-14,270.0,284.6,290.0
2020-05-21,270.0,284.6,290.0
2020-05-28,270.0,284.6,290.0
2020-06-04,270.0,284.6,290.0
2020-06-11,270.0,284.6,290.0
2020-06-18,300.0,314.5,330.0
2020-06-25,300.0,314.5,330.0
2020-07-02,300.0,314.5,330.0
2020-07-09,300.0,327.14,340.0
2020-07-16,300.0,327.14,340.0
2020-07-23,300.0,327.14,340.0
2020-07-29,300.0,327.14,340.0
2020-08-06,300.0,327.14,340.0
2020-08-13,300.0,327.14,340.0
2020-08-20,300.0,327.14,340.0
2020-08-27,300.0,327.14,340.0
2020-09-03,300.0,327.14,340.0
2020-09-10,300.0,327.14,340.0
2020-09-17,300.0,327.14,340.0
2020-09-24,300.0,327.14,340.0
2020-10-01,300.0,327.14,340.0
2020-10-08,300.0,327.14,340.0
2020-10-15,300.0,327.14,340.0
2020-10-22,300.0,327.14,340.0
2020-10-29,300.0,327.14,340.0
2020-11-05,300.0,327.14,340.0
2020-11-12,300.0,327.14,340.0
2020-11-19,300.0,327.14,340.0
2020-11-26,300.0,327.14,340.0
2020-12-03,300.0,327.14,340.0
2020-12-10,300.0,327.14,340.0
2020-12-17,300.0,327.14,340.0
2020-12-24,300.0,327.14,340.0
2020-12-31,300.0,327.14,340.0
2021-01-07,300.0,327.14,340.0
2021-01-14,330.0,350.47,370.0
2021-01-21,330.0,350.47,370.0
2021-01-28,330.0,350.47,370.0
2021-02-04,330.0,350.47,370.0
2021-02-11,330.0,350.47,370.0
2021-02-18,330.0,350.47,370.0
2021-02-25,330.0,350.47,370.0
2021-03-04,330.0,350.47,370.0
2021-03-11,370.0,385.16,400.0
2021-03-18,370.0,385.16,400.0
2021-03-25,370.0,385.16,400.0
2021-04-01,370.0,385.16,400.0
2021-04-08,370.0,385.16,400.0
2021-04-15,370.0,385.16,400.0
2021-04-22,370.0,385.16,400.0
2021-04-29,370.0,385.16,400.0
2021-05-06,370.0,385.16,400.0
2021-05-20,370.0,385.16,400.0
2021-05-27,370.0,385.16,400.0
2021-06-03,370.0,385.16,400.0
2021-06-10,370.0,385.16,400.0
2021-06-17,370.0,385.16,400.0
2021-06-24,370.0,385.16,400.0
2021-07-01,370.0,385.16,400.0
2021-07-08,370.0,385.16,400.0
2021-07-15,370.0,385.16,400.0
2021-07-29,370.0,385.16,400.0
2021-08-05,370.0,385.16,400.0
2021-08-12,370.0,385.16,400.0
2021-08-26,370.0,385.16,400.0
2021-09-02,370.0,385.16,400.0
2021-09-09,370.0,385.16,400.0
2021-09-16,370.0,385.16,400.0
2021-09-23,370.0,385.16,400.0
