Date,Min,Avg,Max
2021-07-29,105.0,105.0,105.0
2021-07-15,105.0,105.0,105.0
2021-07-08,100.0,101.33,102.0
2021-07-01,96.0,97.0,98.0
2021-06-24,96.0,97.0,98.0
2021-06-17,96.0,97.0,98.0
2021-06-10,97.0,97.33,98.0
2021-06-03,96.0,97.0,98.0
2021-05-27,97.0,98.33,100.0
2021-05-20,96.0,96.67,97.0
2021-05-06,96.0,96.0,96.0
2021-04-29,97.0,97.0,97.0
2021-04-22,85.0,94.09,100.0
2021-04-15,95.0,95.0,95.0
2021-04-08,95.0,95.0,95.0
2021-04-01,97.0,97.0,97.0
2021-03-25,96.0,96.33,97.0
2021-03-18,96.0,96.0,96.0
2021-03-11,95.0,95.0,95.0
2021-03-04,92.0,92.67,93.0
2021-02-25,92.0,92.33,93.0
2021-02-18,90.0,91.66,93.0
2021-02-11,90.0,91.33,92.0
2021-02-04,88.0,88.66,90.0
2021-01-28,88.0,88.66,90.0
2021-01-21,87.0,88.32,90.0
2021-01-14,87.0,88.32,90.0
2021-01-07,84.0,84.66,86.0
2020-12-31,82.0,83.99,85.0
2020-12-24,80.0,80.0,80.0
2020-12-17,80.0,80.0,80.0
2020-12-10,80.0,80.99,83.0
2020-12-03,83.0,85.95,90.0
2020-11-26,95.0,95.0,95.0
2020-11-19,100.0,100.0,100.0
2020-11-12,110.0,110.0,110.0
2020-11-05,100.0,100.0,100.0
2020-10-29,105.0,105.0,105.0
2020-10-22,100.0,100.0,100.0
2020-10-15,100.0,100.0,100.0
2020-10-08,96.0,97.0,98.0
2020-10-01,95.0,95.0,95.0
2020-09-24,95.0,95.0,95.0
2020-09-17,95.0,95.0,95.0
2020-09-10,94.0,94.67,95.0
2020-09-03,94.0,94.67,95.0
2020-08-27,94.0,94.67,95.0
2020-08-20,96.0,97.0,98.0
2020-08-13,95.0,95.33,96.0
2020-08-06,95.0,95.67,96.0
2020-07-29,92.0,93.33,94.0
2020-07-23,87.0,87.67,88.0
2020-07-16,85.0,86.33,87.0
2020-07-09,82.0,82.67,83.0
2020-07-02,80.0,80.0,80.0
2020-06-25,80.0,80.0,80.0
2020-06-18,80.0,80.0,80.0
2020-06-11,80.0,80.0,80.0
2020-06-04,80.0,80.66,82.0
2020-05-28,80.0,80.66,82.0
2020-05-21,80.0,80.66,82.0
2020-05-14,90.0,90.0,90.0
2020-05-07,80.0,80.66,82.0
2020-04-30,80.0,80.66,82.0
2020-04-23,80.0,80.0,80.0
2020-04-16,80.0,80.0,80.0
2020-04-09,80.0,80.0,80.0
2020-04-02,80.0,80.0,80.0
2020-03-26,80.0,80.0,80.0
2020-03-19,80.0,80.0,80.0
2020-03-12,80.0,80.0,80.0
2020-03-05,78.0,78.0,78.0
2020-02-27,78.0,78.0,78.0
2020-02-20,80.0,80.0,80.0
2020-02-13,80.0,80.0,80.0
2020-02-06,80.0,80.0,80.0
2020-01-30,80.0,80.0,80.0
2020-01-23,80.0,80.0,80.0
2020-01-16,75.0,75.0,75.0
2020-01-09,73.0,74.33,75.0
2020-01-02,73.0,73.0,73.0
2019-12-26,70.0,70.0,70.0
2019-12-19,70.0,70.0,70.0
2019-12-12,70.0,70.0,70.0
2019-12-05,70.0,70.0,70.0
2019-11-28,72.0,72.0,72.0
2019-11-21,72.0,72.67,73.0
2019-11-14,72.0,72.67,73.0
2019-11-07,72.0,72.67,73.0
2019-10-31,73.0,74.0,75.0
2019-10-24,73.0,74.0,75.0
2019-10-17,73.0,74.0,75.0
2019-10-10,73.0,73.66,75.0
2019-10-03,73.0,73.66,75.0
2019-09-26,75.0,75.0,75.0
2019-09-19,75.0,75.0,75.0
2019-09-12,75.0,75.0,75.0
2019-09-05,75.0,75.0,75.0
