Date,Min,Avg,Max
2021-07-29,103.0,107.04,110.0
2021-07-15,100.0,105.83,110.0
2021-07-08,100.0,102.57,105.0
2021-07-01,98.0,100.19,105.0
2021-06-24,98.0,100.19,105.0
2021-06-17,98.0,100.19,105.0
2021-06-10,98.0,100.19,105.0
2021-06-03,98.0,100.19,105.0
2021-05-27,98.0,100.19,105.0
2021-05-20,92.0,99.16,105.0
2021-05-06,85.0,91.57,100.0
2021-04-29,85.0,91.57,100.0
2021-04-22,85.0,93.07,100.0
2021-04-15,96.0,100.03,105.0
2021-04-08,96.0,100.11,105.0
2021-04-01,100.0,105.8,110.0
2021-03-25,100.0,101.84,105.0
2021-03-18,98.0,100.44,105.0
2021-03-11,97.0,100.37,105.0
2021-03-04,95.0,98.38,100.0
2021-02-25,92.0,95.69,100.0
2021-02-18,92.0,96.1,100.0
2021-02-11,92.0,95.9,100.0
2021-02-04,90.0,93.07,100.0
2021-01-28,88.0,92.93,100.0
2021-01-21,92.0,94.57,100.0
2021-01-14,92.0,95.69,100.0
2021-01-07,90.0,93.11,95.0
2020-12-31,83.0,86.24,90.0
2020-12-24,80.0,83.7,90.0
2020-12-17,80.0,83.7,90.0
2020-12-10,80.0,83.48,95.0
2020-12-03,83.0,85.71,95.0
2020-11-26,83.0,88.31,110.0
2020-11-19,83.0,88.65,110.0
2020-11-12,84.0,94.83,110.0
2020-11-05,84.0,101.99,110.0
2020-10-29,100.0,104.7,110.0
2020-10-22,100.0,102.11,105.0
2020-10-15,100.0,100.79,105.0
2020-10-08,98.0,99.33,100.0
2020-10-01,96.0,98.46,100.0
2020-09-24,95.0,97.78,100.0
2020-09-17,93.0,96.57,100.0
2020-09-10,93.0,96.57,100.0
2020-09-03,92.0,96.9,100.0
2020-08-27,92.0,96.9,100.0
2020-08-20,95.0,98.05,100.0
2020-08-13,94.0,95.92,100.0
2020-08-06,93.0,95.19,100.0
2020-07-29,92.0,93.86,95.0
2020-07-23,88.0,89.53,90.0
2020-07-16,83.0,87.17,90.0
2020-07-09,82.0,85.43,90.0
2020-07-02,80.0,82.85,85.0
2020-06-25,80.0,82.85,85.0
2020-06-18,80.0,82.85,85.0
2020-06-11,80.0,82.85,85.0
2020-06-04,80.0,82.85,85.0
2020-05-28,80.0,82.85,85.0
2020-05-21,80.0,82.85,85.0
2020-05-14,80.0,82.85,85.0
2020-05-07,80.0,83.05,85.0
2020-04-30,80.0,83.05,85.0
2020-04-23,80.0,82.05,84.0
2020-04-16,80.0,82.05,84.0
2020-04-09,82.0,82.99,85.0
2020-04-02,82.0,83.79,85.0
2020-03-26,82.0,83.46,85.0
2020-03-19,80.0,81.99,85.0
2020-03-12,80.0,81.12,85.0
2020-03-05,78.0,80.05,85.0
2020-02-27,78.0,80.05,85.0
2020-02-20,80.0,81.85,85.0
2020-02-13,80.0,81.85,85.0
2020-02-06,80.0,83.86,85.0
2020-01-30,80.0,80.98,85.0
2020-01-23,80.0,80.0,80.0
2020-01-16,75.0,76.65,80.0
2020-01-09,74.0,75.39,78.0
2020-01-02,72.0,74.13,75.0
2019-12-26,70.0,72.99,75.0
2019-12-19,70.0,71.38,75.0
2019-12-12,70.0,71.92,75.0
2019-12-05,72.0,73.32,75.0
2019-11-28,72.0,73.32,75.0
2019-11-21,72.0,73.79,76.0
2019-11-14,72.0,73.79,76.0
2019-11-07,74.0,75.39,78.0
2019-10-31,74.0,75.39,78.0
2019-10-24,74.0,75.52,80.0
2019-10-17,74.0,75.52,80.0
2019-10-10,74.0,75.52,80.0
2019-10-03,75.0,76.18,80.0
2019-09-26,76.0,77.32,80.0
2019-09-19,76.0,77.98,80.0
2019-09-12,76.0,77.98,80.0
2019-09-05,76.0,78.79,80.0
