Date,Min,Avg,Max
2019-09-05,78.0,80.3,85.0
2019-09-12,78.0,80.3,85.0
2019-09-19,78.0,80.3,85.0
2019-09-26,78.0,80.3,85.0
2019-10-03,75.0,79.19,85.0
2019-10-10,75.0,79.19,85.0
2019-10-17,75.0,79.19,85.0
2019-10-24,75.0,79.19,85.0
2019-10-31,75.0,79.19,85.0
2019-11-07,75.0,79.19,85.0
2019-11-14,75.0,79.19,85.0
2019-11-21,75.0,79.19,85.0
2019-11-28,72.0,75.86,80.0
2019-12-05,72.0,75.86,80.0
2019-12-12,72.0,75.86,80.0
2019-12-19,72.0,75.86,80.0
2019-12-26,74.0,76.96,80.0
2020-01-02,75.0,79.36,85.0
2020-01-09,75.0,79.36,85.0
2020-01-16,76.0,79.45,85.0
2020-01-23,80.0,81.55,85.0
2020-01-30,80.0,83.2,90.0
2020-02-06,84.0,85.56,90.0
2020-02-13,82.0,85.13,90.0
2020-02-20,82.0,85.13,90.0
2020-02-27,80.0,84.01,90.0
2020-03-05,80.0,84.52,90.0
2020-03-12,80.0,85.71,90.0
2020-03-19,80.0,85.71,90.0
2020-03-26,82.0,85.71,90.0
2020-04-02,84.0,87.05,90.0
2020-04-09,84.0,87.05,90.0
2020-04-16,84.0,87.05,90.0
2020-04-23,84.0,87.05,90.0
2020-04-30,84.0,87.05,90.0
2020-05-07,84.0,87.05,90.0
2020-05-14,85.0,85.0,85.0
2020-05-21,85.0,85.0,85.0
2020-05-28,85.0,85.0,85.0
2020-06-04,85.0,85.0,85.0
2020-06-11,85.0,85.0,85.0
2020-06-18,85.0,85.0,85.0
2020-06-25,85.0,85.0,85.0
2020-07-02,85.0,85.0,85.0
2020-07-09,85.0,86.64,90.0
2020-07-16,85.0,87.31,90.0
2020-07-23,88.0,90.31,95.0
2020-07-29,94.0,95.81,100.0
2020-08-06,95.0,97.14,100.0
2020-08-13,95.0,99.57,100.0
2020-08-20,97.0,99.75,100.0
2020-08-27,95.0,98.3,100.0
2020-09-03,95.0,98.3,100.0
2020-09-10,95.0,97.72,100.0
2020-09-17,95.0,97.72,100.0
2020-09-24,95.0,99.56,105.0
2020-10-01,98.0,99.9,105.0
2020-10-08,100.0,101.6,110.0
2020-10-15,100.0,103.36,110.0
2020-10-22,100.0,105.22,110.0
2020-10-29,105.0,108.73,110.0
2020-11-05,105.0,108.73,110.0
2020-11-12,105.0,109.41,110.0
2020-11-19,105.0,108.73,110.0
2020-11-26,100.0,103.27,110.0
2020-12-03,90.0,91.64,95.0
2020-12-10,85.0,86.64,90.0
2020-12-17,85.0,86.64,90.0
2020-12-24,85.0,85.0,85.0
2020-12-31,85.0,86.89,90.0
2021-01-07,88.0,92.69,100.0
2021-01-14,95.0,96.23,100.0
2021-01-21,95.0,96.23,100.0
2021-01-28,95.0,96.23,100.0
2021-02-04,90.0,94.55,100.0
2021-02-11,95.0,97.72,100.0
2021-02-18,95.0,97.72,100.0
2021-02-25,95.0,97.72,100.0
2021-03-04,98.0,99.5,100.0
2021-03-11,100.0,100.82,105.0
2021-03-18,100.0,101.64,105.0
2021-03-25,100.0,101.64,105.0
2021-04-01,105.0,108.73,110.0
2021-04-08,100.0,100.82,105.0
2021-04-15,100.0,100.0,100.0
2021-04-22,100.0,100.82,105.0
2021-04-29,100.0,100.82,105.0
2021-05-06,100.0,100.82,105.0
2021-05-20,100.0,102.47,105.0
2021-05-27,100.0,102.05,105.0
2021-06-03,100.0,102.05,105.0
2021-06-10,100.0,101.23,105.0
2021-06-17,100.0,100.0,100.0
2021-06-24,96.0,98.99,100.0
2021-07-01,98.0,99.83,100.0
2021-07-08,100.0,103.69,110.0
2021-07-15,104.0,106.14,110.0
2021-07-29,105.0,107.89,110.0
2021-08-05,105.0,108.31,110.0
2021-08-12,105.0,108.31,110.0
2021-08-26,105.0,108.31,110.0
2021-09-02,105.0,108.82,110.0
2021-09-09,108.0,109.66,110.0
2021-09-16,108.0,109.66,110.0
2021-09-23,110.0,110.82,115.0
