Date,Min,Avg,Max
2019-09-05,72.0,73.49,75.0
2019-09-12,75.0,75.0,75.0
2019-09-19,70.0,70.0,70.0
2019-09-26,70.0,72.47,75.0
2019-10-03,72.5,73.66,75.0
2019-10-10,75.0,75.0,75.0
2019-10-17,75.0,75.0,75.0
2019-10-24,75.0,75.0,75.0
2019-10-31,75.0,75.0,75.0
2019-11-07,70.0,71.0,72.0
2019-11-14,70.0,70.0,70.0
2019-11-21,70.0,70.0,70.0
2019-11-28,70.0,70.0,70.0
2019-12-05,70.0,70.0,70.0
2019-12-12,68.0,69.0,70.0
2019-12-19,68.0,69.0,70.0
2019-12-26,70.0,70.0,70.0
2020-01-02,70.0,70.0,70.0
2020-01-09,72.0,72.0,72.0
2020-01-16,72.0,72.0,72.0
2020-01-23,75.0,75.0,75.0
2020-01-30,77.0,77.67,78.0
2020-02-06,78.0,79.0,80.0
2020-02-13,76.0,76.5,77.0
2020-02-20,75.0,76.0,77.0
2020-02-27,75.0,75.0,75.0
2020-03-05,78.0,79.0,80.0
2020-03-12,78.0,78.0,78.0
2020-03-19,80.0,80.0,80.0
2020-03-26,80.0,80.66,82.0
2020-04-02,82.0,82.99,85.0
2020-04-09,80.0,80.66,82.0
2020-04-16,78.0,79.0,80.0
2020-04-23,78.0,78.0,78.0
2020-04-30,78.0,79.0,80.0
2020-05-07,78.0,78.0,78.0
2020-05-14,80.0,80.0,80.0
2020-05-21,80.0,80.66,82.0
2020-05-28,80.0,80.0,80.0
2020-06-04,80.0,80.0,80.0
2020-06-11,80.0,80.0,80.0
2020-06-18,78.0,79.0,80.0
2020-06-25,80.0,80.0,80.0
2020-07-02,80.0,80.0,80.0
2020-07-09,82.0,82.0,82.0
2020-07-16,85.0,85.0,85.0
2020-07-23,85.0,86.99,88.0
2020-07-29,90.0,90.0,90.0
2020-08-06,90.0,90.0,90.0
2020-08-13,95.0,95.0,95.0
2020-08-20,95.0,95.0,95.0
2020-08-27,95.0,95.0,95.0
2020-09-03,90.0,90.66,92.0
2020-09-10,90.0,91.33,92.0
2020-09-17,95.0,95.0,95.0
2020-09-24,95.0,95.0,95.0
2020-10-01,95.0,95.0,95.0
2020-10-08,95.0,95.0,95.0
2020-10-15,98.0,98.0,98.0
2020-10-22,98.0,98.0,98.0
2020-10-29,102.0,102.0,102.0
2020-11-05,100.0,100.0,100.0
2020-11-12,105.0,105.0,105.0
2020-11-19,97.0,97.0,97.0
2020-11-26,95.0,95.0,95.0
2020-12-03,88.0,88.0,88.0
2020-12-10,85.0,85.0,85.0
2020-12-17,90.0,90.0,90.0
2020-12-24,85.0,85.0,85.0
2020-12-31,85.0,85.0,85.0
2021-01-07,90.0,90.0,90.0
2021-01-14,90.0,90.0,90.0
2021-01-21,90.0,90.0,90.0
2021-01-28,90.0,90.0,90.0
2021-02-04,90.0,90.0,90.0
2021-02-11,95.0,95.0,95.0
2021-02-18,95.0,95.0,95.0
2021-02-25,95.0,95.0,95.0
2021-03-04,95.0,95.0,95.0
2021-03-11,95.0,95.0,95.0
2021-03-18,97.0,97.0,97.0
2021-03-25,95.0,95.0,95.0
2021-04-01,100.0,100.0,100.0
2021-04-08,92.0,92.0,92.0
2021-04-15,95.0,95.0,95.0
2021-04-22,95.0,95.99,98.0
2021-04-29,98.0,98.0,98.0
2021-05-06,98.0,99.33,100.0
2021-05-20,100.0,100.0,100.0
2021-05-27,96.0,96.0,96.0
2021-06-03,97.0,98.99,100.0
2021-06-10,98.0,99.33,100.0
2021-06-17,100.0,100.0,100.0
2021-06-24,98.0,99.33,100.0
2021-07-01,95.0,95.0,95.0
2021-07-08,98.0,98.0,98.0
2021-07-15,100.0,100.0,100.0
2021-07-29,105.0,105.0,105.0
2021-08-05,105.0,105.0,105.0
2021-08-12,105.0,105.0,105.0
2021-08-26,105.0,105.0,105.0
2021-09-02,105.0,105.0,105.0
2021-09-09,105.0,105.0,105.0
2021-09-16,105.0,105.99,108.0
2021-09-23,110.0,110.0,110.0
2021-09-30,110.0,110.0,110.0
2021-10-07,110.0,110.0,110.0
2021-10-14,110.0,110.0,110.0
2021-10-21,110.0,110.0,110.0
2021-10-28,110.0,110.0,110.0
2021-12-02,110.0,110.0,110.0
2021-11-04,110.0,110.0,110.0
2021-11-11,110.0,110.0,110.0
2021-11-18,110.0,110.0,110.0
2021-11-25,110.0,110.0,110.0
2021-12-08,110.0,110.0,110.0
2021-12-15,110.0,110.0,110.0
