Date,Min,Avg,Max
2019-09-05,73.0,73.44,74.0
2019-09-12,73.0,73.44,74.0
2019-09-19,73.0,73.22,74.0
2019-09-26,72.0,72.22,73.0
2019-10-03,72.0,72.22,73.0
2019-10-10,72.0,72.11,73.0
2019-10-17,72.0,72.11,73.0
2019-10-24,70.0,71.89,73.0
2019-10-31,70.0,71.1,72.0
2019-11-07,70.0,71.33,72.0
2019-11-14,70.0,70.66,72.0
2019-11-21,70.0,70.66,72.0
2019-11-28,70.0,70.0,70.0
2019-12-05,68.0,69.77,70.0
2019-12-12,68.0,68.66,70.0
2019-12-19,68.0,68.66,70.0
2019-12-26,70.0,70.55,72.0
2020-01-02,72.0,72.22,73.0
2020-01-09,72.0,73.55,75.0
2020-01-16,72.0,73.22,75.0
2020-01-23,75.0,77.1,78.0
2020-01-30,78.0,78.0,78.0
2020-02-06,78.0,79.78,80.0
2020-02-13,78.0,79.78,80.0
2020-02-20,77.0,78.55,80.0
2020-02-27,76.0,77.32,80.0
2020-03-05,78.0,79.33,80.0
2020-03-12,78.0,78.88,80.0
2020-03-19,78.0,79.78,80.0
2020-03-26,79.0,80.55,82.0
2020-04-02,79.0,79.89,80.0
2020-04-09,79.0,79.89,80.0
2020-04-16,78.0,79.55,80.0
2020-04-23,78.0,79.78,80.0
2020-04-30,80.0,80.0,80.0
2020-05-07,80.0,80.0,80.0
2020-05-14,80.0,80.0,80.0
2020-05-21,78.0,79.78,80.0
2020-05-28,78.0,79.78,80.0
2020-06-04,78.0,79.78,80.0
2020-06-11,78.0,79.78,80.0
2020-06-18,80.0,80.0,80.0
2020-06-25,78.0,79.55,80.0
2020-07-02,78.0,79.55,80.0
2020-07-09,80.0,80.0,80.0
2020-07-16,83.0,84.11,85.0
2020-07-23,88.0,89.11,90.0
2020-07-29,90.0,90.0,90.0
2020-08-06,90.0,90.66,92.0
2020-08-13,94.0,94.55,95.0
2020-08-20,94.0,94.67,95.0
2020-08-27,92.0,92.11,93.0
2020-09-03,90.0,91.33,92.0
2020-09-10,92.0,92.11,93.0
2020-09-17,94.0,94.0,94.0
2020-09-24,94.0,94.11,95.0
2020-10-01,94.0,94.22,95.0
2020-10-08,96.0,96.66,98.0
2020-10-15,98.0,99.33,100.0
2020-10-22,97.0,97.44,98.0
2020-10-29,102.0,104.44,105.0
2020-11-05,82.5,98.1,102.0
2020-11-12,82.5,96.89,105.0
2020-11-19,82.5,94.96,100.0
2020-11-26,82.5,89.03,95.0
2020-12-03,83.0,85.53,95.0
2020-12-10,75.0,79.08,82.0
2020-12-17,80.0,80.44,82.0
2020-12-24,80.0,80.44,82.0
2020-12-31,82.0,82.99,85.0
2021-01-07,90.0,90.99,93.0
2021-01-14,90.0,90.22,92.0
2021-01-21,88.0,88.88,90.0
2021-01-28,88.0,88.66,90.0
2021-02-04,88.0,88.66,90.0
2021-02-11,92.0,93.88,95.0
2021-02-18,92.0,93.77,95.0
2021-02-25,92.0,92.11,93.0
2021-03-04,95.0,95.44,96.0
2021-03-11,95.0,96.54,100.0
2021-03-18,95.0,95.11,96.0
2021-03-25,97.0,98.1,100.0
2021-04-01,98.0,99.55,100.0
2021-04-08,93.0,94.33,96.0
2021-04-15,93.0,94.33,96.0
2021-04-22,93.0,94.33,96.0
2021-04-29,94.0,97.42,100.0
2021-05-06,95.0,98.15,100.0
2021-05-20,96.0,98.43,100.0
2021-05-27,85.0,91.25,100.0
2021-06-03,85.0,96.11,100.0
2021-06-10,95.0,96.76,100.0
2021-06-17,95.0,95.66,98.0
2021-06-24,95.0,95.66,98.0
2021-07-01,96.0,97.54,100.0
2021-07-08,98.0,99.78,100.0
2021-07-15,100.0,103.43,105.0
2021-07-29,103.0,104.87,110.0
2021-08-05,100.0,102.53,105.0
2021-08-12,100.0,103.21,105.0
2021-08-26,100.0,103.21,105.0
2021-09-02,105.0,106.1,108.0
2021-09-09,105.0,105.11,106.0
2021-09-16,107.0,108.66,110.0
2021-09-23,105.0,106.98,110.0
2021-09-30,105.0,106.98,110.0
2021-10-07,105.0,106.98,110.0
2021-10-14,105.0,106.98,110.0
2021-10-21,105.0,106.98,110.0
2021-10-28,105.0,106.98,110.0
2021-12-02,105.0,106.98,110.0
2021-11-04,105.0,106.98,110.0
2021-11-11,105.0,106.98,110.0
2021-11-18,105.0,106.98,110.0
2021-11-25,105.0,106.98,110.0
