Date,Min,Avg,Max
2019-09-05,75.0,76.0,77.0
2019-09-12,75.0,76.0,77.0
2019-09-19,75.0,76.0,77.0
2019-09-26,75.0,76.0,77.0
2019-10-03,74.0,75.0,76.0
2019-10-10,74.0,75.0,76.0
2019-10-17,74.0,75.0,76.0
2019-10-24,74.0,75.0,76.0
2019-10-31,73.0,74.0,75.0
2019-11-07,73.0,74.0,75.0
2019-11-14,73.0,74.0,75.0
2019-11-21,73.0,74.0,75.0
2019-11-28,74.0,75.0,76.0
2019-12-05,74.0,75.0,76.0
2019-12-12,74.0,75.0,76.0
2019-12-19,74.0,75.0,76.0
2019-12-26,74.0,75.0,76.0
2020-01-02,76.0,77.98,80.0
2020-01-09,76.0,77.98,80.0
2020-01-16,76.0,77.98,80.0
2020-01-23,78.0,79.0,80.0
2020-01-30,80.0,81.0,82.0
2020-02-06,80.0,81.0,82.0
2020-02-13,80.0,81.0,82.0
2020-02-20,78.0,79.0,80.0
2020-02-27,78.0,79.0,80.0
2020-03-05,79.0,80.0,81.0
2020-03-12,80.0,81.0,82.0
2020-03-19,83.0,84.0,85.0
2020-03-26,84.0,85.0,86.0
2020-04-02,84.0,85.0,86.0
2020-04-09,80.0,81.98,84.0
2020-04-16,84.0,85.0,86.0
2020-04-23,84.0,85.0,86.0
2020-04-30,85.0,86.0,87.0
2020-05-07,84.0,85.0,86.0
2020-05-14,84.0,85.0,86.0
2020-05-21,83.0,84.0,85.0
2020-05-28,84.0,85.0,86.0
2020-06-04,84.0,85.0,86.0
2020-06-11,84.0,85.0,86.0
2020-06-18,83.0,84.0,85.0
2020-06-25,83.0,84.0,85.0
2020-07-02,83.0,84.0,85.0
2020-07-09,85.0,86.16,88.0
2020-07-16,88.0,89.0,90.0
2020-07-23,88.0,89.0,90.0
2020-07-29,93.0,94.0,95.0
2020-08-06,94.0,95.0,96.0
2020-08-13,98.0,99.0,100.0
2020-08-20,98.0,99.0,100.0
2020-08-27,100.0,100.0,100.0
2020-09-03,94.0,95.0,96.0
2020-09-10,94.0,95.0,96.0
2020-09-17,94.0,95.0,96.0
2020-09-24,98.0,99.5,100.0
2020-10-01,98.0,99.5,100.0
2020-10-08,98.0,99.5,100.0
2020-10-15,98.0,99.5,100.0
2020-10-22,98.0,99.5,100.0
2020-10-29,104.0,105.0,106.0
2020-11-05,104.0,105.0,106.0
2020-11-12,109.0,110.0,111.0
2020-11-19,103.0,104.0,105.0
2020-11-26,96.0,97.99,100.0
2020-12-03,89.0,90.0,91.0
2020-12-10,79.0,80.0,81.0
2020-12-17,79.0,80.0,81.0
2020-12-24,84.0,85.0,86.0
2020-12-31,86.0,87.0,88.0
2021-01-07,86.0,88.49,90.0
2021-01-14,96.0,97.0,98.0
2021-01-21,100.0,100.0,100.0
2021-01-28,95.0,95.0,95.0
2021-02-04,95.0,95.0,95.0
2021-02-11,95.0,95.0,95.0
2021-02-18,95.0,95.0,95.0
2021-02-25,95.0,95.0,95.0
2021-03-04,100.0,100.0,100.0
2021-03-11,100.0,100.0,100.0
2021-03-18,100.0,101.99,104.0
2021-03-25,103.0,104.0,105.0
2021-04-01,100.0,100.0,100.0
2021-04-08,100.0,100.0,100.0
2021-04-15,100.0,100.0,100.0
2021-04-22,100.0,100.0,100.0
2021-04-29,100.0,100.0,100.0
2021-05-06,100.0,100.0,100.0
2021-05-20,100.0,100.0,100.0
2021-05-27,100.0,100.0,100.0
2021-06-03,100.0,100.0,100.0
2021-06-10,100.0,100.0,100.0
2021-06-17,100.0,100.0,100.0
2021-06-24,100.0,100.0,100.0
2021-07-01,100.0,100.0,100.0
2021-07-08,100.0,100.0,100.0
2021-07-15,106.0,107.99,110.0
2021-07-29,110.0,110.0,110.0
2021-08-05,110.0,110.0,110.0
2021-08-12,110.0,110.0,110.0
2021-08-26,106.0,107.99,110.0
2021-09-02,106.0,107.99,110.0
2021-09-09,110.0,110.0,110.0
2021-09-16,110.0,110.0,110.0
2021-09-23,110.0,110.0,110.0
2021-09-30,110.0,110.0,110.0
2021-10-07,110.0,110.0,110.0
2021-10-14,110.0,110.0,110.0
2021-10-21,110.0,110.0,110.0
2021-10-28,110.0,110.0,110.0
2021-12-02,110.0,110.0,110.0
2021-11-04,110.0,110.0,110.0
