Date,Min,Avg,Max
2019-09-05,25.0,25.0,25.0
2019-09-12,25.0,25.0,25.0
2019-09-19,25.0,25.0,25.0
2019-09-26,25.0,25.0,25.0
2019-10-03,25.0,25.0,25.0
2019-10-10,25.0,25.0,25.0
2019-10-17,25.0,25.0,25.0
2019-10-24,25.0,25.0,25.0
2019-10-31,25.0,25.0,25.0
2019-11-07,25.0,25.0,25.0
2019-11-14,25.0,25.0,25.0
2019-11-21,25.0,25.0,25.0
2019-11-28,25.0,25.0,25.0
2019-12-05,25.0,25.0,25.0
2019-12-12,25.0,25.0,25.0
2019-12-19,25.0,25.0,25.0
2019-12-26,25.0,25.0,25.0
2020-01-02,25.0,25.0,25.0
2020-01-09,25.0,25.0,25.0
2020-01-16,25.0,25.0,25.0
2020-01-23,25.0,25.0,25.0
2020-01-30,25.0,25.0,25.0
2020-02-06,25.0,25.0,25.0
2020-02-13,25.0,25.0,25.0
2020-02-20,25.0,25.0,25.0
2020-02-27,25.0,25.0,25.0
2020-03-05,25.0,25.0,25.0
2020-03-12,25.0,25.0,25.0
2020-03-19,25.0,25.0,25.0
2020-03-26,25.0,25.0,25.0
2020-04-02,25.0,25.0,25.0
2020-04-09,25.0,25.0,25.0
2020-04-16,25.0,25.0,25.0
2020-04-23,25.0,25.0,25.0
2020-04-30,25.0,25.0,25.0
2020-05-07,25.0,25.0,25.0
2020-05-14,25.0,25.0,25.0
2020-05-21,25.0,25.0,25.0
2020-05-28,25.0,25.0,25.0
2020-06-04,25.0,25.0,25.0
2020-06-11,25.0,25.0,25.0
2020-06-18,25.0,25.0,25.0
2020-06-25,25.0,25.0,25.0
2020-07-02,25.0,25.0,25.0
2020-07-09,25.0,25.0,25.0
2020-07-16,25.0,25.0,25.0
2020-07-23,25.0,25.0,25.0
2020-07-29,25.0,25.0,25.0
2020-08-06,25.0,25.0,25.0
2020-08-13,25.0,25.0,25.0
2020-08-20,25.0,25.0,25.0
2020-08-27,25.0,25.0,25.0
2020-09-03,25.0,25.0,25.0
2020-09-10,25.0,25.0,25.0
2020-09-17,25.0,25.0,25.0
2020-09-24,25.0,27.01,30.0
2020-10-01,25.0,27.01,30.0
2020-10-08,25.0,27.01,30.0
2020-10-15,25.0,27.01,30.0
2020-10-22,30.0,30.0,30.0
2020-10-29,30.0,30.0,30.0
2020-11-05,30.0,30.0,30.0
2020-11-12,30.0,30.0,30.0
2020-11-19,30.0,30.0,30.0
2020-11-26,30.0,30.0,30.0
2020-12-03,30.0,30.0,30.0
2020-12-10,30.0,30.0,30.0
2020-12-17,30.0,30.0,30.0
2020-12-24,30.0,30.0,30.0
2020-12-31,30.0,30.0,30.0
2021-01-07,30.0,30.0,30.0
2021-01-14,30.0,30.0,30.0
2021-01-21,30.0,30.0,30.0
2021-01-28,30.0,30.0,30.0
2021-02-04,30.0,30.0,30.0
2021-02-11,30.0,30.0,30.0
2021-02-18,30.0,30.0,30.0
2021-02-25,30.0,30.0,30.0
2021-03-04,30.0,30.0,30.0
2021-03-11,30.0,30.0,30.0
2021-03-18,30.0,30.0,30.0
2021-03-25,30.0,30.0,30.0
2021-04-01,30.0,30.0,30.0
2021-04-08,30.0,30.0,30.0
2021-04-15,30.0,30.0,30.0
2021-04-22,30.0,30.0,30.0
2021-04-29,30.0,30.0,30.0
2021-05-06,30.0,30.0,30.0
2021-05-20,30.0,30.0,30.0
2021-05-27,30.0,30.0,30.0
2021-06-03,30.0,30.0,30.0
2021-06-10,30.0,30.0,30.0
2021-06-17,30.0,30.0,30.0
2021-06-24,30.0,30.0,30.0
2021-07-01,30.0,30.0,30.0
2021-07-08,30.0,30.0,30.0
2021-07-15,30.0,30.0,30.0
2021-07-29,30.0,30.0,30.0
2021-08-05,30.0,30.0,30.0
2021-08-12,30.0,30.0,30.0
2021-08-26,30.0,30.0,30.0
2021-09-02,30.0,30.0,30.0
2021-09-09,30.0,33.09,35.0
2021-09-16,30.0,33.09,35.0
2021-09-23,30.0,33.25,35.0
2021-09-30,30.0,33.25,35.0
2021-10-07,30.0,33.25,35.0
2021-10-14,30.0,33.25,35.0
2021-10-21,30.0,33.25,35.0
2021-10-28,30.0,33.25,35.0
2021-12-02,30.0,33.25,35.0
2021-11-04,30.0,33.25,35.0
