Date,Min,Avg,Max
2021-07-29,25.0,28.81,30.0
2021-07-15,25.0,28.81,30.0
2021-07-08,25.0,28.81,30.0
2021-07-01,25.0,28.81,30.0
2021-06-24,25.0,28.81,30.0
2021-06-17,25.0,28.81,30.0
2021-06-10,25.0,27.11,30.0
2021-06-03,25.0,27.11,30.0
2021-05-27,25.0,27.11,30.0
2021-05-20,25.0,27.11,30.0
2021-05-06,25.0,27.11,30.0
2021-04-29,25.0,27.11,30.0
2021-04-22,25.0,27.11,30.0
2021-04-15,25.0,27.11,30.0
2021-04-08,25.0,27.11,30.0
2021-04-01,25.0,27.11,30.0
2021-03-25,25.0,27.11,30.0
2021-03-18,25.0,27.11,30.0
2021-03-11,25.0,27.11,30.0
2021-03-04,25.0,27.11,30.0
2021-02-25,25.0,27.11,30.0
2021-02-18,25.0,27.11,30.0
2021-02-11,25.0,27.11,30.0
2021-02-04,25.0,27.11,30.0
2021-01-28,25.0,27.11,30.0
2021-01-21,25.0,27.11,30.0
2021-01-14,25.0,27.11,30.0
2021-01-07,25.0,27.11,30.0
2020-12-31,25.0,27.11,30.0
2020-12-24,25.0,27.11,30.0
2020-12-17,25.0,27.11,30.0
2020-12-10,25.0,27.11,30.0
2020-12-03,25.0,27.11,30.0
2020-11-26,25.0,27.11,30.0
2020-11-19,25.0,27.11,30.0
2020-11-12,25.0,27.11,30.0
2020-11-05,25.0,27.11,30.0
2020-10-29,25.0,27.11,30.0
2020-10-22,25.0,27.11,30.0
2020-10-15,25.0,26.57,30.0
2020-10-08,25.0,25.51,30.0
2020-10-01,25.0,25.51,30.0
2020-09-24,25.0,25.51,30.0
2020-09-17,25.0,25.51,30.0
2020-09-10,25.0,25.51,30.0
2020-09-03,25.0,25.51,30.0
2020-08-27,25.0,25.51,30.0
2020-08-20,25.0,25.51,30.0
2020-08-13,25.0,25.51,30.0
2020-08-06,25.0,25.51,30.0
2020-07-29,25.0,25.51,30.0
2020-07-23,25.0,25.51,30.0
2020-07-16,20.0,24.89,30.0
2020-07-09,20.0,24.89,30.0
2020-07-02,20.0,24.89,30.0
2020-06-25,20.0,24.89,30.0
2020-06-18,20.0,24.89,30.0
2020-06-11,20.0,24.89,30.0
2020-06-04,20.0,24.89,30.0
2020-05-28,20.0,24.89,30.0
2020-05-21,20.0,24.89,30.0
2020-05-14,20.0,24.89,30.0
2020-05-07,20.0,24.89,30.0
2020-04-30,20.0,24.89,30.0
2020-04-23,20.0,24.89,30.0
2020-04-16,20.0,24.89,30.0
2020-04-09,20.0,24.89,30.0
2020-04-02,20.0,24.89,30.0
2020-03-26,20.0,24.89,30.0
2020-03-19,20.0,24.89,30.0
2020-03-12,20.0,24.89,30.0
2020-03-05,20.0,24.89,30.0
2020-02-27,20.0,24.89,30.0
2020-02-20,20.0,24.89,30.0
2020-02-13,20.0,24.89,30.0
2020-02-06,20.0,24.89,30.0
2020-01-30,20.0,24.89,30.0
2020-01-23,20.0,24.89,30.0
2020-01-16,20.0,24.89,30.0
2020-01-09,20.0,24.89,30.0
2020-01-02,20.0,24.89,30.0
2019-12-26,20.0,24.89,30.0
2019-12-19,20.0,24.89,30.0
2019-12-12,20.0,24.89,30.0
2019-12-05,20.0,24.89,30.0
2019-11-28,20.0,24.89,30.0
2019-11-21,20.0,24.89,30.0
2019-11-14,20.0,24.89,30.0
2019-11-07,20.0,24.89,30.0
2019-10-31,20.0,24.89,30.0
2019-10-24,20.0,24.89,30.0
2019-10-17,20.0,24.28,30.0
2019-10-10,20.0,24.28,30.0
2019-10-03,20.0,24.28,30.0
2019-09-26,20.0,24.28,30.0
2019-09-19,20.0,24.28,30.0
2019-09-12,20.0,24.28,30.0
2019-09-05,20.0,23.79,25.0
2021-08-06,25.0,28.81,30.0
